likes,about_post,date
"478,866 views","jacquelinef143
Verified
Hey guys, I decided to do something new for my workout fam here. Had so much fun shooting the new video in 8K with my new #GalaxyNote20Ultra 5G (Ready)

#WFN – Work from Note #samsung
@samsungindia ❤️
18h",18 HOURS AGO
"1,119,270 views","jacquelinef143
Verified
Thumka jo hila dega sabke hosh !!!

Come join the #ThumkaLagaDuniyaHila challenge with me and win upto Rs.25,00,000 every week! Download the #JoshApp and participate now!
@officialjoshapp ❤️
2d",2 DAYS AGO
"624,682 likes","jacquelinef143
Verified
Working out and #WFN – Working from Note ❤️❤️ The two things I love doing these days!
Watch this space for more!
@samsungindia #GalaxyNote20Ultra 5G (ready) #samsung
4d",4 DAYS AGO
"913,325 likes","jacquelinef143
Verified
All glammed up to create the perfect Mystic Bronze look inspired by my new #GalaxyNote20Ultra

I’m ready to #WFN – Work from Note!!! Follow @samsungindia to know more ⭐️⭐️

#GalaxyNote20Ultra 5G

#Samsung
1w",7 DAYS AGO
"981,810 likes","jacquelinef143
Verified
I forgot shoot life was this fun! Grateful to be back 🌸 @shaanmu @marcepedrozo @chandiniw @styledbystaceycardoz @shresh_mua @sahildasofficial @mahantitarunindia2017
1w",OCTOBER 12
"736,947 likes","jacquelinef143
Verified
My first film! My first autograph!! I’ll never forget what an amazing experience it was shooting ‘Aladin’ with you sir!! @amitabhbachchan Happy Birthday sir ❤️❤️❤️ forever Legend!!
1w",OCTOBER 11
"306,319 likes","jacquelinef143
Verified
We are all made of stars ⭐️⭐️
1w",OCTOBER 10
"1,147,792 likes","jacquelinef143
Verified
The secret of your future is hidden in your daily routine 🌈🌈
2w",OCTOBER 7
"1,449,164 likes","jacquelinef143
Verified
Strong is the new pretty 🧜🏻‍♀️
2w",OCTOBER 1
"722,958 likes","jacquelinef143
Verified
Can’t wait for this one!! Something super fun coming up! Always so great catching up with you @monakattan and thank you @oola.lab for the amazing experience!! @kayali
3w",SEPTEMBER 28
"978,075 likes","jacquelinef143
Verified
6. 30AM 🌈
4w",SEPTEMBER 22
"1,096,484 views","jacquelinef143
Verified
There’s no better way to start your day than by doing Surya Namaskar! Can you do ‘The Ultimate Asana’ in 38 seconds or less? Join me in my daily dose of positivity by doing this simple yet effective asana!
Practise Surya Namaskar and upload a video, with the hashtag #AreYouSolarPowered and get a chance to win my Baby-G athleisure watch

Few simple rules :

Do the Jackie move & post your video or GIF or photo on your profile and DM to @casio.india or @babyg_in
Follow the @casio.india or @babyg_in page
Tag your 2 friends @casio.india or @babyg_in (or we wont know you posted)
4w",SEPTEMBER 18
"619,231 likes","jacquelinef143
Verified
🧜🏻‍♀️
4w",SEPTEMBER 16
"1,334,124 likes","jacquelinef143
Verified
#Repost @graziaindia
・・・
""As individuals, we need to reassess the concept of perfection and beauty. Today, more and more people are embracing their oddities, it's what makes them more interesting. It's time to be fearless,"" says @jacquelinef143.

On Jacqueline: Pinstriped crop top, embroidered jacket, shorts, all Namrata Joshipura (@namratajoshipurastudio); gold drop pendant, Dhora (@dhora_india); suede boots, Christian Louboutin (@louboutinworld)

Photograph: Sahil Das (@sahildasofficial)
Fashion Director: Pasham Alwani (@pashamalwani) assisted by Garvika Khanna (@garvika.khanna) and Ojas Kolvankar (@ojaskolvankar)
Hair and make-up: Shaan Muttathil (@shaanmu)
Words: Tanya Mehta (@tanya.91)
Agency: Spice (@spicesocial)

#GraziaIndia #JacquelineFernandez #CoverGirl #CoverStar #September2020
4w",SEPTEMBER 16
"1,361,857 likes","jacquelinef143
Verified
#Repost @graziaindia
・・・
“I’ve finally taken the time out to read, I’m currently hooked on to 'The Female Brain' by Louann Brizendine, which was recommended by Lisa Haydon when we were shooting for ‘Housefull’ four years ago,"" says @jacquelinef143.

On Jacqueline: Crop top, Deme (@deme; striped trousers, Smokewear (@smokelabofficial) x Lovebirds (@lovebirds.studio); ‘Chunky Chain’ hoop earrings, Misho (@misho_designs); belt, stylist’s own

Photograph: Sahil Das (@sahildasofficial)
Fashion Director: Pasham Alwani (@pashamalwani) assisted by Garvika Khanna (@garvika.khanna) and Ojas Kolvankar (@ojaskolvankar)
Hair and make-up: Shaan Muttathil (@shaanmu)
Words: Tanya Mehta (@tanya.91)
Agency: Spice (@spicesocial)

#GraziaIndia #JacquelineFernandez #CoverGirl #CoverStar #September2020
5w",SEPTEMBER 15
"564,374 likes","jacquelinef143
Verified
❤️❤️ #Repost @graziaindia
・・・
An eternal optimist, Jacqueline Fernandez’s sunny spirit is infectious, even if it is via a phone call! The talented actor talks about how she’s navigating this period of uncertainty as she maps out her own silver linings playbook.

Jacqueline Fernandez (@jacquelinef143) is wearing a camo print jumpsuit, Dior (@dior); gold plated chain necklaces, Misho (@misho_designs)

Photograph: Sahil Das (@sahildasofficial)
Fashion Director: Pasham Alwani (@pashamalwani)
Hair and make-up: Shaan Muttathil (@shaanmu)
Words: Tanya Mehta (@tanya.91)
Agency: Spice (@spicesocial)

#GraziaIndia #JacquelineFernandez #CoverGirl #CoverStar #September2020
5w",SEPTEMBER 14
"981,573 likes","jacquelinef143
Verified
Best friends forever ❤️❤️ #mumsie
5w",SEPTEMBER 14
"581,526 likes","jacquelinef143
Verified
Welcome to Insta @strictlyvikas you were amazing in #aarya ❤️❤️❤️ @strictlyspkng
5w",SEPTEMBER 12
"1,620,264 likes","jacquelinef143
Verified
Life as I now know it.. 🌈🌈 @rahuljhangiani @shaanmu @amitthakur_hair @chandiniw (my babies are back ☺️☺️)
6w",SEPTEMBER 4
"2,082,726 likes","jacquelinef143
Verified
And out come the freckles 🌈🌻☀️🌼
7w",SEPTEMBER 2
"1,063,854 views","jacquelinef143
Verified
Morning!!! ❤️❤️❤️
7w",AUGUST 31
"942,760 views","jacquelinef143
Verified
@droolsindia and I believe that all pets deserve the best when it comes to nutrition! So I feed Yoda and Miu miu @DroolsIndia cat food which takes care of their complete nutritional requirement!

All our furry friends on the streets need a meal full of real nutrition.. Drools with it's benefits of 100% Real ingredients provides all the essential nutrients to keep them strong and healthy 💪🏻

#Drools #DroolsIndia #BundleOfJoy #CatParent #FeedRealFeedClean #FeedDrools #PetParent #PetBond #PetNutrition #HealthyPetFood #PetCare #PetFood #WhatsGoodForYourPet #FurryFriends #PetFriendly
7w",AUGUST 26
"1,023,620 views","jacquelinef143
Verified
Super excited for this online event!! Thanks for giving me this opportunity to talk about my experience! Love you guys!! All those interested in creating a change from within I’ll see you there!! LINK IN BIO
@narayanishurjo108
@mumbaiananda
@anandasanghaindia
8w",AUGUST 25
"462,119 likes","jacquelinef143
Verified
Bulletproof XYZA 🌸
8w",AUGUST 24
"550,988 likes","jacquelinef143
Verified
The peace and joy that Lord Ganesh brings to our homes each year is unparalleled!

Wishing you all a very Happy Ganesh Chaturthi ❤️❤️ Lots of love and light 🌈

गणपति बाप्पा मोरिया। 🙏
8w",AUGUST 22
"2,307,397 likes","jacquelinef143
Verified
Can’t wait! Feels good 😉🌈 @amandacerny
8w",AUGUST 21
