likes,about_post,date
"1,057,351 likes","jlo
Verified
#ChangeTheDate! You’re invited to @MarryMeMovie on May 14, 2021! #MarryMeMovie #NuyoricanProductions #OwenWilson @Maluma @egt239
14h",14 HOURS AGO
"2,157,892 likes","jlo
Verified
Let’s start the holidays a little early because we deserve it!!! ♥️ @dsw #JLoJenniferLopez #DSWPartner Link in bio
3d",3 DAYS AGO
0,"jlo
Verified
#SHMOOD! PRESIDENT BIDEN!!!!!!! VICE PRESIDENT KAMALA HARRIS!!!!!!
4d",4 DAYS AGO
0,,5 DAYS AGO
"2,601,692 likes","jlo
Verified
¡Yo voté! ❤️🤍💙 ¡Vamos America!
I voted! Let’s go America!
#Vote #LetsGetLoud #BidenHarris2020
1w",NOVEMBER 4
"1,119,572 likes","jlo
Verified
I made it through the wilderness ... @nicksilva17 @lacarba 👰🏽💋 #HappyHalloween 🎃👻
1w",NOVEMBER 2
"1,237,152 likes","jlo
Verified
Didn’t know how lost I was until I found you ... @arod 👰🏽💋 #HappyHalloween 🎃👻
1w",NOVEMBER 2
"1,817,992 likes","jlo
Verified
Crazy for youuuu ... 👰🏽💋 #HappyHalloween 🎃
1w",NOVEMBER 2
0,"jlo
Verified
💕 Look at them look at us... 💕 @dsw #JLoJenniferLopez 📸: @lacarba
1w",OCTOBER 30
0,,OCTOBER 29
0,"jlo
Verified
It’s a @dior kind of day ✨ #PaTi #spanglishversion @spotify @itunes
2w",OCTOBER 28
0,"jlo
Verified
Holidays with @Coach. 🎄 I find holiday on my coconuts’ faces (my mama’s too—she's the biggest holiday person I know! 🥰). Thankful to share this season and #CoachHoliday with my favorite people. #TheBeatBag #CoachFamily #CoachNY #CoachPartner
2w",OCTOBER 27
"1,200,690 likes","jlo
Verified
Hello Monday!!! Ready for action!! Swipe for a closeup of my fave @dsw boots. #JLoJenniferLopez #DSWPartner
2w",OCTOBER 26
0,"jlo
Verified
VOTE! 🗳

This election is too important. It’s about more than just politics... it’s about the character of our country. It’s about decency and doing what is right for all people.

I am voting for Max and Emme’s future.
TRUTH over lies.
UNITY over division.
SCIENCE over fiction.
HOPE over fear.

The world is waiting for YOU!!!!! Your leadership. Get out and vote like you’ve never voted before!! Your voice matters. ♥️🗳 #LetsGetLoud #LetsGetProud #WhenWeAllVote
2w",OCTOBER 25
0,"jlo
Verified
OMG you guys!!!! You’re all killing the #PaTiChallenge. I could watch these for hours. 🤩 Keep em’ coming!!!! 💋 💋 💋 #JLovers #FanFriday #PaTiLonely @maluma
2w",not known
