likes,about_post,date
"1,390,138 likes","kiaraaliaadvani
Verified
📸 @avigowariker @makeupbylekha @bbhiral
4d",4 DAYS AGO
"612,829 views","kiaraaliaadvani
Verified
Keep your Remote, Popcorn🍿 Nachos, 🥤 Cushions and blankets ready as #LaxmmiBomb 💥 is coming to your home soon. Watch First Day First Show ki home delivery with #DisneyPlusHotstarMultiplex only on @disneyplushotstarvip #FoxStarStudios

@akshaykumar @aliaabhatt @rohitsharma45 @yuvisofficial @khemster2

@offl_lawrence @shabskofficial @tusshark89 @foxstarhindi #CapeOfGoodFilms #ShabinaaEntertainment #TussharEntertainmentHouse @zeemusiccompany
4d",4 DAYS AGO
"2,284,774 views","kiaraaliaadvani
Verified
Let’s Shoot! back on Set! #WorkMode 🎬💥
6d",6 DAYS AGO
"1,825,118 likes","kiaraaliaadvani
Verified
Everything’s better when your sister is with you 🌻
2w",SEPTEMBER 20
"1,171,622 views","kiaraaliaadvani
Verified
#MomentsStyledByMyntra In all your special moments - be it with the family, by yourself or even with your BFF - you’ll notice that style is always by your side. Go on and watch this sweet and stylish story, and share your story of such special moments in the comments below. For your own moments styled by @Myntra, download the app now.
#KiaraAdvaniStyledByMyntra #MyMyntraMoments #momentsstyledbymyntra
2w",SEPTEMBER 18
"1,372,038 views","kiaraaliaadvani
Verified
Youtube mein lag gayi aag.. dil mera💥🤗💥🤗💥🤗💥🤗
2w",SEPTEMBER 17
"733,542 views","kiaraaliaadvani
Verified
Iss Diwali aap sabke gharon mein laxmmi hi laxmmi hogi!

Aa rahe hai hum, Diwali ka sabse bada bomb le ke 9th November ko only on @disneyplushotstarvip!
#YehDiwaliLaxmmiBombWaali 💥 #DisneyPlusHotstarMultiplex

@akshaykumar @offl_lawrence @shabskofficial @tusshark89 @foxstarhindi #CapeOfGoodFilms #ShabinaaEntertainment #TussharEntertainmentHouse @zeemusiccompany
2w",SEPTEMBER 16
"1,975,529 views","kiaraaliaadvani
Verified
ये हैं Indoo हसीना पागल दीवानी 💃🏻🙏🏼🤗🥰#IndooKiJawani #HasinaPagalDeewani
song out now!!
link in bio 💥

@adityaseal @mallikadua @abirsenguptaa @mikasingh @shabbir_ahmed9 @aseeskaurmusic @iamkrutimahesh @onlyemmay @madhubhojwani @nikkhiladvani #BhushanKumar @divyakhoslakumar #KrishanKumar @ashesinwind @ryanivanstephen @tseriesfilms @tseries.official @emmayentertainment @electricapplese
2w",SEPTEMBER 16
"1,084,717 views","kiaraaliaadvani
Verified
Kal toh by God mazaa hi aa jaayenga! 🤩 You know what it is, right? Agar nahi pata toh wait karo!! Bas ye samajh lo ki ek #HasinaPagalDeewani hone waali hai. 🙈

@adityaseal @mallikadua @abirsenguptaa @mikasingh @shabbir_ahmed9 @aseeskaurmusic @iamkrutimahesh @onlyemmay @madhubhojwani @nikkhiladvani #BhushanKumar @divyakhoslakumar #KrishanKumar @ashesinwind @ryanivanstephen @tseriesfilms @tseries.official @emmayentertainment @electricapplese
3w",SEPTEMBER 15
"2,127,314 views","kiaraaliaadvani
Verified
Main toh time se aa jaungi, date ke liye aap late mat hona! 😉 Wait just a little more to meet Indoo! #IndooKiJawani
@adityaseal @mallikadua @abirsenguptaa @onlyemmay @madhubhojwani @nikkhiladvani #BhushanKumar @divyakhoslakumar #KrishanKumar @ashesinwind @ryanivanstephen @tseriesfilms @tseries.official @emmayentertainment @electricapplese
3w",SEPTEMBER 14
"1,451,526 views","kiaraaliaadvani
Verified
Finding a job can be a difficult process but I’m happy to partner with Indeed and their
mission is to help people get jobs. Visit Indeed’s career guide for more tips and tricks.
https://bit.ly/3geOrjM #IndeedHelps @indeedworks
4w",SEPTEMBER 2
"747,877 views","kiaraaliaadvani
Verified
Ever noticed how almost all of your life's best moments have you looking stylishly happy in them? I sure have. Watch our sweet story and tell me all about yours in the comments. And for your own moments styled by Myntra, download the app today. @myntra #KiaraAdvaniStyledByMyntra #MyMyntraMoments #MomentsStyledByMyntra
5w",SEPTEMBER 1
"1,042,465 views","kiaraaliaadvani
Verified
Im a boAthead and this is how we do it, not just making it, but rockin’ it. @boat.nirvana
#BornInIndia #RockinIndia #IamaboAthead #boAtIndia
8w",AUGUST 10
"1,539,523 views","kiaraaliaadvani
Verified
Aapki first roti banane ki story bhi ek good newwz hoti hai, aur Fortune Chakki Fresh Atta de raha hai aapko apni iss good newwz se exciting prizes jeetne ka mauka!

Just share a 20 sec video of you making your first roti with #GoodNewwzFromKitchen tagging @fortune.foods and @zeecinema and stand a chance to get featured on Zee Cinema and win prizes. Contest T&C apply.

Also, don't forget to tune-in for the World Television Premiere of Good Newwz on Sat, 15th August at 8 PM, only on #ZeeCinema

#GoodNewwzFromKitchen #FortuneChakkiFreshAtta Mo
8w",AUGUST 5
"1,214,076 views","kiaraaliaadvani
Verified
Dear @mishaaladvani , I can see you’ve been my fan from the time you were in diapers. You’ve been a loyal audience, sometimes annoying but always supportive.. you’ve always been my favourite pain in the back..... PS- I didn’t drop you in the video and I never will, here’s a promise to entertain you for life 💙👫👩‍👦💛
9w",AUGUST 3
"564,395 likes","kiaraaliaadvani
Verified
First Day First Show is back! Catch #LaxmmiBomb and 6 more blockbusters on @DisneyPlusHotstarVIP. #DisneyPlusHotstarMultiplex @akshaykumar @tusshark89 @offl_lawrence @shabskofficial @foxstarhindi #TussharEntertainmentHouse #CapeOfGoodFilms @zeemusiccompany
9w",AUGUST 1
"2,200,535 likes","kiaraaliaadvani
Verified
With a heart so full of love and gratitude I thank you, my family, friends and fans for all the love, blessings, videos, messages, calls and good wishes you have showered me with this birthday. Feeling so so so loved ❤️ I pray you are as Happy, healthy and safe as I feel right now. This means everything to me❤️ All Gods blessings
9w",AUGUST 1
"1,900,244 views","kiaraaliaadvani
Verified
😍😍😍😍😍😍🥰🥰😘❤️🤗🤩🥺🥺💛💞🙏🏼🤣😂🙈🤩❤️🤗🥰😁😝
9w",AUGUST 1
