likes,about_post,date
"16,235 likes","shivani.singhh
Kya karoon main itni sundar hoon toh?
Aap hi batao, kya karrun??🐆
.
.
.
📸- @aishwaryaa_nayak_photography
5h",5 HOURS AGO
"3,052 likes","shivani.singhh
I need your electric loooooveeeee 🦢
.
.
.
#reels #reelsinstagram #reelitfeelit #electriclove #turkey #love #travel
9h",9 HOURS AGO
"23,449 likes","shivani.singhh
🏔 or 🏖 ?!
1d",1 DAY AGO
0,"shivani.singhh
If walls could talk they would 👏👏👏👏👏👏
If walls could see this video, they would 👏👏👏👏👏👏
Nicely done @uber_india
#saferforeachother
2d",2 DAYS AGO
"25,500 likes","shivani.singhh
It’s NO-vember . Don’t ask me for anything 🙅🏻‍♀️
.
.
.
📸 - @aishwaryaa_nayak_photography
3d",3 DAYS AGO
"3,291 likes","shivani.singhh
🌼🐝👒🌻☀️
.
.
.
Wearing @labelfrow 🌼
#reelitfeelit #reels #prettywoman #sunshine #sunflower #fashion
3d",3 DAYS AGO
"15,587 likes","shivani.singhh
All those other things, they are the glass that contains the lamp, but you are the light inside
.
.
.
Wearing @kalkifashion✨
4d",4 DAYS AGO
"27,980 likes","shivani.singhh
🌼👯‍♀️☀️
5d",5 DAYS AGO
"19,889 likes","shivani.singhh
Happiest birthday RAD BABY @radhikasethh 🌼🌼🌼🌼
.
.
.
#reelsinstagram #reels #birthdaygirl #maldives #bestf
5d",5 DAYS AGO
"16,014 likes","shivani.singhh
Your daily dose of sunshine☀️🐝🌼
.
.
.
Outfit- @labelfrow
6d",6 DAYS AGO
"11,198 likes","shivani.singhh
Menu suit suit karda🌼
1w",NOVEMBER 3
"10,702 likes","shivani.singhh
Hahaaa for @missmalinitrending 🤣❤️🌼
.
.
.
#reels #reelitfeelit
1w",NOVEMBER 2
"19,825 likes","shivani.singhh
Another one!!!!💃🏻
.
.
.
#reelitfeelit #reels #lightroom #talent #hiddental
1w",NOVEMBER 2
"9,886 likes","shivani.singhh
🦚🦚🦚
.
.
.
Outfit- @kalkifashion ✨
1w",NOVEMBER 1
"28,625 likes","shivani.singhh
🐣🐥
1w",OCTOBER 30
"21,943 likes","shivani.singhh
Which edit do you guys like better!?!?! 🌶💃🏻🥀
1w",OCTOBER 29
"13,338 likes","shivani.singhh
I live so I love , I love so I live 🌼
.
.
.
Outfit- @labelfrow ✨☀️
2w",OCTOBER 27
"18,948 likes","shivani.singhh
“You’ll never meet a man like me”
First of all, THANK GOD.
2w",OCTOBER 26
"14,436 likes","shivani.singhh
👒☀️🥂
2w",OCTOBER 24
"21,672 likes","shivani.singhh
HAPPIEST BIRTHDAY MY TWIN!!!!👯‍♀️ @mehakghaiii
2w",OCTOBER 23
"25,804 likes","shivani.singhh
I’m allowed to be high maintenance because I’m the one maintaining it
2w",OCTOBER 22
"21,234 likes","shivani.singhh
Sky looks the best when pink,
You look the best when in love with yourself 🌅
3w",OCTOBER 21
0,"shivani.singhh
Sky looks the best when pink,
You look the best when in love with yourself 🌅
3w",not known
