likes,comments
"6,580",49
"7,333",64
"6,984",48
"7,409",63
"3,576",27
"9,390",124
"8,712",95
"6,694",112
"7,514",35
"5,786",27
776,25
"4,884",20
"5,921",38
"6,235",33
11.7k,119
"6,708",29
"4,605",20
10k,87
"9,602",108
"7,867",85
"9,701",119
"6,793",54
14k,181
14.5k,174
"9,747",101
11.6k,213
15.8k,168
"7,175",70
"7,657",63
"5,663",37
"7,175",70
"7,657",63
"5,663",37
"5,446",23
11.3k,127
"6,202",37
"2,361",54
"5,439",32
"9,975",61
"2,361",54
"5,439",32
"9,975",61
"5,432",43
11.2k,156
13k,59
"4,700",92
23.7k,160
11.1k,59
"9,077",67
"6,451",22
"6,656",48
"6,558",29
"7,765",44
"7,402",44
"6,560",33
"5,721",17
"6,353",21
"9,301",55
"6,764",32
"7,536",37
"9,301",55
"6,764",32
"7,536",37
10.7k,81
"6,516",22
"8,405",38
"7,586",41
"6,697",48
"6,295",35
"7,576",43
"7,419",40
"5,456",24
"7,194",29
"4,857",15
"5,007",13
"4,733",22
"6,647",33
"5,808",24
"6,123",25
"8,980",51
"4,534",9
"6,123",25
"8,980",51
"4,534",9
"8,167",39
"5,896",15
"5,913",15
"6,042",26
"6,268",26
"9,567",100
"6,494",16
"6,945",40
"5,595",18
"6,166",50
"6,451",27
"5,248",13
"5,230",16
"7,190",26
"9,331",71
"8,889",67
"8,665",58
"6,157",25
"8,323",61
"5,883",21
"6,693",45
"8,323",61
"5,883",21
"6,693",45
"6,016",30
"5,534",32
"5,196",30
11k,83
"6,043",55
"8,259",69
"8,385",96
"5,079",31
"5,884",42
"5,413",29
"4,658",9
"3,973",23
"4,574",12
"5,041",30
"4,646",27
"4,950",21
"4,606",20
"5,817",29
"4,950",21
"4,606",20
"5,817",29
"4,851",23
"6,464",45
"5,071",15
"5,912",34
"5,015",21
"5,638",29
"5,539",23
"4,001",13
"5,145",20
"6,486",47
"5,563",24
"9,240",170
"5,815",37
"4,722",43
"6,542",25
"6,350",33
"5,198",17
"5,313",30
"6,350",33
"5,198",17
"5,313",30
"3,498",23
"4,008",35
"6,535",35
"3,673",47
"7,517",98
"3,204",33
"6,448",65
"4,799",25
"4,806",11
"4,410",18
"4,850",25
"4,960",27
"4,987",20
"4,656",37
"8,746",84
"6,040",38
"5,422",27
"5,136",29
"6,040",38
"5,422",27
"5,136",29
"6,051",35
"4,666",14
"6,131",33
"4,381",24
"7,853",64
"4,210",18
"5,027",20
"5,986",37
"6,687",42
"6,559",38
"6,814",59
"6,366",42
"4,241",9
"4,620",25
"4,755",30
"5,965",39
"7,527",50
"4,445",24
"5,965",39
"7,527",50
"4,445",24
"5,596",27
"5,748",36
"5,758",23
"4,548",33
"4,931",31
"8,932",77
"7,434",70
"6,502",35
"5,300",32
"7,286",57
"5,794",56
"4,242",36
"4,995",42
"6,206",99
"5,679",56
"6,362",66
"6,244",47
"5,436",36
"6,362",66
"6,244",47
"5,436",36
"4,322",75
"7,366",76
"4,029",50
"5,751",57
"2,626",112
"4,750",239
"7,030",69
"5,205",52
"8,977",119
"3,769",59
"3,681",44
"6,056",48
"5,041",30
"6,430",30
"4,076",15
"6,091",21
"4,472",12
"8,193",42
"6,091",21
"4,472",12
"8,193",42
"6,353",33
"6,248",73
"4,923",18
"6,568",39
"4,071",9
"5,354",21
"4,492",11
"5,143",13
"7,188",31
"4,941",23
"3,277",6
"4,637",15
"3,824",10
"4,746",26
"3,643",10
"6,443",37
"8,260",37
"5,927",31
"5,609",20
"5,225",19
"5,119",25
"5,609",20
"5,225",19
"5,119",25
"5,596",24
"6,447",26
"4,052",15
"4,292",9
"7,197",49
"3,296",8
"7,370",35
"6,826",24
"5,579",28
"5,879",28
"4,688",27
"5,111",21
"4,669",29
"5,976",42
"4,555",10
"6,035",18
"4,556",18
"6,512",55
"6,035",18
"4,556",18
"6,512",55
"7,311",35
"5,763",40
"5,912",49
"5,519",53
"5,531",28
"4,088",14
"5,519",35
"5,560",45
"4,920",27
"6,059",34
"5,698",21
"5,185",15
"4,772",17
"4,311",18
"5,891",20
"5,768",32
"7,455",70
"6,162",52
"5,768",32
"7,455",70
"6,162",52
10.5k,157
"6,745",48
"4,790",18
"5,507",37
"6,700",56
"4,578",11
"4,810",21
"4,698",16
"6,399",35
"4,361",16
"6,457",45
"5,710",67
"6,442",57
"5,928",29
"5,703",32
"5,596",23
"6,376",55
"5,891",22
"5,596",23
"6,376",55
"5,891",22
"5,710",45
"6,324",31
"5,515",32
"6,686",45
"5,905",38
"3,716",9
"5,938",40
"4,418",24
"4,734",22
"7,293",88
"5,172",20
"5,916",40
"5,289",11
"6,779",50
"4,937",40
"5,119",19
"5,355",16
"5,708",21
"5,119",19
"5,355",16
"5,708",21
"5,385",14
"7,143",26
"4,592",18
"5,817",26
"5,894",29
"7,768",69
"5,493",32
"5,877",31
"7,590",71
10.4k,148
"5,543",21
"5,507",18
"5,630",19
"4,727",21
"6,115",33
"4,229",17
"4,397",11
"4,353",22
"4,229",17
"4,397",11
"4,353",22
"3,666",13
"3,944",20
"5,738",34
"4,046",18
"3,410",13
"4,096",6
"3,540",11
"5,038",31
"5,296",10
"4,540",58
"4,933",9
"4,604",7
"4,347",14
"3,596",7
"5,079",32
"3,945",13
"3,694",16
"3,226",14
"3,945",13
"3,694",16
"3,226",14
"3,872",8
"3,980",9
"3,420",9
"4,099",13
"4,062",27
"4,452",12
"3,093",1
"3,291",7
"5,992",14
"4,207",9
"5,172",13
"4,271",9
"5,024",8
"4,278",17
"6,168",13
"5,546",28
"4,594",15
"5,208",15
"5,546",28
"4,594",15
"5,208",15
"4,500",17
"5,470",27
12.9k,46
"4,497",20
"4,579",10
"4,985",19
"6,270",28
"4,856",16
"4,594",26
"4,757",20
"5,761",26
"5,290",36
"5,302",15
"5,772",43
"6,069",40
"4,597",31
"5,773",29
"4,895",22
"3,946",14
"7,211",49
"4,962",12
"3,946",14
"7,211",49
"4,962",12
"4,487",12
"6,611",20
"5,751",29
"4,434",10
"3,294",3
"6,549",45
"4,794",19
"4,986",17
"4,648",19
"5,120",4
"4,059",6
"5,729",20
"4,362",13
"4,011",9
"7,168",56
"4,362",13
"4,011",9
"7,168",56
"4,362",13
"4,011",9
"7,168",56
"4,362",13
"4,011",9
"7,168",56
"4,362",13
"4,011",9
"7,168",56
"4,362",13
"4,011",9
"7,168",56
"4,362",13
"4,011",9
"7,168",56
"4,551",10
"6,948",33
"6,792",53
"4,551",10
"6,948",33
"6,792",53
"6,740",28
"7,199",55
"5,728",38
"6,529",36
"6,328",23
"4,777",17
"4,244",16
"7,668",73
"4,079",17
"4,654",21
"4,601",29
"5,207",16
"5,216",13
"3,119",6
"3,227",14
"3,922",20
"4,068",18
"3,946",16
"4,857",32
"6,800",30
"8,835",100
"4,857",32
"6,800",30
"8,835",100
"5,334",48
"5,300",16
"4,930",35
"3,712",14
"8,959",114
11.3k,83
"7,156",36
"6,031",35
"3,124",5
"6,988",40
"9,610",186
"4,215",24
"5,326",19
"6,876",39
"5,490",23
"4,058",13
"5,209",20
"6,460",53
"4,058",13
"5,209",20
"6,460",53
"7,321",50
"4,661",28
"4,093",12
"5,642",26
"4,296",20
10k,121
"4,883",24
"4,306",19
"6,251",30
"4,258",13
"5,195",18
"4,604",22
"4,381",10
"3,918",21
"5,101",22
"4,925",41
"5,540",19
"4,561",8
"4,925",41
"5,540",19
"4,561",8
"6,156",36
"5,659",22
"6,753",68
"5,538",23
"5,323",25
"5,182",89
"5,428",54
"5,515",47
"5,307",79
"4,456",28
"5,528",47
"5,360",63
"3,601",101
"3,527",15
"3,236",8
"4,751",26
"3,468",5
"5,442",43
"4,751",26
"3,468",5
"5,442",43
"3,138",12
"3,928",16
"2,870",6
"5,199",36
"4,051",14
"4,200",12
"4,070",25
"4,928",56
"4,931",53
"4,098",14
"3,684",8
"5,045",29
"4,668",14
"3,430",19
"5,068",40
"3,364",5
"3,681",16
"3,254",7
"4,005",13
"3,307",7
"3,187",31
"4,005",13
"3,307",7
"3,187",31
"3,019",11
"4,585",35
"4,912",29
"5,166",46
"4,689",49
"4,236",21
"3,198",12
"8,972",35
"4,838",27
"4,794",30
"2,762",4
"3,051",6
"6,709",14
"3,115",11
"3,625",11
"3,787",22
"3,988",23
"3,770",12
