likes,comments
277k,246
194k,503
150k,386
203k,536
178k,564
160k,472
183k,554
150k,177
287k,200
177k,212
269k,876
214k,466
453k,404
143k,259
211k,"1,000"
343k,677
233k,744
334k,876
131k,479
43k,143
166k,319
1.6m,"1,421"
464k,"1,171"
545k,"1,220"
372k,951
291k,593
349k,853
247k,484
360k,"1,071"
396k,"1,219"
247k,484
360k,"1,071"
396k,"1,219"
448k,"1,306"
428k,"1,451"
380k,759
208k,439
645k,228
744k,405
453k,"1,388"
434k,435
768k,740
44.7k,154
267k,"1,017"
208k,660
44.7k,154
267k,"1,017"
208k,660
228k,705
232k,862
224k,713
291k,"1,064"
446k,"1,678"
125k,566
328k,"1,821"
136k,863
165k,924
376k,492
149k,384
87k,340
57.7k,197
578k,803
211k,438
87.3k,211
275k,748
262k,865
87.3k,211
275k,748
262k,865
245k,847
186k,583
777k,952
211k,462
75k,148
104k,274
74.1k,127
100k,266
109k,283
106k,317
173k,520
238k,"1,108"
145k,347
586k,547
359k,380
62.9k,272
53.1k,131
181k,332
62.9k,272
53.1k,131
181k,332
823k,782
253k,109
81.8k,157
205k,472
161k,621
148k,404
187k,681
165k,353
114k,206
152k,295
666k,"2,040"
70.6k,136
74.1k,238
183k,362
333k,178
276k,536
145k,443
114k,280
276k,536
145k,443
114k,280
125k,279
34.8k,117
134k,376
31.3k,93
131k,295
163k,590
156k,368
168k,118
91.4k,280
176k,203
130k,252
182k,134
220k,717
49.1k,153
66.9k,225
79.9k,262
115k,313
154k,425
79.9k,262
115k,313
154k,425
181k,508
133k,335
565k,413
150k,461
219k,267
249k,288
212k,282
118k,207
105k,102
86.6k,261
168k,405
136k,331
64.4k,75
92.8k,161
158k,300
142k,244
77.8k,182
45.9k,88
142k,244
77.8k,182
45.9k,88
47.5k,111
128k,252
62.7k,109
72.1k,65
129k,340
130k,259
156k,314
100k,256
112k,261
163k,375
109k,169
984k,358
102k,327
143k,327
112k,196
222k,518
127k,243
102k,198
125k,228
34.9k,114
98.4k,127
125k,228
34.9k,114
98.4k,127
50.2k,151
89.1k,202
110k,240
147k,135
73.8k,197
77.7k,172
237k,334
45.2k,702
154k,527
115k,"1,393"
120k,316
106k,225
156k,344
245k,139
85.5k,186
84.9k,157
118k,208
183k,413
84.9k,157
118k,208
183k,413
40.6k,87
168k,257
195k,430
93.5k,144
80.1k,195
149k,96
150k,405
104k,258
125k,168
129k,339
107k,125
168k,149
161k,196
128k,309
137k,291
137k,328
70.7k,153
144k,271
137k,328
70.7k,153
144k,271
79.9k,130
227k,552
107k,217
173k,389
104k,101
103k,98
204k,186
91.7k,185
78.4k,174
92.1k,168
90.9k,215
94.2k,172
88.7k,206
122k,352
143k,308
182k,469
107k,180
129k,176
182k,469
107k,180
129k,176
202k,291
87.3k,315
77.8k,189
168k,457
75.7k,140
89.4k,141
90.4k,175
91.8k,246
59.5k,141
77.8k,176
74k,159
107k,120
87.8k,211
94.7k,214
106k,213
85.6k,168
78.3k,223
199k,580
85.6k,168
78.3k,223
199k,580
130k,366
118k,259
103k,210
117k,238
215k,501
191k,346
69.5k,138
154k,385
195k,387
137k,111
66.5k,143
94.4k,200
70.5k,146
90.8k,189
36.3k,111
66k,133
103k,192
81.5k,154
66k,133
103k,192
81.5k,154
110k,206
45.1k,87
31.1k,38
54.7k,128
89.3k,222
108k,97
36.4k,112
214k,514
203k,518
210k,518
176k,369
87.2k,84
60.6k,155
137k,175
85.7k,628
262k,305
187k,434
83.2k,187
262k,305
187k,434
83.2k,187
136k,288
94.3k,216
112k,241
102k,271
113k,206
46.4k,83
86.5k,137
76.3k,242
190k,144
132k,268
83.7k,107
132k,131
64.9k,84
167k,406
24.5k,42
209k,571
100k,237
119k,236
95.4k,201
102k,261
141k,189
95.4k,201
102k,261
141k,189
109k,304
73.4k,177
61k,106
83.8k,184
206k,632
179k,485
112k,296
111k,220
94.1k,207
94.8k,154
116k,318
148k,497
188k,486
111k,278
150k,362
136k,324
106k,286
103k,211
136k,324
106k,286
103k,211
156k,416
98k,276
225k,654
100k,257
104k,147
133k,267
68.2k,144
100k,195
132k,503
114k,290
102k,252
148k,361
119k,329
84.3k,123
64.5k,101
81.3k,139
143k,267
70.9k,106
81.3k,139
143k,267
70.9k,106
124k,246
84.7k,135
111k,199
90.4k,197
160k,143
172k,850
98k,146
101k,134
91.9k,190
186k,252
131k,325
91.8k,235
125k,257
111k,273
133k,259
72.3k,118
107k,291
248k,185
72.3k,118
107k,291
248k,185
147k,428
128k,279
149k,422
153k,422
105k,231
147k,384
189k,541
166k,289
132k,395
188k,569
119k,319
133k,364
115k,318
100k,255
78k,124
110k,266
168k,603
90.4k,196
110k,266
168k,603
90.4k,196
244k,232
242k,162
174k,537
1.8m,549
141k,389
71.3k,112
123k,315
144k,466
158k,573
429k,275
101k,359
173k,498
86.1k,191
68.9k,178
85.9k,214
60.5k,92
152k,518
258k,"1,141"
60.5k,92
152k,518
258k,"1,141"
107k,333
114k,335
155k,426
68.9k,161
128k,330
187k,607
81.1k,314
183k,571
194k,265
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
116k,346
301k,"1,268"
74.4k,172
