likes,comments
1.7m,"2,664"
1.4m,"8,221"
2.2m,16.9k
865k,"5,152"
2.7m,"4,230"
881k,"3,984"
1.5m,17.9k
1.9m,17.1k
2m,19.3k
1.2m,14.1k
1m,"9,938"
1.7m,21.9k
5.8m,"7,465"
4.7m,"3,983"
605k,"1,243"
757k,"1,990"
548k,503
643k,470
522k,547
835k,398
1.6m,"1,100"
1.6m,503
1.4m,25.8k
1.6m,"2,804"
414k,"1,005"
589k,"1,867"
5.5m,"1,295"
1.4m,"1,375"
3.4m,0
2.6m,67.8k
1.4m,"1,375"
3.4m,0
2.6m,67.8k
2.5m,17.4k
2.7m,23.5k
3.6m,"5,388"
1.9m,11.1k
1.9m,30.5k
3.4m,22.4k
2.3m,11.3k
2.8m,"2,149"
3.3m,18.2k
1.7m,"7,455"
2.7m,"8,934"
2.5m,11.9k
1.7m,"7,455"
2.7m,"8,934"
2.5m,11.9k
1.5m,"4,586"
949k,"5,245"
4.2m,"8,539"
2.7m,15.9k
2.6m,18.5k
620k,"2,342"
1.8m,"5,663"
1.3m,"4,836"
877k,"3,190"
1m,"2,681"
1.1m,"4,375"
1.2m,"3,808"
1.8m,"7,281"
3.3m,"3,424"
535k,"2,337"
2.1m,15.5k
1.8m,"9,434"
2m,"1,538"
2.1m,15.5k
1.8m,"9,434"
2m,"1,538"
677k,"2,540"
13.2m,13.6k
1.1m,"2,205"
2.1m,"8,689"
1.6m,12.8k
952k,"5,404"
4.1m,"2,726"
1.8m,"4,950"
1.1m,"4,378"
1.7m,"7,164"
1.2m,"5,412"
1.3m,"4,262"
4m,"4,337"
5.3m,"4,039"
4.1m,"4,063"
2m,"9,718"
1.6m,"7,240"
1.6m,"4,686"
1.3m,"4,824"
1m,"2,843"
1.4m,"4,451"
1.3m,"4,824"
1m,"2,843"
1.4m,"4,451"
1.6m,"4,422"
1.1m,"2,771"
1.6m,"6,276"
2.6m,12k
1.5m,"5,078"
1.2m,"3,964"
7.1m,"4,026"
2.1m,"1,834"
2.1m,"1,396"
754k,"3,464"
3.7m,"3,162"
1.5m,"8,344"
1.2m,"4,407"
2.7m,"2,060"
1.6m,"5,346"
