likes,comments
40k,361
21.8k,207
45.2k,574
18k,210
47.9k,487
46.7k,675
30.7k,229
180k,379
117k,"1,367"
36.6k,362
36.9k,502
882k,"3,397"
36.8k,481
84.8k,717
81.1k,541
176k,"1,955"
64.3k,884
66.9k,833
279k,565
79.6k,"1,181"
45.3k,427
95.9k,"3,097"
1.5m,"9,724"
216k,561
38.7k,615
58.2k,"1,470"
64k,976
265k,226
86.9k,"1,626"
93.7k,"1,666"
265k,226
86.9k,"1,626"
93.7k,"1,666"
255k,342
246k,234
105k,"1,978"
88k,"1,456"
153k,"1,021"
90.4k,"1,956"
63.8k,"1,049"
401k,829
65.5k,750
63.8k,"1,049"
401k,829
65.5k,750
51.4k,507
221k,261
340k,282
32.9k,390
13.3k,115
26.6k,307
32.2k,289
30.6k,312
47.6k,510
358k,"1,149"
235k,708
225k,412
29k,450
18.6k,178
179k,461
65.4k,"1,641"
101k,"1,769"
47.8k,672
65.4k,"1,641"
101k,"1,769"
47.8k,672
34.8k,300
41.6k,840
241k,"2,592"
147k,"1,706"
91k,875
29.3k,272
34.2k,513
23.8k,194
131k,"1,618"
23.7k,308
91.9k,901
18k,137
55.7k,860
22.9k,294
18.2k,128
67.7k,668
24.6k,281
21.9k,159
35.3k,404
67.8k,487
211k,157
35.3k,404
67.8k,487
211k,157
52.4k,680
101k,848
39.7k,411
36.4k,"1,354"
52k,647
212k,166
61.3k,627
184k,212
28.6k,323
45.3k,375
43.4k,430
22.3k,212
40.2k,305
37.8k,376
20.7k,211
56.6k,530
81.4k,349
24.3k,238
56.6k,530
81.4k,349
24.3k,238
174k,223
21.4k,183
64.6k,605
35.4k,324
56.7k,393
25.1k,262
36.3k,298
189k,261
39.2k,307
88.3k,418
31.9k,269
72.2k,"1,263"
24.9k,143
95.6k,"1,047"
71.3k,632
14.8k,178
33.8k,340
27.4k,219
14.8k,178
33.8k,340
27.4k,219
83.2k,"1,142"
32.5k,272
83k,"1,895"
75.8k,"1,081"
38.7k,296
105k,373
44.1k,474
162k,263
193k,234
50.3k,418
35.8k,443
409k,"1,065"
152k,295
23.8k,296
108k,"1,942"
24k,225
68.8k,"1,160"
75.5k,"1,459"
24k,225
68.8k,"1,160"
75.5k,"1,459"
94.6k,"1,439"
22k,125
39.7k,427
317k,278
38.1k,295
60.8k,660
44.4k,486
57.6k,498
45.7k,278
21.5k,247
125k,"1,673"
75.9k,573
47.1k,591
27.8k,218
84.1k,894
48.8k,925
82.5k,803
149k,171
48.8k,925
82.5k,803
149k,171
50.8k,582
236k,259
36.5k,691
129k,"1,272"
389k,635
381k,571
168k,985
102k,800
46.1k,279
36.9k,439
15.3k,64
33k,263
358k,"1,122"
19.4k,151
53.3k,561
180k,185
143k,687
19.2k,175
180k,185
143k,687
19.2k,175
39.3k,461
54k,352
11.7k,86
18.4k,139
39.5k,469
40.6k,216
160k,"3,219"
24.3k,222
74.5k,630
22.9k,257
32.7k,184
224k,426
29.7k,216
63.5k,773
111k,"1,059"
35.3k,142
31.8k,242
44.5k,321
35.3k,142
31.8k,242
44.5k,321
41.6k,164
246k,158
54.5k,364
16.9k,179
66.2k,620
21.5k,214
133k,"1,257"
33.1k,233
34.5k,229
58.6k,381
83.3k,"1,061"
146k,"1,992"
39.9k,431
161k,"1,019"
39k,344
45.2k,279
50.5k,341
42.4k,325
45.2k,279
50.5k,341
42.4k,325
43.3k,275
32.5k,192
44.1k,452
81.8k,687
47.8k,363
120k,"1,579"
272k,423
155k,175
38.2k,176
37.6k,495
206k,252
59.7k,"2,281"
29.8k,310
47.2k,774
19.6k,271
59.3k,461
31.5k,280
34.8k,165
70.3k,562
35.1k,298
18.6k,155
70.3k,562
35.1k,298
18.6k,155
411k,622
18k,104
41.4k,266
128k,"1,874"
507k,618
29k,205
81.1k,507
15.6k,230
83.1k,38
60.8k,749
119k,125
38.5k,295
27.6k,258
29k,204
45.1k,549
19.3k,255
24.3k,302
42.3k,528
19.3k,255
24.3k,302
42.3k,528
10.6k,161
40.1k,536
25.2k,167
24.2k,149
37.9k,340
22.2k,253
32.7k,210
32.9k,240
20k,260
23.8k,161
18.6k,260
22.6k,219
15.7k,127
16k,189
21.4k,245
25.8k,330
17.5k,159
28.5k,362
25.8k,330
17.5k,159
28.5k,362
58.5k,588
16.1k,184
29.8k,333
23.6k,104
132k,250
34.7k,259
22.6k,148
18k,160
61.7k,837
27.2k,131
23.8k,385
20k,189
23.6k,319
30.4k,"1,831"
29.3k,326
21.5k,256
20.6k,148
15.5k,106
21.5k,256
20.6k,148
15.5k,106
123k,157
27.9k,148
14.6k,158
19.3k,132
12.6k,189
38.1k,229
29.6k,393
19.4k,168
29.8k,215
34.9k,259
195k,430
18.5k,193
25.2k,262
29.3k,314
46.3k,735
22.6k,149
17.5k,168
16.4k,84
22.6k,149
17.5k,168
16.4k,84
27.8k,328
12.7k,75
21.1k,185
