likes,comments
884,13
182,17
351,30
391,17
324,22
339,13
220,19
588,29
269,17
345,15
334,26
467,30
519,29
373,20
266,17
363,16
301,11
298,18
403,21
381,18
438,23
675,26
471,23
273,12
413,26
326,20
441,30
446,31
"1,473",20
360,14
446,31
"1,473",20
360,14
202,12
330,15
813,50
378,9
421,24
435,17
341,12
"2,380",6
"1,284",16
"1,075",21
400,25
"2,351",34
"1,075",21
400,25
"2,351",34
"1,649",44
319,19
388,21
369,29
641,30
"1,110",60
"1,635",15
"1,870",25
684,44
"4,024",55
895,15
445,36
592,33
"1,488",21
"1,490",25
439,33
460,24
"2,370",6
439,33
460,24
"2,370",6
366,23
471,38
663,31
470,27
414,16
281,16
"1,440",15
872,56
438,20
477,24
727,29
621,35
365,23
42,1
451,23
498,15
348,13
480,25
495,28
292,15
394,18
495,28
292,15
394,18
249,12
384,14
290,6
233,4
428,11
400,14
603,28
380,25
965,64
446,20
352,13
771,29
"3,628",28
442,21
441,15
665,25
617,25
425,17
665,25
617,25
425,17
"1,126",35
386,23
390,19
447,32
698,36
543,23
651,25
566,78
388,30
364,18
490,29
488,27
422,22
523,29
459,30
364,28
524,25
379,11
364,28
524,25
379,11
587,30
505,16
347,25
424,29
438,27
788,36
330,20
640,42
718,50
306,14
"2,912",29
820,45
624,46
779,49
510,47
792,42
304,13
391,23
792,42
304,13
391,23
383,24
314,12
704,42
591,47
413,34
623,38
383,23
567,38
412,15
682,38
531,27
350,20
531,30
598,42
546,38
544,55
581,34
769,48
544,55
581,34
769,48
"1,508",20
781,42
388,19
903,52
676,27
627,36
"1,004",14
800,43
"1,017",60
596,44
430,34
668,60
589,41
"4,034",36
417,34
756,45
472,24
838,51
756,45
472,24
838,51
856,50
343,25
534,32
448,26
554,25
574,25
406,27
684,34
592,35
"1,151",61
535,29
694,40
781,40
798,40
582,31
814,50
556,38
856,46
814,50
556,38
856,46
610,25
424,30
737,34
643,27
309,20
684,38
408,20
552,23
786,40
800,43
437,14
"2,079",17
485,23
694,39
692,46
609,31
545,37
684,31
609,31
545,37
684,31
664,40
974,44
"1,826",9
951,51
986,33
923,34
"1,147",60
646,26
743,24
529,19
"1,009",52
"2,695",23
633,30
628,35
635,25
651,22
"1,249",36
872,47
937,41
386,12
"1,031",45
937,41
386,12
"1,031",45
"1,576",18
774,33
"2,631",15
979,54
599,25
849,28
564,17
681,32
869,26
527,35
615,19
846,30
"1,240",32
697,25
835,34
860,36
"1,256",58
971,46
860,36
"1,256",58
971,46
991,35
"1,073",46
615,24
615,21
683,33
649,23
552,13
766,30
529,28
455,23
575,23
752,34
954,27
676,28
680,28
418,19
584,19
695,31
418,19
584,19
695,31
517,19
740,34
558,27
943,35
"2,462",9
758,25
"1,000",36
443,22
796,41
646,26
406,8
474,13
2,21
665,23
498,18
542,16
609,38
642,35
542,16
609,38
642,35
484,19
768,33
257,7
"1,779",13
915,51
"1,037",44
795,38
713,32
"7,258",24
508,25
748,35
833,28
554,18
962,62
"1,371",54
647,26
"1,065",41
"2,161",86
647,26
"1,065",41
"2,161",86
"1,084",48
549,22
523,28
543,23
485,16
627,23
490,23
470,17
417,10
536,25
570,30
602,23
532,21
575,14
"9,166",49
576,17
553,31
"2,063",12
576,17
553,31
"2,063",12
473,17
283,10
375,13
293,12
410,23
328,10
571,26
411,11
351,13
246,17
"4,414",21
465,9
402,13
357,8
420,24
390,18
359,17
390,23
390,18
359,17
390,23
401,18
578,34
905,28
599,28
652,32
345,19
624,23
"1,049",7
445,15
380,18
406,21
"3,057",11
205,7
915,44
489,20
671,30
"2,152",18
530,35
205,9
"2,102",4
"1,507",17
205,9
"2,102",4
"1,507",17
410,29
432,27
231,7
"4,804",24
475,23
416,22
432,15
900,50
485,17
430,15
"1,304",13
405,24
707,9
"1,059",11
369,28
443,31
417,31
299,23
443,31
417,31
299,23
510,23
632,46
"1,169",8
302,16
675,48
265,21
388,23
233,13
252,12
291,15
301,15
246,11
309,16
229,14
205,15
257,5
215,9
273,17
257,5
215,9
273,17
209,7
380,20
226,12
