likes,comments
583,13
753,37
451,7
468,19
736,30
528,16
523,9
439,11
"1,739",29
"1,108",26
"1,018",15
824,10
584,1
950,25
844,23
369,3
548,23
"1,055",30
800,13
977,23
"2,076",20
"1,406",4
596,7
"1,231",42
797,7
"1,072",15
811,10
937,16
"1,007",14
662,10
937,16
"1,007",14
662,10
608,10
"1,277",28
850,9
"1,663",46
"1,645",23
791,24
"1,335",22
590,12
"1,279",62
"1,335",22
590,12
"1,279",62
248,5
"1,671",31
726,15
"1,902",43
355,9
"2,348",28
859,14
154,0
512,8
847,18
689,1
"1,388",20
"1,562",36
620,5
230,6
315,9
702,18
"1,054",18
315,9
702,18
"1,054",18
"1,051",21
"1,153",19
771,51
820,7
464,2
756,14
689,11
505,4
846,27
710,16
"2,281",12
927,12
826,20
588,5
672,4
871,12
556,8
555,5
768,9
"1,710",31
598,3
768,9
"1,710",31
598,3
640,16
350,5
452,4
972,50
"1,987",0
"1,558",32
808,18
439,5
493,10
311,2
610,17
448,13
574,9
931,24
366,4
591,3
789,6
"1,430",26
591,3
789,6
"1,430",26
484,4
"1,029",24
813,7
662,5
"1,054",14
908,41
"1,126",22
"2,073",38
"1,134",13
974,26
632,9
"8,313",46
963,18
315,4
933,23
"1,076",10
"1,532",13
"1,858",46
"1,076",10
"1,532",13
"1,858",46
"1,012",12
"1,027",14
608,4
"1,781",36
"1,243",27
"1,089",14
"5,323",12
487,2
"2,016",40
"1,635",30
"1,249",19
"1,131",14
"2,177",11
939,15
"1,865",14
"1,338",29
590,5
"1,014",10
"1,338",29
590,5
"1,014",10
"1,225",26
"1,200",27
"1,204",21
501,12
424,4
693,3
906,17
491,6
808,9
976,12
439,5
388,5
982,17
257,0
411,2
601,6
329,7
511,15
601,6
329,7
511,15
666,12
371,7
343,6
671,23
590,12
362,1
"1,214",28
476,15
623,14
472,9
602,18
707,10
485,3
"1,084",22
"1,340",78
688,11
202,1
"1,299",17
688,11
202,1
"1,299",17
689,3
390,17
538,13
"1,078",11
532,4
"1,042",20
816,22
635,8
"1,021",10
621,7
"1,454",9
973,14
472,9
93.8k,8
843,12
"1,662",33
38.6k,33
"1,099",27
"1,662",33
38.6k,33
"1,099",27
30.5k,24
"1,688",30
29.4k,4
854,17
"1,772",32
"1,102",15
"1,409",17
590,21
582,19
"1,312",35
"1,364",25
747,24
"1,380",50
"1,525",24
"1,236",19
780,8
944,14
"1,142",19
780,8
944,14
"1,142",19
945,11
"2,002",28
"1,085",11
"1,609",23
"1,034",21
"1,166",30
695,5
712,6
665,6
"1,034",18
"1,008",16
48.9k,5
"1,058",10
711,13
937,26
"1,282",3
847,21
970,15
"1,328",5
"1,225",10
"1,477",16
"1,328",5
"1,225",10
"1,477",16
"1,094",23
855,12
"1,106",29
"1,050",17
999,19
"1,112",10
942,19
"1,263",23
784,10
"1,440",30
710,34
"1,238",26
"1,399",13
"1,024",9
746,7
"1,028",13
"1,285",11
"1,388",14
"1,028",13
"1,285",11
"1,388",14
"1,082",20
"1,219",25
"1,975",36
"1,100",18
563,10
863,12
"1,056",15
"1,020",15
613,5
826,9
"1,022",9
"1,398",14
798,8
"1,618",33
658,9
"1,032",12
662,5
600,11
"1,032",12
662,5
600,11
683,4
815,9
740,5
580,12
"1,180",23
692,9
635,8
674,11
554,10
721,9
518,9
524,2
507,3
387,20
622,6
841,13
796,9
363,2
841,13
796,9
363,2
459,6
"1,672",6
214,13
954,20
270,9
738,8
"1,170",25
855,3
933,3
781,12
612,23
722,5
677,14
856,18
738,9
644,10
421,9
806,16
644,10
421,9
806,16
583,6
"1,112",14
"1,165",17
