likes,comments
"1,019",42
"2,020",94
"2,134",50
"1,858",65
"2,819",44
"1,735",45
"2,854",58
"1,887",103
"1,951",58
"2,193",53
"1,569",45
"3,161",59
"2,568",62
"2,279",60
"1,636",57
"2,131",78
"2,286",75
"2,784",89
"3,225",48
"2,775",62
"2,767",68
"4,982",62
"1,693",54
"3,569",82
"4,165",51
"3,072",57
"2,718",47
"2,222",58
"4,705",58
"3,002",69
"2,222",58
"4,705",58
"3,002",69
"1,681",61
"2,615",75
"3,488",85
"3,028",51
"2,887",57
"4,298",77
"3,028",51
"2,887",57
"4,298",77
"2,636",30
"3,944",76
"5,711",101
"2,553",53
"3,093",45
"2,879",51
"5,018",67
"3,284",77
"2,493",49
"3,585",45
"4,682",58
"2,559",64
"3,837",75
"2,505",49
"5,666",81
"4,111",66
"3,515",88
"2,426",55
"4,111",66
"3,515",88
"2,426",55
"2,514",64
"4,948",98
"3,949",115
"4,308",98
"3,252",66
"3,903",95
"4,856",87
"5,263",134
"4,663",89
"5,848",140
"4,564",204
"6,989",100
"3,121",70
"4,396",171
"2,224",44
"4,399",86
"3,921",91
"6,405",141
"4,399",86
"3,921",91
"6,405",141
"6,225",61
"4,478",83
"6,438",80
"2,338",55
"4,005",81
"5,702",96
"2,697",64
"4,141",71
"4,130",64
"6,950",108
"3,977",81
"3,098",58
"2,720",101
"4,103",100
"4,653",56
"2,013",45
"3,717",62
"3,818",102
"2,421",72
"3,937",80
"3,385",99
"2,421",72
"3,937",80
"3,385",99
"6,034",83
"2,373",74
"3,486",84
"2,904",91
"5,544",94
"5,513",104
"6,468",54
"3,076",69
"4,007",69
"4,016",78
"2,312",61
"4,379",107
"3,808",81
"4,002",84
"1,554",39
"4,795",73
"4,108",61
"3,352",54
"4,795",73
"4,108",61
"3,352",54
"2,961",80
"1,766",70
"1,854",98
"1,446",65
"1,659",52
"2,088",96
"1,860",92
"2,077",103
"3,024",56
"3,343",131
"1,911",46
"2,168",68
"1,719",90
"2,286",112
"1,955",72
"2,516",84
"1,729",99
"2,044",72
"2,516",84
"1,729",99
"2,044",72
"2,204",91
"1,562",73
"1,606",43
"3,248",83
"2,879",179
"2,641",89
"2,352",78
"1,919",57
"2,984",66
"2,744",131
"4,407",116
"2,694",98
"4,380",115
"2,062",79
"4,334",108
"5,127",119
"2,819",116
"2,601",68
"5,127",119
"2,819",116
"2,601",68
"3,373",68
"2,474",82
"5,703",150
"2,783",64
"2,030",107
"3,968",99
"2,649",54
"4,541",97
"2,429",59
"4,226",73
"4,053",92
"3,356",76
"3,947",106
"2,981",65
"3,574",85
"2,443",74
"2,676",74
"2,696",93
"2,443",74
"2,676",74
"2,696",93
"2,112",49
"3,360",71
"7,488",97
"2,744",68
"3,168",126
"3,921",107
"3,624",76
"2,555",68
"4,878",81
"5,394",79
"4,293",83
10.4k,114
"5,093",98
"4,139",87
"5,591",159
11.1k,107
"5,426",65
"4,621",97
11.1k,107
"5,426",65
"4,621",97
"9,029",175
"3,731",109
"4,016",90
"3,089",81
"1,949",63
"4,537",73
"2,935",105
"5,055",101
"5,003",77
"3,392",52
"3,573",107
"3,255",122
"2,274",56
"4,863",166
"3,323",58
"3,692",54
"2,196",69
"5,913",102
"3,692",54
"2,196",69
"5,913",102
"2,918",63
"5,672",106
"2,700",53
"4,546",104
"5,168",131
"2,032",81
"3,011",68
10.6k,134
"3,745",109
"1,798",64
"1,804",62
"1,898",78
"2,002",63
"3,112",61
"2,000",102
"2,541",49
"2,621",72
"4,503",114
"2,810",85
"3,076",70
"3,005",87
"2,810",85
"3,076",70
"3,005",87
"2,996",72
"2,620",84
"2,383",69
"3,703",111
"3,031",68
"3,105",83
"2,116",82
"2,167",53
"2,232",27
"2,395",90
"1,458",48
"2,213",65
"2,823",77
"1,521",57
"2,231",106
"1,886",69
"2,513",59
"1,504",34
"1,886",69
"2,513",59
"1,504",34
"2,930",52
"2,408",55
"2,755",69
"2,647",54
"1,181",21
"1,888",44
"2,524",75
"1,835",22
"2,274",45
"1,181",46
"1,262",43
"2,976",30
"1,183",36
"1,321",43
"1,326",31
"1,950",52
"1,359",54
"1,304",39
"1,950",52
"1,359",54
"1,304",39
"1,676",40
"1,331",42
"2,134",75
"1,159",43
"1,557",60
"4,345",81
"7,093",44
"2,722",55
"1,783",48
