likes,comments
4.4m,33.3k
2.8m,12.3k
11.8m,24.9k
2.2m,11.2k
5.4m,16.8k
5.1m,29.2k
1.8m,19k
4.5m,23.8k
6.5m,34.2k
3.2m,15.3k
2.8m,11k
847k,0
1.4m,"7,161"
3.7m,19.7k
6.2m,34.3k
3m,31.4k
11.6m,16.2k
1.4m,0
3.7m,19.2k
1m,0
7.4m,17.2k
2.8m,23.2k
1m,0
4.4m,16.4k
809k,0
4.7m,19.3k
3.2m,14.6k
4.2m,52.4k
4.9m,30.5k
7.3m,55.7k
4.2m,52.4k
4.9m,30.5k
7.3m,55.7k
5m,27.6k
5.8m,37.4k
1.1m,0
3.2m,"9,175"
966k,0
3.4m,12.9k
5.3m,24.6k
3.8m,36.5k
4.9m,27.3k
2.7m,43.7k
11.8m,18.4k
3.7m,19.6k
2.7m,43.7k
11.8m,18.4k
3.7m,19.6k
5.3m,23.1k
6.7m,44.4k
13.4m,81.2k
3.9m,17.6k
7.7m,54.1k
4.6m,75.8k
7.2m,44.8k
5.6m,36.2k
3.9m,117k
3.3m,18.7k
4.5m,35.5k
921k,0
11.4m,73.8k
1.2m,0
7m,54.1k
7m,35.4k
10.4m,69.8k
6.6m,47.1k
7m,35.4k
10.4m,69.8k
6.6m,47.1k
12m,133k
7.4m,53.6k
2.7m,23.6k
6m,22.6k
7.1m,32.8k
6.7m,20.5k
2m,26.3k
5.4m,36.9k
5.1m,49.1k
3.5m,28.8k
4.3m,35.6k
1.6m,0
2.3m,21.9k
4.5m,50.5k
8.8m,48.2k
2.4m,0
2.5m,"9,435"
4.2m,37.8k
3.5m,39.5k
6.2m,53.5k
1m,0
3.5m,39.5k
6.2m,53.5k
1m,0
5.9m,68.5k
990k,0
8.6m,33.8k
8.7m,97.8k
2m,18.1k
5.6m,42.3k
2.4m,12.5k
3m,20.1k
2.6m,13.7k
2.1m,12.8k
4.8m,40.3k
6.6m,73.2k
4.5m,28.5k
3.6m,"6,966"
2m,0
2m,0
3.5m,25.8k
3.5m,28.8k
2m,0
3.5m,25.8k
3.5m,28.8k
17.1m,42.3k
4.2m,32.7k
5.3m,49.7k
4.9m,0
934k,0
1m,0
7.2m,68.7k
4.6m,24.2k
4m,20.8k
3.3m,17.4k
5.2m,29.6k
19m,160k
4.7m,0
2m,0
2.7m,0
1.9m,0
4.7m,38.5k
1.1m,"7,726"
1.9m,0
4.7m,38.5k
1.1m,"7,726"
1.7m,16.4k
1.4m,"9,735"
1.2m,"7,034"
2.2m,12.7k
16.7m,26.4k
6.5m,46.7k
13.1m,23.9k
6.3m,46k
4.7m,29.1k
2.2m,11.3k
7.7m,18.5k
2.3m,16.1k
5.7m,36.3k
8m,45.5k
17m,52.7k
5.5m,40.5k
7.9m,64k
1.6m,0
5.5m,40.5k
7.9m,64k
1.6m,0
2.8m,25.9k
4.5m,29.6k
6.6m,30.4k
2.8m,11.8k
4.8m,21.3k
4.8m,22.7k
1.9m,"9,985"
9.2m,64.9k
4m,12.3k
9.8m,24.9k
6m,51.4k
2.7m,"7,282"
3.4m,13.3k
3m,10.8k
3.4m,16.4k
6.5m,28k
5.7m,12.2k
5.7m,44.5k
6.5m,28k
5.7m,12.2k
5.7m,44.5k
4.5m,"9,092"
4.4m,22.3k
3.2m,"8,593"
6.9m,54k
2.1m,"9,875"
7.3m,79.7k
2.5m,"6,167"
1.6m,"7,776"
4.1m,17.8k
1.3m,"8,815"
3m,36.6k
2.2m,18k
1.3m,0
3.7m,18.1k
12.3m,26.6k
1.3m,27.9k
4.9m,40.8k
16.5m,77.6k
1.3m,27.9k
4.9m,40.8k
16.5m,77.6k
2.8m,22.1k
2.6m,24.4k
5.3m,27.9k
1.4m,10.1k
1.6m,"9,041"
1.6m,"7,258"
2.8m,19.2k
1.5m,0
10.5m,58.3k
3.3m,"4,305"
2.7m,12.9k
4.3m,31.8k
2.7m,19k
2.1m,41k
4.8m,43.3k
7m,20.2k
2.4m,20k
3.8m,16k
7m,20.2k
2.4m,20k
3.8m,16k
3.8m,12.7k
4.4m,22.8k
2.2m,11.1k
5.1m,34.9k
5.2m,34.6k
1.7m,10.7k
8.5m,46.4k
3m,28.6k
3.7m,16.8k
5.2m,"8,744"
1.2m,"8,384"
1.3m,12.2k
2.5m,12k
3.9m,36.8k
10.9m,15.4k
1.5m,"3,207"
3.4m,"1,791"
5.5m,"1,754"
1.5m,"3,207"
3.4m,"1,791"
5.5m,"1,754"
1.7m,0
1.8m,11.4k
9m,17.6k
1.7m,18k
5.3m,14.5k
1.6m,"3,901"
3.7m,32.6k
2.9m,24k
2.8m,"3,187"
3m,"8,335"
2.8m,"1,159"
1.6m,"1,084"
16.8m,"2,819"
1.5m,892
1.1m,635
1.2m,676
2.4m,906
1.9m,586
3.3m,723
4.1m,968
1.8m,508
3.3m,723
4.1m,968
1.8m,508
2.9m,535
10.8m,"1,746"
2.4m,"1,036"
2.5m,577
4.7m,"2,931"
13.6m,"1,811"
4.8m,11k
1.3m,535
4.2m,"1,210"
2.8m,21k
948k,"7,696"
2.2m,"9,277"
4.7m,34k
5.9m,"9,720"
2.3m,17k
1.9m,"9,421"
2.2m,23.7k
2.3m,22.4k
1.9m,"9,421"
2.2m,23.7k
