likes,comments
247k,"2,164"
90.5k,"1,164"
108k,"1,449"
254k,"3,316"
159k,"2,297"
191k,"3,797"
180k,"8,099"
243k,"3,435"
180k,"2,375"
226k,"2,122"
381k,"4,137"
266k,"2,595"
207k,"1,998"
386k,"4,614"
233k,"1,620"
295k,"1,257"
352k,"2,458"
298k,"2,156"
230k,"1,255"
321k,"3,611"
237k,"1,384"
284k,"4,322"
334k,"3,256"
336k,"3,295"
289k,"3,683"
265k,"2,932"
299k,"4,429"
156k,"1,958"
278k,"4,397"
322k,"3,819"
156k,"1,958"
278k,"4,397"
322k,"3,819"
296k,"3,050"
203k,"2,780"
204k,"2,258"
359k,"4,206"
280k,"3,407"
249k,"3,726"
279k,"4,215"
359k,"5,152"
269k,"3,067"
279k,"4,215"
359k,"5,152"
269k,"3,067"
299k,"3,889"
328k,"4,569"
303k,"4,805"
378k,"3,693"
426k,"3,759"
377k,"4,535"
330k,"3,474"
387k,"3,830"
192k,"5,439"
194k,"1,968"
308k,"3,260"
187k,"2,749"
345k,17.2k
416k,"1,871"
421k,"4,014"
374k,"1,587"
207k,"2,016"
264k,"3,478"
374k,"1,587"
207k,"2,016"
264k,"3,478"
327k,"3,009"
2.6m,"3,716"
502k,"3,524"
307k,"3,538"
349k,"4,705"
268k,"2,524"
407k,"5,311"
325k,"3,626"
235k,"1,861"
264k,"2,096"
349k,"5,478"
999k,30.7k
305k,"4,486"
291k,"2,867"
334k,"4,042"
487k,"3,604"
253k,"1,993"
350k,"4,017"
487k,"3,604"
253k,"1,993"
350k,"4,017"
416k,"4,864"
520k,"4,223"
366k,"6,876"
212k,"3,336"
460k,"2,422"
185k,"1,246"
295k,"1,185"
445k,"1,905"
344k,"5,130"
293k,"2,551"
486k,"2,662"
332k,"2,163"
494k,"3,715"
208k,"1,577"
195k,"1,629"
371k,"1,995"
496k,"4,181"
974k,"4,697"
371k,"1,995"
496k,"4,181"
974k,"4,697"
318k,"3,461"
148k,"1,776"
295k,"5,610"
319k,"3,516"
179k,"2,970"
169k,"1,357"
317k,"8,456"
370k,"2,031"
307k,"3,497"
414k,"6,931"
218k,"1,926"
336k,"3,721"
224k,"2,720"
304k,"3,155"
246k,"4,972"
312k,"3,755"
195k,"1,774"
501k,"2,358"
312k,"3,755"
195k,"1,774"
501k,"2,358"
356k,"2,385"
314k,"3,288"
328k,"3,159"
1.1m,"5,571"
446k,"3,309"
317k,"1,582"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
379k,"2,235"
292k,"2,420"
400k,"2,154"
