likes,comments
58.6k,2
150k,0
142k,0
583k,6
463k,6
199k,5
391k,0
364k,5
142k,1
189k,2
120k,1
101k,1
102k,0
116k,2
155k,4
167k,1
204k,7
47k,0
214k,9
64.4k,0
277k,3
324k,3
316k,6
319k,0
442k,713
483k,0
84.5k,0
251k,562
317k,0
289k,0
251k,562
317k,0
289k,0
450k,0
151k,0
302k,0
231k,"1,928"
174k,958
195k,0
206k,"1,135"
182k,466
265k,0
197k,277
575k,391
135k,100
197k,277
575k,391
135k,100
130k,111
178k,130
131k,127
197k,121
273k,153
271k,227
174k,527
169k,38
247k,124
319k,85
485k,221
292k,55
290k,34
211k,27
231k,17
277k,83
197k,12
920k,17
277k,83
197k,12
920k,17
267k,32
317k,50
97.8k,42
109k,21
347k,56
129k,9
186k,17
1m,138
643k,32
911k,50
137k,0
535k,0
479k,0
349k,0
542k,0
507k,0
78.7k,0
511k,938
507k,0
78.7k,0
511k,938
437k,0
331k,0
314k,0
361k,790
311k,0
356k,0
110k,0
393k,0
519k,0
220k,0
744k,0
196k,0
124k,0
89.6k,0
93.6k,0
1.6m,"1,280"
146k,0
346k,0
1.6m,"1,280"
146k,0
346k,0
258k,0
247k,0
470k,0
295k,0
390k,0
606k,"1,094"
70k,0
348k,"2,085"
317k,0
571k,0
408k,977
666k,0
220k,0
213k,0
454k,0
473k,0
428k,0
612k,0
473k,0
428k,0
612k,0
353k,0
1.7m,0
2.2m,0
353k,0
398k,0
403k,0
1.4m,0
465k,0
581k,0
303k,0
807k,0
280k,0
236k,0
740k,0
490k,0
364k,0
168k,0
316k,0
364k,0
168k,0
316k,0
279k,0
511k,0
458k,0
400k,0
287k,0
192k,0
273k,0
442k,0
149k,0
175k,0
249k,0
301k,0
201k,480
319k,"1,380"
588k,"2,475"
500k,"2,348"
376k,"1,957"
294k,431
352k,"1,416"
366k,"2,538"
379k,"1,834"
352k,"1,416"
366k,"2,538"
379k,"1,834"
539k,"2,893"
153k,446
289k,"1,259"
475k,"2,235"
610k,558
628k,"4,309"
519k,"3,078"
656k,"3,919"
201k,617
379k,969
733k,"3,282"
345k,"1,307"
145k,626
378k,"1,706"
464k,479
306k,875
380k,"1,613"
558k,"3,368"
306k,875
380k,"1,613"
558k,"3,368"
494k,"2,485"
1.2m,"3,868"
328k,"1,561"
2.7m,"2,543"
330k,"1,573"
319k,"1,542"
449k,"2,433"
336k,"1,376"
372k,"1,755"
348k,"1,368"
506k,"2,484"
478k,"2,276"
155k,555
384k,"1,370"
528k,"2,704"
914k,"1,318"
675k,"4,564"
480k,"2,361"
914k,"1,318"
675k,"4,564"
480k,"2,361"
1.3m,817
276k,971
455k,"2,129"
273k,985
650k,"3,194"
353k,"2,206"
311k,"1,223"
203k,369
428k,"1,387"
489k,"2,401"
461k,"2,769"
379k,"1,999"
1.5m,"7,894"
486k,"2,167"
253k,252
430k,"1,470"
138k,659
425k,"2,835"
430k,"1,470"
138k,659
425k,"2,835"
338k,"1,748"
325k,"1,728"
304k,"1,560"
447k,"2,362"
723k,"3,956"
248k,189
261k,"1,255"
331k,628
397k,"2,220"
500k,"2,319"
322k,"1,756"
571k,783
265k,"1,193"
167k,265
345k,478
670k,"3,914"
371k,"2,426"
1.3m,"1,909"
670k,"3,914"
371k,"2,426"
1.3m,"1,909"
430k,"2,148"
289k,"1,186"
296k,"1,534"
248k,"1,124"
256k,"1,993"
402k,"2,738"
348k,0
425k,0
491k,0
240k,419
124k,240
231k,987
170k,576
296k,"1,584"
397k,"2,056"
447k,625
413k,"1,955"
306k,"1,240"
447k,625
413k,"1,955"
306k,"1,240"
165k,768
347k,"1,882"
175k,824
417k,393
489k,"1,154"
329k,"1,929"
294k,"1,490"
245k,925
397k,"2,240"
512k,"4,258"
492k,"1,972"
561k,"2,863"
594k,"3,221"
300k,"1,340"
357k,"2,519"
283k,365
356k,"1,598"
659k,"2,141"
283k,365
356k,"1,598"
659k,"2,141"
377k,"2,837"
578k,"3,518"
214k,379
597k,"5,563"
412k,"2,247"
279k,"1,395"
380k,"1,905"
249k,"1,119"
437k,"2,172"
439k,615
441k,743
268k,"1,148"
369k,"1,760"
203k,"1,148"
211k,762
196k,682
236k,887
253k,"1,008"
1.1m,946
314k,"1,516"
330k,423
1.1m,946
314k,"1,516"
330k,423
290k,"1,104"
300k,324
1.1m,695
234k,710
400k,"1,801"
305k,"1,153"
233k,"1,059"
354k,"1,456"
292k,"1,171"
482k,"2,463"
96.4k,373
464k,"1,176"
163k,490
154k,494
2.3m,"2,484"
434k,410
813k,"1,678"
1.1m,802
434k,410
813k,"1,678"
1.1m,802
649k,460
315k,829
201k,701
307k,422
438k,"2,238"
163k,604
457k,"2,340"
795k,475
665k,553
97.9k,421
1m,"1,206"
380k,"1,728"
523k,"3,434"
98.6k,494
105k,483
364k,"1,850"
397k,"1,700"
383k,"2,931"
364k,"1,850"
397k,"1,700"
383k,"2,931"
191k,719
414k,"1,667"
2.3m,"2,874"
327k,"2,728"
208k,"1,129"
215k,"2,164"
394k,"2,781"
984k,"2,167"
991k,"1,303"
1.1m,"2,246"
382k,"3,162"
