likes,comments
41.6k,220
13.2k,44
55.1k,895
84.7k,377
75k,"1,027"
39.6k,135
43.7k,212
30.9k,198
41.2k,200
43.8k,186
35k,304
71.1k,834
53.4k,829
50.3k,299
147k,470
52k,273
47.9k,340
70k,524
39.6k,534
39.9k,224
20.1k,144
37.3k,222
38.9k,372
41.6k,228
65.4k,526
56.7k,178
53k,297
37.9k,195
26.9k,115
41.5k,212
37.9k,195
26.9k,115
41.5k,212
26.2k,221
27.8k,200
41.1k,236
67.8k,573
31.1k,338
40k,182
62k,545
51.9k,516
39.9k,386
62k,545
51.9k,516
39.9k,386
33.4k,183
48.6k,228
47.6k,465
45.7k,440
45.5k,283
40.1k,209
35.3k,237
"7,807",94
79.3k,"1,110"
36.2k,207
35.7k,186
35.3k,177
30.9k,175
44.2k,320
34.2k,173
128k,278
122k,165
48.8k,268
128k,278
122k,165
48.8k,268
49.8k,516
35.6k,338
63.2k,384
48.4k,269
62.3k,547
93.7k,400
26.7k,119
30.2k,228
88.4k,"1,192"
91.1k,368
67.3k,580
52.2k,316
66.7k,"1,008"
57.1k,434
49.7k,429
58.5k,505
53.1k,429
71.9k,788
67.4k,446
89k,"1,505"
55.2k,456
67.4k,446
89k,"1,505"
55.2k,456
48.6k,331
38.7k,434
43.1k,252
36.5k,232
53.7k,307
64.6k,658
45.8k,429
32k,395
38.7k,250
70.3k,591
44.6k,356
23.5k,172
31.3k,279
43.7k,292
57.5k,492
50.3k,485
196k,"1,162"
34k,271
50.3k,485
196k,"1,162"
34k,271
30.4k,201
34.4k,173
66.4k,663
65.6k,891
46.3k,354
34.2k,211
43.5k,230
48.6k,389
19.9k,130
47.4k,397
63.6k,715
37.6k,357
36.1k,211
53.3k,436
184k,662
63.7k,755
33.9k,192
28k,336
63.7k,755
33.9k,192
28k,336
143k,461
33.1k,323
38.5k,210
106k,286
76.4k,952
40.8k,264
49.8k,319
33.5k,264
36.7k,280
50.5k,394
36.8k,258
125k,521
28.9k,146
85.7k,226
32.5k,166
41.5k,224
36.2k,205
38.2k,230
41.5k,224
36.2k,205
38.2k,230
67.9k,215
49.2k,338
68.5k,175
100k,516
36k,185
11.5k,50
38.6k,223
44.7k,328
24.1k,151
28.9k,175
49.1k,372
40.4k,261
36.7k,206
48.7k,430
258k,"1,109"
38.4k,316
45.7k,278
51.4k,"1,433"
38.4k,316
45.7k,278
51.4k,"1,433"
163k,620
31.9k,148
96.1k,328
22.5k,312
51.3k,343
44.9k,422
92.6k,"1,424"
44k,377
42.7k,183
27k,144
110k,379
15k,75
37.5k,333
32.5k,190
41.5k,324
23k,156
58.4k,518
36.7k,228
23k,156
58.4k,518
36.7k,228
44.6k,426
45.8k,503
39.8k,90
33.8k,494
64k,543
35.8k,273
24.2k,110
28.1k,407
36.1k,315
32k,169
44.4k,362
33.5k,263
29.5k,193
23.8k,140
23.8k,95
12.2k,138
24.8k,236
121k,633
12.2k,138
24.8k,236
121k,633
43.7k,379
27.5k,269
20.2k,80
38k,263
30.4k,183
26.3k,175
239k,"1,632"
75.6k,230
25.1k,153
49.2k,409
35.1k,203
54.6k,511
48.4k,467
12.9k,158
31.2k,227
42.4k,403
45.5k,100
90.1k,450
42.4k,403
45.5k,100
90.1k,450
65.8k,865
39.3k,627
201k,"1,329"
30.4k,169
42.2k,365
35.5k,256
111k,451
131k,287
36.7k,352
14.8k,107
11.9k,61
27.2k,345
34.6k,296
34.2k,337
36.2k,296
36k,333
26.9k,227
34.6k,282
21.6k,122
16.1k,65
24k,422
21.6k,122
16.1k,65
24k,422
29.8k,228
45.3k,309
19.7k,127
20.5k,282
31.4k,195
62.2k,163
32.4k,313
12.8k,94
28k,222
60.4k,738
32.2k,212
28k,207
35.1k,312
23.7k,186
37.8k,462
28k,205
133k,731
45.3k,777
28k,205
133k,731
45.3k,777
26.3k,214
18.8k,179
35.2k,268
30.8k,228
28.3k,347
33.1k,242
10.3k,125
42.6k,381
42.4k,312
12.9k,108
14.2k,266
15.9k,111
12k,61
15.3k,88
36.4k,370
33.7k,288
30.7k,341
19.8k,121
33.7k,288
30.7k,341
19.8k,121
25.4k,174
16.5k,101
16.1k,104
18.5k,122
16.2k,113
19.9k,108
12.5k,90
12.8k,92
18.8k,122
17.7k,85
15.9k,96
13k,98
17.2k,110
21.4k,114
50.2k,97
"6,530",44
15.6k,147
16.4k,109
"6,530",44
15.6k,147
16.4k,109
23.2k,154
71.5k,305
25k,283
18k,121
17.4k,235
17.9k,184
68.1k,350
22.9k,163
27.3k,245
20.3k,105
29k,249
34.2k,374
27.3k,194
21k,145
36.9k,421
25.2k,189
31.2k,209
31.7k,376
25.2k,189
31.2k,209
31.7k,376
"9,744",64
42.8k,220
31.7k,330
