likes,comments
"4,551",277
"1,510",53
"1,121",27
"1,375",60
"1,373",60
"1,017",34
"2,464",56
872,53
867,26
"1,296",71
787,69
"1,562",81
"1,194",45
"1,129",41
"1,455",63
"1,825",117
"1,535",68
"1,267",60
"1,494",64
"1,536",63
"1,172",46
"1,400",98
"1,498",80
767,72
"1,742",85
"2,273",67
"1,092",32
908,56
"1,132",44
583,16
908,56
"1,132",44
583,16
"1,673",61
"1,068",57
916,44
"1,195",54
607,28
"1,382",53
"1,195",54
607,28
"1,382",53
"1,616",24
859,46
694,16
"1,484",61
552,28
"1,214",62
"1,898",40
"1,788",33
"1,035",27
"1,771",73
"1,372",46
"2,282",58
"1,017",28
"1,807",76
"1,845",50
"2,671",89
"2,589",26
"3,081",38
"2,671",89
"2,589",26
"3,081",38
"1,480",31
"1,433",37
"1,756",30
"2,711",63
"5,607",71
"5,158",226
"6,740",115
"3,416",68
"4,695",78
"3,879",91
"2,093",31
"2,063",46
"1,659",38
"1,865",55
"1,528",34
"3,429",43
"3,589",66
"4,797",92
"3,429",43
"3,589",66
"4,797",92
"5,317",73
"2,629",44
"2,341",37
"1,713",17
"2,690",46
"3,675",58
"2,235",34
"2,332",67
"2,115",17
"2,022",22
"1,456",58
"2,021",41
"2,344",60
"1,587",28
"2,207",53
"1,824",47
"1,421",22
"1,308",20
"2,011",41
"1,529",25
"2,875",114
"2,011",41
"1,529",25
"2,875",114
"1,721",35
"1,149",18
"1,656",67
"1,160",19
"1,577",40
"1,780",26
"1,603",39
"1,440",33
"1,274",17
"2,024",57
"1,633",23
"1,877",38
"1,467",21
"1,992",50
"1,423",22
"1,789",58
"2,395",38
"1,605",52
"1,789",58
"2,395",38
"1,605",52
"1,962",34
"1,433",14
"1,575",29
"1,769",38
"1,416",24
"1,237",15
"1,479",24
"1,814",43
"1,691",21
"2,238",49
"1,955",56
"2,662",36
"2,253",40
"2,092",51
"2,303",24
"2,598",77
"2,122",19
"2,614",33
"2,598",77
"2,122",19
"2,614",33
"1,922",44
"2,348",60
"2,162",46
"3,749",48
"4,233",28
"2,743",48
"1,804",46
"1,960",67
"2,382",24
"1,792",37
"2,205",38
"1,948",32
"2,539",68
"1,552",29
"2,363",28
"1,588",12
"1,847",33
"1,829",37
"1,588",12
"1,847",33
"1,829",37
"2,392",59
"2,111",33
"1,691",14
"2,177",34
"1,330",33
"1,532",48
"1,128",48
"1,431",19
"2,277",53
"2,054",50
"2,093",78
"2,055",32
"2,539",77
"1,525",43
"2,070",43
"1,745",82
"2,547",40
"1,927",42
"1,745",82
"2,547",40
"1,927",42
"1,850",35
"1,856",20
"1,918",57
"2,000",52
"2,695",74
"1,573",48
"1,883",26
"1,484",27
"1,194",10
"1,905",49
"1,009",35
"1,650",26
"1,874",61
"1,044",13
"2,105",21
"2,092",79
"1,121",28
"1,668",51
"2,092",79
"1,121",28
"1,668",51
"1,917",48
"1,504",49
"2,175",36
972,33
"1,176",18
"1,671",34
"2,047",49
"1,994",34
"1,857",55
960,23
"1,241",16
"1,707",54
"2,298",54
"2,877",123
"1,335",42
"1,126",65
"1,239",34
"1,236",31
"1,126",65
"1,239",34
"1,236",31
"1,905",49
"1,937",49
"1,267",14
698,24
916,26
"3,329",52
"2,100",68
"1,796",35
"1,593",41
"2,224",97
"1,777",57
"3,030",74
"1,642",58
"1,032",33
"1,377",27
"2,195",58
"1,404",34
"1,122",32
"1,042",28
"1,496",56
"1,076",41
"1,042",28
"1,496",56
"1,076",41
"1,554",63
"1,140",41
"1,829",61
"1,239",53
"1,187",18
703,26
"1,630",36
"1,068",54
785,32
713,28
823,23
775,15
669,41
"1,087",68
904,46
661,21
597,21
535,23
661,21
597,21
535,23
539,23
726,42
542,19
527,23
577,12
667,23
352,16
480,21
506,15
359,6
409,9
270,9
364,8
232,21
316,9
311,13
317,17
379,20
311,13
317,17
379,20
328,30
308,15
255,19
356,19
278,19
398,10
378,9
499,11
340,18
485,32
259,7
431,17
275,16
355,19
314,23
412,58
246,19
284,6
412,58
246,19
284,6
388,30
286,9
342,14
366,9
288,19
257,14
260,24
282,31
302,17
271,20
336,23
388,33
367,29
274,26
328,18
251,20
204,23
224,14
251,20
204,23
224,14
352,42
291,16
351,44
214,7
272,9
270,30
