likes,comments
42k,76
98.7k,720
123k,745
51.2k,261
22.8k,146
56.9k,262
111k,626
51.7k,411
101k,"1,249"
24.9k,410
62.1k,112
43k,298
158k,210
185k,307
155k,"1,371"
38.6k,329
16k,217
13.9k,166
218k,"2,151"
16.8k,134
99.5k,369
193k,182
33.5k,164
67.2k,578
164k,706
18.1k,169
15.4k,114
97.1k,921
201k,168
435k,304
97.1k,921
201k,168
435k,304
106k,711
198k,588
49.6k,322
68.3k,588
153k,192
178k,147
145k,808
202k,945
162k,225
99.4k,552
23.8k,116
229k,"2,213"
99.4k,552
23.8k,116
229k,"2,213"
77.3k,681
569k,456
20.7k,191
102k,111
168k,408
350k,253
115k,848
153k,137
121k,438
79.6k,508
85.8k,485
105k,143
202k,456
98.8k,696
145k,699
136k,990
195k,201
120k,210
136k,990
195k,201
120k,210
44.7k,172
65.8k,535
216k,287
175k,752
198k,528
19.2k,142
81k,535
97.5k,600
119k,496
69.4k,348
49.9k,223
168k,220
39.4k,284
76.5k,644
41.9k,412
160k,911
71.4k,658
407k,322
81.1k,110
127k,883
168k,"1,093"
81.1k,110
127k,883
168k,"1,093"
198k,"1,594"
125k,807
32.5k,111
67k,469
122k,476
82.9k,554
21.7k,129
61.9k,403
151k,983
161k,764
152k,812
26k,123
157k,256
55.4k,296
123k,510
"8,613",55
74k,390
825k,180
"8,613",55
74k,390
825k,180
68.1k,"1,521"
427k,245
116k,718
19k,109
74.7k,368
28.9k,251
398k,0
133k,976
183k,"1,126"
97.6k,73
751k,671
86.4k,550
120k,82
352k,164
36.1k,206
107k,751
14.3k,92
127k,256
107k,751
14.3k,92
127k,256
138k,293
32.8k,258
19k,158
129k,"1,303"
98k,429
13.7k,101
150k,620
94.7k,457
29.4k,163
131k,223
210k,297
169k,296
38.5k,188
48.1k,316
71.7k,327
219k,240
18.6k,157
151k,98
219k,240
18.6k,157
151k,98
483k,267
96.7k,345
152k,703
36.1k,197
828k,"1,008"
154k,846
575k,304
576k,452
132k,240
101k,138
55.6k,301
222k,525
384k,338
117k,162
209k,"1,644"
115k,224
109k,166
14.2k,155
115k,224
109k,166
14.2k,155
71.3k,447
1.2m,572
405k,307
53.4k,316
171k,272
148k,269
49.8k,228
436k,476
317k,405
119k,963
18.5k,82
57.8k,53
1.9m,644
1m,571
443k,158
25.1k,320
107k,437
12.5k,54
25.1k,320
107k,437
12.5k,54
10.5k,62
212k,66
62.3k,134
22.7k,192
145k,76
14.1k,95
273k,122
17.1k,88
27.9k,215
68.1k,488
122k,382
118k,202
242k,174
135k,530
19.1k,110
90.5k,552
40.8k,192
80.9k,458
90.5k,552
40.8k,192
80.9k,458
225k,"1,004"
266k,83
184k,496
236k,980
130k,453
92.7k,542
85.5k,308
102k,454
56.3k,297
221k,108
135k,476
