likes,comments
276k,"1,110"
337k,972
2.3m,"2,226"
467k,"1,044"
295k,819
480k,"1,665"
189k,456
617k,"1,713"
742k,"1,071"
1.9m,"1,709"
786k,"2,216"
2.2m,"4,230"
170k,673
1.3m,"2,805"
184k,266
5.2m,"4,719"
696k,"1,387"
604k,792
390k,230
219k,485
2.1m,"4,171"
504k,"2,286"
805k,"1,483"
1.1m,970
954k,"2,709"
291k,868
983k,"3,830"
820k,"2,436"
656k,"2,599"
790k,"2,173"
820k,"2,436"
656k,"2,599"
790k,"2,173"
258k,"1,201"
282k,860
281k,"2,451"
1.5m,"1,529"
1.2m,"1,387"
587k,"1,198"
1.3m,"4,478"
763k,430
927k,"1,073"
1.3m,"4,478"
763k,430
927k,"1,073"
131k,467
714k,"3,369"
653k,"1,700"
576k,"1,983"
177k,"3,309"
351k,"1,181"
436k,"1,568"
294k,"2,429"
1.7m,"1,442"
1.1m,"2,248"
119k,902
234k,768
621k,"2,881"
499k,995
1.4m,"1,208"
2.6m,"2,153"
268k,"1,379"
655k,"2,966"
2.6m,"2,153"
268k,"1,379"
655k,"2,966"
96.7k,374
549k,"1,714"
1.8m,780
1m,"4,738"
880k,"2,734"
422k,"7,059"
1.3m,"1,089"
689k,"2,911"
967k,358
2.5m,"5,790"
1.1m,"4,890"
98.6k,787
497k,"2,795"
940k,"3,928"
390k,492
840k,"4,457"
2.2m,"5,878"
385k,0
2.8m,"1,521"
1.8m,"1,718"
852k,"2,167"
2.8m,"1,521"
1.8m,"1,718"
852k,"2,167"
145k,636
519k,977
580k,"1,062"
435k,"3,090"
437k,"1,729"
1.9m,"5,004"
5.8m,"1,403"
3.8m,"1,970"
3.5m,"5,948"
551k,"1,851"
82.8k,336
425k,"1,174"
4.1m,"2,716"
909k,"2,605"
3.4m,"2,241"
1.8m,609
1.7m,"5,626"
331k,933
1.8m,609
1.7m,"5,626"
331k,933
198k,"1,122"
223k,575
270k,"2,043"
4.1m,"2,285"
4.4m,"2,494"
285k,"2,441"
2.5m,"2,085"
681k,"2,017"
778k,879
958k,"2,517"
1.5m,"1,604"
229k,868
600k,"1,695"
581k,711
517k,"1,332"
1.1m,"1,487"
1m,"2,244"
3.4m,"8,144"
1.1m,"1,487"
1m,"2,244"
3.4m,"8,144"
436k,"2,887"
1m,"2,687"
1.3m,"2,687"
2m,48.7k
174k,703
865k,"4,244"
3.1m,13.7k
249k,787
131k,854
1.5m,"1,282"
391k,804
174k,357
6.3m,11.3k
276k,"2,226"
320k,"1,756"
767k,"3,545"
349k,"1,345"
6.9m,"4,290"
767k,"3,545"
349k,"1,345"
6.9m,"4,290"
704k,"1,170"
1m,"2,250"
1m,"2,590"
2.5m,"2,196"
315k,621
619k,"1,238"
437k,"1,426"
592k,"2,046"
3.4m,19.9k
488k,"4,182"
1.3m,"6,336"
401k,"2,871"
448k,"2,104"
2.5m,"1,153"
3.8m,"4,272"
167k,"1,143"
1.4m,583
1.7m,"1,398"
167k,"1,143"
1.4m,583
1.7m,"1,398"
3.7m,17.3k
892k,533
661k,"1,931"
455k,709
892k,"1,112"
492k,944
1.4m,944
2.7m,"3,828"
629k,"2,555"
1.2m,"1,177"
408k,907
1.2m,"2,555"
519k,956
230k,549
435k,365
2.4m,"2,892"
3.1m,"1,647"
805k,"3,055"
2.4m,"2,892"
3.1m,"1,647"
805k,"3,055"
2.4m,"1,345"
45.2k,30
1.7m,"4,354"
1.3m,"1,953"
347k,543
876k,"2,582"
351k,"1,005"
781k,"2,179"
276k,949
741k,"2,077"
675k,"1,840"
510k,"1,588"
562k,"1,462"
760k,"1,592"
5.6m,"3,070"
472k,"1,122"
2.2m,"1,636"
1.1m,"1,187"
472k,"1,122"
2.2m,"1,636"
1.1m,"1,187"
568k,434
761k,"2,961"
1.4m,"9,368"
589k,"2,524"
144k,488
410k,336
612k,"1,815"
1.1m,995
2m,12.9k
2.7m,"5,825"
619k,11.8k
172k,944
1.1m,"2,042"
1.4m,"1,267"
1.1m,"2,545"
1m,"3,491"
1m,"3,020"
1.2m,"1,039"
1m,"3,491"
1m,"3,020"
1.2m,"1,039"
954k,"2,602"
688k,"2,172"
595k,"2,354"
232k,989
523k,984
524k,"3,591"
747k,"1,297"
9.8m,17.6k
679k,"1,344"
996k,"1,466"
810k,"2,379"
147k,798
396k,"1,366"
2.1m,949
635k,"1,517"
247k,776
732k,"2,148"
2m,"2,818"
876k,"2,038"
665k,"1,866"
184k,438
876k,"2,038"
665k,"1,866"
184k,438
1m,10.5k
86k,149
1m,674
857k,"2,455"
717k,"2,360"
2.8m,"2,385"
501k,"1,884"
1.8m,"5,972"
1.1m,"4,242"
461k,871
549k,"1,279"
657k,"1,761"
631k,"1,193"
2.5m,654
423k,764
572k,845
1.7m,"3,239"
740k,"1,759"
572k,845
1.7m,"3,239"
740k,"1,759"
385k,805
277k,680
149k,250
686k,"1,302"
597k,"1,920"
258k,761
2.4m,"8,650"
5.7m,"8,653"
740k,"3,373"
827k,"2,302"
239k,642
9.5m,19k
4.7m,"1,189"
274k,"1,034"
498k,"2,696"
2.4m,"1,777"
1.2m,"1,515"
111k,486
2.4m,"1,777"
1.2m,"1,515"
111k,486
241k,"1,461"
909k,"2,898"
584k,"2,416"
879k,"2,444"
595k,"1,279"
1.8m,"1,494"
523k,"1,487"
1.7m,25.2k
616k,450
415k,972
1m,"3,433"
238k,568
472k,"1,497"
590k,"1,164"
1m,"1,740"
760k,"1,959"
411k,761
829k,"2,103"
760k,"1,959"
411k,761
829k,"2,103"
1.5m,"4,996"
482k,"1,984"
1.1m,"1,287"
2.8m,36.5k
1.9m,"1,755"
440k,404
873k,"3,995"
1.1m,"5,419"
1.5m,695
582k,"3,264"
1m,"8,090"
389k,"1,153"
277k,871
264k,600
418k,"1,727"
765k,489
666k,"2,413"
357k,903
765k,489
666k,"2,413"
357k,903
342k,988
7.6m,"8,361"
763k,"4,402"
