likes,comments
61.8k,533
45.5k,199
42.7k,475
163k,552
137k,"2,406"
41.2k,132
88.5k,122
75.7k,669
45.5k,225
67.5k,145
37.2k,231
27.5k,149
69.6k,390
30.7k,139
58.1k,310
45.1k,356
77.9k,620
48k,325
57.8k,286
37k,184
48.1k,238
40.6k,343
43.2k,239
71.1k,496
192k,728
151k,"3,030"
45.6k,209
42.1k,278
63.9k,717
44.5k,273
42.1k,278
63.9k,717
44.5k,273
81.4k,988
47k,0
41.1k,376
60.7k,"1,064"
82.9k,551
66.3k,136
52.1k,342
71.8k,"1,300"
36.9k,143
52.1k,342
71.8k,"1,300"
36.9k,143
83.3k,120
55.2k,338
48.2k,209
183k,761
125k,"2,062"
68.3k,389
52.3k,189
143k,377
44.8k,287
62.7k,467
54.7k,597
17.5k,97
74.2k,"1,700"
66.2k,538
60.9k,313
65.4k,384
81.4k,878
36.3k,174
65.4k,384
81.4k,878
36.3k,174
58.7k,301
140k,337
53.5k,355
11.9k,155
33.1k,216
38.1k,227
126k,379
55.3k,456
75.2k,560
67.6k,399
46.7k,427
41.1k,222
54.3k,340
60.4k,337
61k,344
163k,791
40.1k,157
54.5k,376
71.6k,656
73.9k,590
96.5k,716
71.6k,656
73.9k,590
96.5k,716
75.8k,531
102k,783
32.6k,279
37.9k,226
61.6k,370
49.3k,365
29.9k,205
64.2k,387
80.7k,158
163k,746
28.2k,129
51.1k,345
67.3k,414
43.1k,235
77.3k,554
66k,349
436k,523
64.6k,518
66k,349
436k,523
64.6k,518
64.4k,454
47.7k,392
43.2k,533
54.9k,422
23.1k,106
59.8k,406
39.6k,268
29.3k,139
84.1k,567
59.6k,280
52.2k,292
57.5k,366
57.4k,422
37.3k,269
38.2k,197
122k,261
28.6k,202
38.5k,227
122k,261
28.6k,202
38.5k,227
55.3k,281
32.9k,366
67k,587
45k,309
46.7k,289
80.6k,152
46.6k,378
11k,157
26.4k,189
21.6k,159
58.6k,444
40.3k,228
48.8k,358
54.3k,355
58.4k,351
96.8k,678
55.6k,503
54.1k,309
96.8k,678
55.6k,503
54.1k,309
50.3k,389
45.2k,254
39.7k,330
74.6k,594
64.4k,403
67.4k,442
233k,765
51k,280
75.9k,426
118k,904
62.6k,334
63.9k,621
83k,438
78.4k,980
65.4k,368
42.6k,423
65.7k,372
92.7k,"1,000"
42.6k,423
65.7k,372
92.7k,"1,000"
44.6k,199
45.2k,175
48.9k,299
40.4k,174
51.6k,301
103k,584
48.9k,358
46.5k,235
25.2k,273
81k,353
49.3k,217
50k,359
44.5k,297
112k,693
846k,"1,398"
55.5k,243
203k,253
53.8k,396
55.5k,243
203k,253
53.8k,396
49.3k,329
40.5k,242
55.3k,435
47.8k,298
"9,867",115
94k,688
87.4k,924
48.9k,313
32.6k,105
42.1k,256
31.2k,165
290k,387
47.1k,266
23.1k,154
68.8k,476
72.2k,710
47k,286
69.8k,352
72.2k,710
47k,286
69.8k,352
72.6k,380
90.6k,517
52.4k,297
78.5k,794
59.7k,321
16.9k,201
73.6k,513
40.4k,200
67k,493
51.2k,273
13.2k,158
59.9k,371
12.6k,91
57.4k,338
24.8k,211
45.6k,276
36.7k,204
36k,239
45.6k,276
36.7k,204
36k,239
24.9k,182
74.4k,201
34.9k,294
50.7k,308
36.5k,232
82.4k,464
20.7k,114
184k,88
60.8k,509
19.8k,280
95.4k,692
51.8k,274
50.9k,338
39.7k,234
82k,586
47.7k,256
47.9k,318
48.8k,232
29.6k,226
58.2k,409
55.1k,252
29.6k,226
58.2k,409
55.1k,252
80.8k,92
133k,300
136k,162
50.3k,257
43.4k,304
58.4k,304
57.8k,521
28.4k,163
36.7k,243
33.2k,171
61.2k,466
64.7k,498
71k,681
72.7k,563
34.6k,277
39.1k,320
36.1k,178
34.3k,205
39.1k,320
36.1k,178
34.3k,205
56.8k,378
52.9k,313
32.5k,143
56.6k,347
63.2k,422
54.7k,391
41k,300
50.2k,416
52.6k,285
43k,261
98.1k,754
29.9k,341
69.1k,"1,737"
69.4k,422
76.8k,682
39.3k,289
90.3k,591
46.5k,335
39.3k,289
90.3k,591
46.5k,335
67.3k,741
85.9k,727
46.9k,251
60.8k,310
39.8k,186
107k,933
55.4k,312
58.8k,283
100k,"1,127"
62.3k,557
69.9k,376
63.7k,477
59.5k,421
44.9k,246
40.1k,285
104k,794
70.6k,540
30.9k,184
104k,794
70.6k,540
30.9k,184
79.7k,684
88k,248
112k,205
70.5k,"1,290"
45.9k,250
116k,309
120k,358
64k,350
110k,"1,063"
104k,764
54.2k,394
65.3k,499
46.5k,204
61.4k,435
68.4k,506
55.3k,358
110k,"1,435"
61.4k,522
55.3k,358
110k,"1,435"
61.4k,522
14.7k,226
49.7k,337
56.2k,452
63k,520
74.2k,370
66.1k,408
87k,642
43.1k,284
80.2k,757
227k,510
72.3k,509
55.3k,383
80.5k,785
250k,532
52.5k,500
78.4k,442
203k,617
42.5k,319
78.4k,442
203k,617
42.5k,319
38.6k,307
83.9k,810
59.9k,660
93.5k,"1,836"
41.3k,796
55k,464
52.4k,376
27.1k,247
39.4k,317
56k,374
42.7k,231
32k,249
63.6k,421
64.8k,303
54.5k,388
25.8k,273
49.8k,509
52k,549
25.8k,273
49.8k,509
52k,549
20.7k,112
63.6k,485
63.6k,553
149k,"1,993"
105k,"1,042"
43.4k,332
30.2k,188
43.6k,843
56.8k,"1,762"
65.8k,536
43.3k,375
72.9k,453
60.3k,409
36.6k,270
182k,465
64.1k,671
41.4k,390
39.4k,500
50k,378
59.8k,429
88.9k,700
50k,378
59.8k,429
88.9k,700
52.5k,476
57.7k,611
55.8k,402
38.4k,265
112k,900
43.9k,465
144k,468
37.1k,246
36.1k,344
51.5k,484
165k,259
51.2k,542
43.1k,419
54.9k,440
70.1k,612
64.3k,535
85.2k,749
28.7k,278
64.3k,535
85.2k,749
28.7k,278
28.3k,255
51.2k,382
55.2k,449
49.3k,333
49.2k,392
52.6k,458
39.4k,364
37.7k,291
56.1k,395
45.1k,424
120k,512
51.6k,563
62.8k,538
178k,722
64.3k,564
48.2k,396
61.4k,516
83.2k,499
48.2k,396
61.4k,516
83.2k,499
50.7k,388
62k,573
97.8k,919
48.4k,430
52.5k,442
63.5k,555
55k,433
62.7k,470
70.5k,576
65.3k,500
36.2k,255
56.9k,335
50.2k,374
30k,226
30.8k,248
56.8k,467
368k,"1,264"
46.4k,374
56.8k,467
368k,"1,264"
46.4k,374
55k,387
107k,"1,411"
55.5k,511
47k,316
128k,"2,423"
96.7k,"2,563"
39.2k,310
75.5k,722
62.1k,515
38.1k,398
45.7k,330
47.8k,324
60.8k,495
47.6k,585
65k,659
74.1k,932
82.3k,997
60.2k,529
74.1k,932
82.3k,997
60.2k,529
67.6k,475
63.2k,453
52.8k,418
68.3k,534
43.6k,302
72k,648
60.2k,416
28.6k,203
42.2k,334
53k,544
58.1k,501
91.6k,803
42.9k,645
93.8k,"1,013"
49.8k,340
41.1k,316
46.6k,422
54.8k,510
41.1k,316
46.6k,422
54.8k,510
52.3k,328
34.1k,311
77.6k,919
52.6k,339
103k,982
54k,386
111k,"1,480"
86.4k,609
43.2k,316
56.5k,446
77.5k,721
25k,205
71.7k,503
37.5k,251
75.1k,609
52.2k,362
87.1k,236
45.4k,324
52.2k,362
87.1k,236
45.4k,324
40.1k,364
26.4k,286
52.8k,481
43.9k,381
66.5k,491
57.1k,508
55.5k,453
50.2k,538
34k,192
79.4k,619
47.9k,344
92.6k,633
115k,"1,140"
51.2k,327
129k,"1,692"
91.8k,647
72.1k,557
116k,"1,479"
91.8k,647
72.1k,557
116k,"1,479"
72.8k,481
113k,946
71k,480
147k,"1,471"
73.5k,387
66.6k,434
300k,"1,077"
46.8k,312
63.6k,393
57.3k,354
70.1k,543
90.7k,"1,068"
61k,410
70.8k,520
48.2k,361
89k,643
72k,488
30.7k,230
,0
66.1k,519
83.7k,546
,0
66.1k,519
83.7k,546
19.2k,140
76.7k,546
40.2k,329
52k,492
55.3k,396
23.2k,216
70.7k,520
58.2k,525
47.1k,344
255k,246
70.7k,597
52k,422
61.7k,449
63.3k,422
73.6k,680
