likes,comments
747k,"2,096"
519k,"1,320"
255k,994
2.2m,22.9k
38.2k,276
1.4m,519
286k,"1,839"
1.3m,14.5k
592k,"1,800"
1.2m,21.3k
841k,"3,640"
1.5m,"7,551"
13.4m,105k
1m,"4,828"
1m,"3,568"
402k,"2,307"
2.7m,"1,059"
1.1m,"5,863"
6.6m,"4,348"
3.1m,"3,383"
1.6m,"7,699"
862k,"3,407"
903k,"4,050"
8.5m,"6,214"
811k,"1,839"
1.6m,"4,481"
1.4m,"6,068"
3.1m,92.5k
3.1m,53.6k
11.4m,574k
3.1m,92.5k
3.1m,53.6k
11.4m,574k
1.7m,18k
9.4m,"1,681"
2m,765
903k,"8,255"
1.5m,"9,615"
721k,"4,485"
531k,661
319k,303
182k,413
5.3m,389
449k,346
142k,162
5.3m,389
449k,346
142k,162
395k,145
8.6m,790
4.2m,"2,808"
7m,"5,706"
596k,"2,093"
489k,"3,042"
797k,"2,505"
694k,"2,839"
3.2m,"2,909"
224k,"3,394"
622k,19.6k
14.4m,"6,699"
836k,"4,857"
495k,"1,424"
3.7m,"2,467"
472k,"1,210"
212k,"1,955"
620k,"3,619"
472k,"1,210"
212k,"1,955"
620k,"3,619"
4.3m,"3,241"
5.3m,"1,717"
287k,"3,996"
490k,"2,233"
321k,"1,091"
1.1m,"5,381"
370k,"2,386"
664k,10.4k
588k,"2,313"
512k,"2,009"
3m,"1,158"
3.7m,"2,895"
768k,"4,336"
3.4m,"3,218"
605k,"5,663"
279k,"3,362"
3.8m,"3,159"
796k,"4,588"
279k,"3,362"
3.8m,"3,159"
796k,"4,588"
1m,"4,194"
715k,"3,448"
3.6m,"2,065"
324k,"6,739"
977k,"8,704"
2.7m,"4,008"
786k,"9,701"
347k,"9,236"
5.5m,"4,460"
2.3m,"4,947"
3m,"2,834"
722k,"6,162"
687k,"3,425"
201k,"2,208"
1.3m,934
549k,"2,752"
3m,649
2.9m,"1,306"
549k,"2,752"
3m,649
2.9m,"1,306"
777k,"1,789"
132k,227
638k,974
258k,307
2.5m,216
407k,260
75.4k,273
648k,593
5.6m,249
1m,"5,023"
875k,"2,423"
408k,"1,998"
3.9m,"3,157"
5.5m,"9,013"
742k,"1,066"
730k,617
628k,283
380k,223
730k,617
628k,283
380k,223
209k,114
1m,198
412k,79
821k,151
472k,132
5.9m,93
9.8m,512
230k,78
403k,128
336k,"6,450"
739k,26.5k
545k,"6,313"
4.4m,14.6k
518k,0
784k,"9,603"
5.8m,"7,519"
192k,"2,532"
177k,"2,524"
5.8m,"7,519"
192k,"2,532"
177k,"2,524"
2.9m,"3,749"
1.5m,756
651k,"8,436"
4.4m,"3,640"
4.6m,"4,586"
825k,"6,033"
1.3m,"4,934"
1.3m,"5,030"
1m,"6,278"
9.9m,14.9k
4m,"2,944"
306k,"1,195"
491k,"1,211"
274k,674
572k,"2,716"
872k,"5,952"
107k,834
134k,910
789k,"4,178"
1.1m,"8,203"
122k,"2,952"
789k,"4,178"
1.1m,"8,203"
122k,"2,952"
89.3k,871
276k,566
347k,"1,575"
891k,"2,883"
621k,"2,499"
341k,903
965k,"2,553"
137k,838
1m,"2,348"
579k,"1,251"
2.1m,797
147k,"1,054"
709k,"3,869"
4.8m,"4,499"
1.3m,14.6k
1.4m,"6,206"
767k,"4,868"
769k,"3,152"
1.4m,"6,206"
767k,"4,868"
769k,"3,152"
2.3m,"1,410"
608k,"1,720"
655k,"3,066"
403k,"1,989"
892k,"5,158"
940k,"5,474"
314k,"5,148"
276k,"6,668"
1m,33.6k
6.7m,"4,460"
1m,"4,177"
1.9m,22.8k
575k,"4,214"
263k,"1,068"
4.5m,"3,198"
657k,"3,760"
690k,"2,193"
2.4m,"1,617"
657k,"3,760"
690k,"2,193"
2.4m,"1,617"
612k,"3,471"
3.9m,"4,191"
596k,"1,312"
717k,"3,834"
493k,"8,035"
371k,"1,309"
645k,"3,981"
237k,"1,633"
1.3m,473
3.5m,"4,239"
9.3m,18.5k
5.4m,"4,418"
2.3m,990
989k,"2,875"
804k,"2,718"
1.1m,"3,303"
765k,"3,944"
1.3m,"9,067"
1.1m,"3,303"
765k,"3,944"
1.3m,"9,067"
3.3m,"2,701"
2.8m,"1,151"
512k,"2,656"
382k,"1,314"
535k,10.4k
3.6m,"5,268"
2.9m,"6,197"
406k,"1,844"
505k,"2,400"
633k,"6,358"
4m,"2,188"
3.8m,"2,031"
461k,"1,580"
933k,12.6k
8.5m,21.6k
2.8m,"1,369"
504k,"1,691"
293k,"1,461"
