likes,comments
99.8k,912
74.5k,488
72.6k,838
91.6k,827
95.7k,595
337k,"2,844"
475k,"1,109"
388k,"1,474"
327k,"1,171"
421k,"2,574"
292k,"1,018"
407k,"2,086"
322k,"1,403"
469k,"2,019"
220k,770
214k,"1,373"
433k,277
225k,"2,459"
215k,"1,490"
198k,"1,422"
267k,"2,338"
227k,"2,598"
215k,"2,429"
277k,"3,032"
258k,"2,588"
212k,"6,275"
467k,301
67.7k,327
214k,"2,843"
126k,"1,559"
67.7k,327
214k,"2,843"
126k,"1,559"
209k,"1,774"
207k,"1,870"
441k,618
50.6k,311
245k,"1,831"
354k,"3,829"
50.6k,311
245k,"1,831"
354k,"3,829"
228k,"2,826"
586k,492
69.7k,696
213k,"2,016"
203k,"1,892"
250k,"1,972"
234k,"2,241"
89.2k,753
216k,"2,204"
650k,343
279k,"3,829"
205k,"1,833"
455k,239
172k,"1,215"
213k,"2,022"
233k,"2,807"
189k,"2,032"
216k,"2,069"
233k,"2,807"
189k,"2,032"
216k,"2,069"
192k,"2,221"
231k,"2,727"
402k,400
98.9k,663
202k,"3,986"
104k,983
167k,"1,971"
139k,"1,411"
540k,778
149k,"1,707"
112k,864
88k,671
85.6k,"1,045"
95.2k,877
85.2k,815
143k,"1,600"
101k,771
357k,471
143k,"1,600"
101k,771
357k,471
302k,639
146k,"1,809"
381k,487
440k,"1,155"
143k,"1,575"
163k,"2,044"
125k,"1,457"
134k,815
89.4k,"1,337"
336k,459
140k,"3,472"
128k,"1,268"
132k,"1,890"
371k,248
282k,241
569k,456
144k,"2,521"
240k,174
281k,188
352k,282
124k,"1,670"
281k,188
352k,282
124k,"1,670"
141k,"4,254"
108k,"1,649"
89.9k,867
101k,"1,098"
93.5k,"1,394"
134k,"3,733"
120k,"2,077"
107k,"1,854"
126k,"2,186"
82.6k,568
121k,"1,210"
85.1k,836
82.4k,659
95.2k,"1,050"
96.6k,891
85.3k,"1,296"
73.7k,483
74.5k,905
85.3k,"1,296"
73.7k,483
74.5k,905
73.5k,674
81.9k,834
52.3k,508
80.7k,785
85.1k,985
94k,"1,307"
78.3k,738
104k,"1,362"
72k,"1,015"
88.7k,"1,230"
83.7k,942
51.7k,473
91.5k,"1,968"
76k,823
60.2k,605
55.8k,494
82.9k,"1,364"
72.3k,882
55.8k,494
82.9k,"1,364"
72.3k,882
72.9k,805
61.9k,520
66.9k,943
63.9k,741
62.1k,924
45.8k,451
55.1k,671
52.6k,735
55k,838
47.3k,816
49k,794
67.7k,"2,464"
43.7k,"1,046"
28.9k,326
26.3k,336
26.6k,335
20.6k,215
34.9k,"1,334"
26.6k,335
20.6k,215
34.9k,"1,334"
19.3k,162
12.7k,81
16.1k,156
18.5k,266
18.2k,231
28.7k,888
14.2k,268
13.2k,125
10.1k,86
11.4k,117
"8,667",47
14.8k,181
17.5k,320
"9,815",71
12.2k,118
"9,924",126
"9,538",69
11.3k,157
"9,924",126
"9,538",69
11.3k,157
14.4k,231
15.4k,349
"9,212",87
19.4k,270
13k,217
"9,581",122
"9,855",178
"7,363",47
"9,585",71
10.8k,95
"4,336",13
"6,971",34
"7,714",47
"6,693",77
"8,542",69
10.7k,191
"7,421",73
"8,720",134
10.7k,191
"7,421",73
"8,720",134
"5,644",26
"9,175",120
"5,659",20
"5,622",37
"9,839",93
"8,837",88
"6,735",108
"7,978",62
"5,009",40
"4,909",34
"8,417",133
11.8k,239
"5,059",42
"5,352",64
"6,555",84
"5,001",53
"5,744",49
"9,500",107
"5,001",53
"5,744",49
"9,500",107
"8,990",113
"5,708",73
"7,799",60
"6,516",82
"5,379",54
"4,960",58
"4,518",36
"6,229",85
"6,190",97
"6,347",119
"7,254",56
"5,599",69
