likes,comments
"2,326",23
879,7
"1,482",20
"1,602",25
"1,648",19
"3,292",32
"1,006",16
"3,504",14
"1,903",4
"4,002",26
611,21
"3,595",50
"4,061",30
"3,480",49
754,13
"4,296",24
"1,427",7
"1,985",12
"2,258",32
"1,336",27
"3,695",24
"2,075",18
"3,071",25
"1,851",34
"2,429",25
"1,628",17
"2,274",22
"5,832",72
"3,076",17
"2,827",26
"2,886",17
"2,458",22
"2,827",12
"3,629",19
"3,575",23
"3,228",19
"3,629",19
"3,575",23
"3,228",19
"2,685",15
"2,930",20
"4,163",37
"3,386",46
"3,195",38
"5,069",82
"2,861",16
"5,313",57
"3,176",15
"2,502",25
"4,442",35
"2,240",28
"3,165",25
"2,659",57
"2,959",24
"4,952",31
"2,552",14
"4,916",37
"4,952",31
"2,552",14
"4,916",37
"3,262",44
"7,682",68
"3,706",41
"4,159",34
"3,137",18
"5,714",39
"6,984",60
"1,508",20
"4,030",21
"5,852",27
"3,929",33
"4,631",63
"4,049",27
"5,524",50
"4,916",48
"2,841",25
"3,152",26
"5,376",33
"2,841",25
"3,152",26
"5,376",33
"6,362",43
"2,858",56
"3,396",30
"5,394",74
"4,052",66
"5,606",83
"5,306",22
"6,167",45
"4,956",28
"3,570",18
"6,437",48
"4,638",49
"5,194",40
"5,685",62
"3,922",24
"4,245",27
"3,897",37
"4,560",27
"4,245",27
"3,897",37
"4,560",27
"3,537",22
"4,027",30
"6,279",64
"5,369",73
"1,454",26
"3,674",40
"5,400",54
"4,348",34
"7,665",72
"4,923",57
"2,252",19
"3,362",37
"4,704",38
"5,219",81
"2,702",29
"3,986",52
"2,985",19
"3,221",28
"3,986",52
"2,985",19
"3,221",28
"3,520",23
"4,702",33
"3,745",69
"4,343",19
"5,973",39
"3,752",37
"1,561",19
"2,177",27
"4,346",32
"1,909",20
"3,208",33
"3,298",37
"2,215",26
"2,720",16
"4,561",36
"4,793",56
"6,307",59
"3,389",27
"4,793",56
"6,307",59
"3,389",27
"5,188",47
"4,330",40
"3,879",22
"3,368",39
"4,171",40
"3,583",30
"4,530",50
"3,952",46
"4,325",37
"3,254",28
"3,697",25
"3,377",32
"2,425",22
"6,064",45
"4,135",24
"3,150",31
"2,898",38
"3,398",31
"3,150",31
"2,898",38
"3,398",31
"4,566",45
"3,584",41
"5,525",63
"5,419",48
"5,271",41
"4,370",30
"4,557",44
"3,621",44
"4,190",29
"4,750",64
"2,966",61
"3,835",48
"3,935",49
"4,015",33
"3,005",32
"4,739",47
"3,333",28
"3,867",39
"4,739",47
"3,333",28
"3,867",39
"4,678",28
"6,249",51
"3,585",38
"3,428",31
"7,316",72
"6,106",46
"5,811",24
"5,762",44
"6,783",42
"5,530",55
"5,128",30
"4,605",78
"5,225",54
"7,427",43
"4,504",40
"6,698",49
"4,758",63
"2,930",27
"5,491",39
"5,933",36
"6,101",40
"5,491",39
"5,933",36
"6,101",40
"2,518",35
"4,751",44
"4,101",27
"4,386",35
"4,964",52
"4,739",34
"4,159",59
"3,079",38
"6,487",65
"3,929",44
"6,742",54
"2,061",28
"4,462",41
"4,890",36
"5,223",42
"6,072",41
"3,265",39
"4,310",32
"6,072",41
"3,265",39
"4,310",32
"7,105",76
"2,124",24
"4,611",28
"4,058",40
"2,934",25
"3,536",32
"4,111",39
"3,845",51
"4,684",38
"5,323",53
"7,527",63
"5,186",29
"5,622",29
"6,893",59
"3,958",27
"6,069",40
"3,523",33
"4,524",50
"6,069",40
"3,523",33
"4,524",50
"7,371",81
"3,672",39
"5,765",76
"5,096",49
"5,125",43
"4,525",23
"3,496",28
"5,049",48
"5,176",36
"4,610",14
"5,821",35
"4,648",18
"6,088",29
"7,425",54
"5,152",34
"4,023",14
"4,954",24
"4,842",17
"4,023",14
"4,954",24
"4,842",17
"5,722",28
"2,106",16
"5,363",15
"5,378",29
"5,356",23
"3,933",29
"4,617",13
"6,104",39
"5,150",27
"5,242",40
"7,432",45
"6,016",28
"6,103",40
"7,284",47
"6,345",48
"3,693",14
"4,058",40
"4,550",14
"3,693",14
"4,058",40
"4,550",14
"4,857",30
"6,326",32
"5,693",34
"6,194",40
"4,868",34
"5,828",44
"5,842",36
"3,434",24
"4,943",56
"6,206",48
"4,680",31
"4,665",36
"4,817",42
"5,836",39
"2,598",20
"6,033",62
"2,643",23
"4,576",25
"6,033",62
"2,643",23
"4,576",25
"5,899",29
"4,909",32
"5,982",26
"7,111",61
"4,738",15
"3,952",40
"6,245",31
"3,006",27
"3,814",54
"4,799",23
"6,449",42
"3,405",9
"2,504",37
"2,249",12
"2,632",18
"5,618",28
"3,282",14
"5,167",27
"5,618",28
"3,282",14
"5,167",27
"4,678",20
"4,289",31
"4,496",31
"3,894",21
"6,101",42
"8,305",73
"4,090",38
"5,857",38
"3,265",17
"6,572",54
"4,798",37
"5,603",17
