likes,comments
369k,"4,580"
639k,"6,555"
204k,"1,708"
611k,"2,913"
571k,"6,534"
686k,"4,128"
749k,"4,423"
738k,"7,081"
300k,"4,714"
457k,"4,586"
240k,"2,562"
512k,"4,400"
315k,"3,765"
388k,"3,328"
515k,"4,398"
352k,"3,092"
545k,"4,890"
543k,"4,880"
438k,"7,971"
614k,"7,064"
345k,"2,521"
591k,"8,215"
538k,"5,519"
478k,"5,499"
737k,"7,750"
627k,"8,769"
452k,"6,472"
661k,"7,616"
438k,"4,399"
371k,"3,170"
661k,"7,616"
438k,"4,399"
371k,"3,170"
373k,"3,821"
559k,"6,220"
358k,"3,506"
936k,11.5k
656k,11.8k
650k,13.3k
548k,"8,156"
688k,10.3k
674k,"6,574"
288k,"2,617"
395k,"5,052"
451k,"3,748"
288k,"2,617"
395k,"5,052"
451k,"3,748"
528k,"8,763"
354k,"3,935"
547k,"4,622"
879k,14.2k
350k,"5,014"
462k,"4,165"
365k,"3,740"
538k,"6,528"
320k,"6,849"
517k,10.5k
605k,"7,169"
747k,"6,201"
750k,"5,487"
606k,"8,802"
679k,"6,506"
664k,"8,777"
792k,"5,551"
621k,"8,002"
664k,"8,777"
792k,"5,551"
621k,"8,002"
885k,10.9k
764k,"8,839"
1.2m,13.9k
607k,"7,722"
762k,"5,459"
533k,"8,368"
374k,"5,523"
377k,"3,887"
485k,11.3k
445k,"4,170"
435k,"5,555"
1m,"5,104"
507k,"8,189"
466k,"7,669"
885k,"5,320"
486k,"8,464"
498k,"8,185"
479k,"8,132"
486k,"8,464"
498k,"8,185"
479k,"8,132"
455k,"7,909"
646k,20.8k
469k,"5,569"
574k,12.1k
541k,"6,610"
595k,"9,103"
540k,10.4k
546k,"9,680"
560k,"8,458"
499k,"6,610"
600k,"8,198"
539k,"7,948"
625k,"4,401"
556k,"4,777"
468k,"7,123"
352k,"4,250"
527k,"5,865"
533k,"7,005"
352k,"4,250"
527k,"5,865"
533k,"7,005"
685k,10.5k
922k,"3,107"
439k,"5,782"
567k,"7,580"
1.1m,10.8k
404k,"7,143"
498k,13.5k
395k,"6,187"
545k,"3,824"
526k,"8,643"
628k,"7,685"
538k,15.5k
698k,"7,405"
786k,"4,664"
1m,"4,754"
450k,"7,559"
559k,"5,117"
518k,10.3k
450k,"7,559"
559k,"5,117"
518k,10.3k
578k,11.3k
650k,"8,420"
852k,"5,275"
448k,"5,743"
447k,"7,907"
720k,14.6k
426k,"6,348"
1m,"4,402"
747k,"8,077"
461k,"9,667"
496k,59.2k
522k,"7,929"
386k,"5,163"
398k,"2,906"
493k,"9,675"
695k,"6,770"
319k,"1,824"
1.1m,"7,341"
695k,"6,770"
319k,"1,824"
1.1m,"7,341"
465k,"8,124"
285k,"1,724"
421k,"7,099"
470k,"7,828"
521k,"1,852"
439k,"5,869"
477k,"6,419"
492k,"7,317"
369k,"4,860"
1m,11.7k
394k,"5,602"
390k,"7,452"
444k,"6,609"
382k,"5,289"
379k,"5,232"
533k,"9,099"
806k,"8,695"
390k,"7,319"
297k,"4,825"
421k,"6,289"
462k,"8,980"
297k,"4,825"
421k,"6,289"
462k,"8,980"
472k,"8,515"
302k,"5,177"
433k,"8,552"
416k,"5,470"
424k,"6,117"
323k,"4,094"
411k,"4,717"
394k,"4,207"
565k,"6,113"
498k,"7,099"
436k,"2,841"
374k,"6,321"
469k,"6,967"
470k,11.1k
385k,"1,497"
387k,"5,489"
480k,"4,784"
431k,"6,707"
387k,"5,489"
480k,"4,784"
431k,"6,707"
458k,"5,705"
506k,"7,442"
557k,"6,196"
533k,"7,755"
449k,"6,416"
425k,"6,085"
439k,"7,676"
446k,"7,415"
972k,"5,711"
501k,"6,965"
663k,"5,679"
767k,13k
420k,"6,940"
441k,10k
407k,"2,773"
300k,"3,812"
377k,"5,727"
352k,"5,552"
300k,"3,812"
377k,"5,727"
352k,"5,552"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
272k,"2,124"
434k,"3,418"
349k,"5,306"
