likes,comments
415k,453
536k,408
757k,"1,246"
479k,"2,743"
4m,"4,129"
843k,"3,589"
2.2m,"2,541"
576k,368
878k,"4,304"
5.2m,"2,768"
1.2m,"1,381"
1m,"2,680"
1.9m,"5,549"
435k,"1,311"
2m,"1,825"
878k,"2,862"
929k,"4,019"
1.4m,"7,693"
950k,"3,820"
1.7m,12.9k
2.4m,"2,593"
3.1m,"4,977"
681k,"1,672"
1m,"3,129"
1.1m,849
988k,787
885k,"3,775"
389k,865
809k,"4,889"
1.2m,"3,884"
389k,865
809k,"4,889"
1.2m,"3,884"
3.2m,"8,919"
1m,"4,138"
1m,"2,982"
1.3m,"1,479"
4.5m,"6,147"
1.6m,"8,133"
1m,"4,286"
1m,"3,881"
5.1m,"4,991"
1.1m,"6,037"
2.1m,"6,734"
3.8m,"5,121"
1.1m,"6,037"
2.1m,"6,734"
3.8m,"5,121"
2.1m,"7,323"
578k,"1,997"
1m,"3,812"
1m,"4,245"
796k,"2,068"
885k,885
664k,"1,634"
1.7m,"5,683"
594k,"1,726"
869k,"2,340"
1.5m,"7,609"
1.1m,"5,458"
4.7m,"6,870"
779k,"1,900"
822k,"4,329"
1.1m,"3,548"
3.1m,"4,208"
445k,"1,089"
1.1m,"3,548"
3.1m,"4,208"
445k,"1,089"
1.8m,"8,081"
1.7m,"7,085"
1.9m,868
727k,"2,400"
1.5m,"6,047"
4.2m,"7,109"
1.4m,"4,963"
5.8m,"4,576"
948k,"2,713"
2.4m,"7,385"
1.7m,"1,399"
4.7m,"9,504"
696k,"2,564"
6m,14.5k
1.1m,"4,309"
1.7m,"1,169"
1.1m,"6,768"
1.3m,"7,306"
1.7m,"1,169"
1.1m,"6,768"
1.3m,"7,306"
987k,"3,185"
744k,"2,595"
802k,632
2.4m,12.3k
6.8m,12.6k
831k,"2,029"
1.3m,"3,225"
637k,"2,352"
588k,"1,497"
970k,"3,677"
5.7m,"7,057"
1.7m,"7,843"
2.1m,12k
456k,"2,411"
2.6m,"3,595"
934k,"3,756"
1m,"2,564"
660k,"2,975"
934k,"3,756"
1m,"2,564"
660k,"2,975"
903k,"2,714"
2.1m,"2,461"
1.4m,"5,840"
1.2m,"4,988"
1.8m,"6,364"
1.7m,"1,469"
3.3m,"5,984"
629k,"1,395"
1.6m,"9,701"
2.9m,"1,579"
764k,"1,784"
1.3m,"2,598"
510k,"1,612"
652k,"1,455"
1.2m,"3,904"
6.8m,"6,978"
1m,"5,872"
2.4m,"5,518"
6.8m,"6,978"
1m,"5,872"
2.4m,"5,518"
686k,"2,595"
2.6m,"3,506"
1m,"5,950"
3.9m,"4,249"
1.6m,"5,568"
2.7m,"2,288"
2.1m,"2,381"
4m,"6,216"
1m,"5,054"
1.8m,11.9k
885k,653
4.2m,"4,794"
522k,"1,693"
1.6m,"4,391"
1.2m,"7,161"
348k,"2,010"
1.1m,"5,523"
636k,"1,979"
348k,"2,010"
1.1m,"5,523"
636k,"1,979"
488k,"1,072"
