likes,comments
73.7k,317
117k,368
241k,458
129k,457
116k,875
1.6m,17.7k
2.9m,50.1k
1.3m,13.7k
221k,"1,318"
1.9m,"4,246"
749k,"3,545"
1.5m,"5,540"
1.3m,"2,753"
1.3m,"5,181"
631k,"2,526"
2.8m,"7,233"
4.5m,"9,544"
145k,786
186k,"1,174"
80.2k,676
101k,707
289k,"2,792"
618k,"4,793"
1.3m,"1,957"
2.4m,11.2k
237k,"1,932"
219k,"1,892"
186k,"1,075"
164k,"1,821"
100k,490
186k,"1,075"
164k,"1,821"
100k,490
123k,801
1.8m,"8,132"
154k,815
2.6m,"6,653"
304k,426
368k,"1,720"
161k,"1,233"
823k,"5,981"
1.3m,"6,612"
168k,"1,651"
857k,"1,567"
217k,"2,007"
168k,"1,651"
857k,"1,567"
217k,"2,007"
838k,"2,324"
1m,"2,526"
351k,"5,859"
1.1m,"5,882"
2m,"3,129"
1.8m,"7,771"
1.1m,"2,235"
5m,20.3k
641k,"4,271"
1.6m,16.7k
2.3m,"7,302"
1.2m,"3,741"
225k,"2,984"
2.3m,16.7k
4.1m,38.6k
460k,"2,589"
147k,"4,596"
8.3m,14.3k
460k,"2,589"
147k,"4,596"
8.3m,14.3k
3.1m,"4,349"
1.4m,"9,205"
1.3m,"6,287"
2.2m,22.1k
900k,"6,472"
1.6m,10.5k
249k,"2,085"
162k,"1,269"
1.6m,"1,354"
132k,"1,300"
199k,"1,438"
421k,"1,666"
112k,676
164k,"2,618"
1.4m,"8,590"
200k,"1,274"
423k,"1,426"
428k,"3,102"
1.3m,11.4k
3.5m,"8,374"
1.7m,"3,006"
1.3m,11.4k
3.5m,"8,374"
1.7m,"3,006"
413k,"4,131"
2.3m,"6,545"
1.3m,12.8k
1.8m,15.5k
659k,"3,595"
649k,783
1.4m,"1,896"
198k,"1,967"
245k,"2,241"
381k,"2,769"
392k,"8,281"
1.4m,13.1k
503k,"2,956"
222k,"1,020"
424k,"1,901"
448k,"3,338"
619k,"9,156"
1.8m,13.1k
448k,"3,338"
619k,"9,156"
1.8m,13.1k
1.4m,"9,450"
480k,"6,764"
1.2m,"9,037"
317k,"6,834"
2m,15.5k
810k,22.6k
1.1m,14k
807k,"6,173"
4.5m,22.6k
525k,"2,662"
333k,"3,424"
299k,"1,663"
689k,"5,111"
1.6m,14.5k
737k,"2,046"
596k,"2,530"
437k,"1,347"
187k,888
596k,"2,530"
437k,"1,347"
187k,888
210k,"1,158"
230k,"1,605"
627k,"7,297"
434k,"3,011"
474k,"2,689"
1.3m,"5,236"
6m,14.8k
289k,"1,501"
1.4m,"5,572"
871k,"1,230"
445k,703
726k,"1,291"
147k,867
164k,"1,008"
177k,"1,115"
1.6m,11k
255k,"1,420"
238k,"1,547"
1.6m,11k
255k,"1,420"
238k,"1,547"
699k,"4,070"
145k,718
509k,"3,789"
477k,"2,158"
1.4m,"1,331"
6.7m,"4,389"
191k,"1,195"
231k,984
187k,"1,016"
2m,"3,232"
470k,"2,019"
364k,"1,888"
468k,"5,232"
280k,"1,292"
484k,"4,140"
484k,"2,361"
337k,"1,545"
267k,"1,435"
484k,"2,361"
337k,"1,545"
267k,"1,435"
198k,"1,208"
241k,"1,572"
307k,"4,636"
615k,"4,119"
972k,"7,721"
3m,"6,088"
805k,"6,362"
226k,"1,507"
1.5m,10.6k
797k,"4,804"
2m,15.6k
1.1m,10.8k
680k,"5,440"
953k,"9,761"
1.5m,"4,743"
619k,"4,695"
774k,"5,293"
2.6m,"8,852"
619k,"4,695"
774k,"5,293"
2.6m,"8,852"
1m,"5,784"
602k,"6,890"
2.3m,14k
3.7m,29.3k
1.7m,12.1k
2.1m,17.3k
1.6m,38.9k
469k,"9,750"
1.8m,14.2k
2.1m,"6,302"
460k,"2,213"
694k,"3,031"
1.1m,"3,180"
1.7m,16.6k
848k,"5,163"
1.4m,13.2k
1.2m,17.3k
1.7m,14k
1.4m,13.2k
1.2m,17.3k
1.7m,14k
2.1m,15.6k
682k,"5,654"
1.5m,19k
2.2m,"4,093"
2.7m,"3,404"
1.6m,"8,374"
1m,"7,472"
1m,"6,103"
485k,"3,107"
3.8m,"6,478"
2.2m,"7,221"
1.4m,0
1.4m,24.4k
989k,"8,523"
3.2m,"9,757"
3.3m,11.1k
1.6m,17.3k
798k,"3,602"
3.3m,11.1k
1.6m,17.3k
798k,"3,602"
6.8m,30.3k
5.1m,"6,503"
698k,"3,355"
1.1m,"9,448"
1.5m,16k
1.6m,27k
1.7m,"7,757"
3.6m,55.9k
1.9m,11.5k
1.7m,14.8k
1.2m,"5,254"
2.8m,24.3k
1m,"9,537"
14.3m,50k
2.1m,32.3k
2m,10.8k
1.5m,10.5k
1.4m,"4,612"
1.9m,14.2k
2.4m,22.2k
1.6m,15k
1.9m,14.2k
2.4m,22.2k
1.6m,15k
3.6m,74k
5.1m,37.3k
2.6m,"8,128"
1.7m,10.2k
1.1m,17.7k
1.7m,43.3k
1.1m,37.3k
3.7m,50.8k
1.6m,12.1k
1.2m,"5,971"
747k,"2,851"
3.5m,26.5k
3m,20.8k
813k,"5,942"
2.3m,0
1m,0
3.5m,0
2.8m,35.7k
1m,0
3.5m,0
2.8m,35.7k
4.8m,68.9k
10m,333k
850k,"4,938"
848k,"7,017"
846k,12.8k
3.1m,"3,623"
