likes,comments
786,24
625,5
465,13
882,44
450,4
134,5
493,39
"7,160",43
348,23
533,24
16.1k,55
363,16
229,4
478,10
500,18
570,32
408,10
728,12
619,7
396,11
19.4k,37
594,12
583,8
747,14
"1,257",9
759,5
453,12
577,8
573,10
603,7
577,8
573,10
603,7
"3,207",11
634,18
"4,434",14
657,12
601,14
556,4
657,12
601,14
556,4
201k,81
579,8
"1,311",10
722,25
757,20
"2,366",35
421,12
622,26
876,21
648,13
"1,001",13
838,24
"1,191",39
696,10
510,8
989,14
"6,575",18
585,6
989,14
"6,575",18
585,6
"4,767",35
577,33
668,19
"1,842",19
614,27
599,9
603,22
616,21
737,25
"2,511",13
760,19
744,11
725,19
768,18
950,21
875,33
749,24
815,7
875,33
749,24
815,7
860,28
687,30
629,6
690,20
745,24
706,15
945,29
"1,028",27
"1,242",19
664,12
"1,144",25
"1,101",17
"1,278",20
"1,851",46
"1,903",26
"1,768",20
"1,786",24
"1,247",24
"1,768",20
"1,786",24
"1,247",24
"2,520",42
"1,832",22
"1,668",35
"1,247",16
971,10
"1,278",14
"1,379",21
"1,708",39
"1,293",18
"1,454",30
"4,500",23
"1,254",16
"1,290",19
"1,087",25
343,0
"1,063",15
"1,452",23
"1,096",15
"1,063",15
"1,452",23
"1,096",15
"1,557",18
"1,067",11
693,8
921,13
772,13
892,16
887,9
852,7
964,9
"1,131",10
933,12
"1,681",7
"1,413",14
"1,255",10
"1,072",9
"1,005",8
"1,716",9
826,7
"1,005",8
"1,716",9
826,7
"1,210",8
"1,297",7
"1,037",6
825,5
"1,544",17
"2,024",13
971,8
963,6
"1,604",8
"1,189",3
937,7
"1,304",16
"1,445",6
"2,340",6
868,10
997,20
"1,317",12
"1,233",7
997,20
"1,317",12
"1,233",7
"1,611",21
"1,219",10
"1,445",7
"1,001",12
"1,125",14
"1,327",9
"1,265",8
"1,138",13
131,5
"1,056",2
940,1
"2,493",3
"1,305",5
"4,574",15
749,3
"1,235",12
"1,273",16
936,8
"6,678",9
831,11
522,10
"6,678",9
831,11
522,10
880,12
900,6
651,3
769,9
829,7
713,6
663,5
702,16
"1,556",3
740,2
967,5
662,12
521,1
850,8
536,5
564,1
427,6
504,4
564,1
427,6
504,4
415,7
934,4
"2,165",3
593,13
431,4
427,3
440,6
349,1
204,0
"1,143",1
255,4
202,4
436,7
571,3
521,7
572,1
172,2
210,6
572,1
172,2
210,6
99,0
257,6
584,15
648,3
833,1
317,10
233,7
315,4
212,2
258,7
414,9
227,1
166,1
"1,929",12
719,44
685,31
247,1
890,2
685,31
247,1
890,2
968,3
906,3
"1,602",8
86,2
280,13
187,4
145,2
252,8
578,3
175,0
234,4
215,5
346,11
187,4
335,11
401,3
341,8
157,1
401,3
341,8
157,1
293,1
207,1
399,15
121,1
275,6
297,7
114,0
118,0
399,3
413,11
818,0
403,17
220,0
195,1
212,3
78,0
118,2
387,5
78,0
118,2
387,5
237,7
144,1
39,0
98,3
189,3
120,3
121,1
35,0
73,1
102,0
122,5
57,2
142,1
24,0
112,2
77,1
174,7
128,0
77,1
174,7
128,0
93,3
140,3
66,1
66,1
203,1
59,2
180,4
79,1
5,0
94,2
103,0
167,3
541,1
458,0
96,0
71,3
81,1
140,1
70,3
97,0
93,3
70,3
97,0
93,3
22,0
38,0
80,3
88,2
44,1
64,1
