likes,comments
745,18
"1,326",22
"1,455",13
988,26
835,26
"1,252",27
995,8
"1,011",23
928,4
620,16
633,15
925,12
"1,036",25
865,14
913,18
746,11
659,11
"1,006",27
771,21
"1,619",20
"1,591",8
"1,398",26
"1,131",23
"1,688",36
"1,923",31
901,21
627,22
439,7
916,11
"2,431",26
439,7
916,11
"2,431",26
"1,077",17
"1,011",20
"1,102",21
"1,282",20
"1,101",23
"1,578",32
"1,282",20
"1,101",23
"1,578",32
"1,942",44
"1,284",22
"1,169",23
"1,259",5
"1,432",34
"2,482",20
"1,087",22
"2,021",26
"3,642",66
"1,104",25
"1,792",28
"2,504",51
"4,942",67
"1,250",15
"1,687",36
"1,449",26
"1,243",15
"1,102",12
"1,449",26
"1,243",15
"1,102",12
628,8
"6,248",28
"1,879",24
"1,192",24
958,24
"1,509",41
"1,059",15
"1,117",16
660,19
753,14
"1,022",19
644,14
746,23
"1,159",25
"1,050",22
"1,546",32
205,2
925,32
"1,546",32
205,2
925,32
267,6
"1,383",31
206,2
"1,626",31
150,1
873,17
214,5
"1,118",25
192,2
"2,554",72
191,2
"2,747",55
164,0
"1,745",10
"1,121",16
"1,240",23
160,1
"1,192",18
"1,240",23
160,1
"1,192",18
184,2
"1,073",23
"1,520",31
840,13
805,21
724,12
291,3
"1,021",26
"1,259",25
"7,976",35
"1,292",33
"2,294",47
"3,108",49
282,0
989,13
209,5
"1,375",40
"1,252",19
209,5
"1,375",40
"1,252",19
"1,078",18
"1,140",17
242,3
"1,553",38
"2,295",43
"1,298",26
361,1
"1,176",23
160,0
"1,761",30
479,13
"1,500",25
"1,369",28
303,2
706,24
"1,292",25
"1,331",29
"1,159",27
"1,292",25
"1,331",29
"1,159",27
997,34
859,18
"1,305",28
"1,785",22
"8,334",21
896,11
"1,131",33
"5,053",14
"1,265",20
"4,215",24
"1,089",18
"2,006",48
"1,306",26
"3,795",13
666,12
375,3
"1,717",13
"1,199",19
375,3
"1,717",13
"1,199",19
"1,253",13
"3,198",11
"1,719",12
"1,520",22
"1,237",13
"1,153",13
"2,535",33
823,8
"2,758",22
"1,282",9
12.5k,15
"1,910",24
"2,732",12
"1,465",18
"3,638",16
378,4
897,27
"2,668",45
"6,391",7
"2,112",38
"2,010",33
"6,391",7
"2,112",38
"2,010",33
"2,127",21
"1,039",17
865,9
19.9k,28
564,5
"1,047",11
"2,244",38
"2,178",19
"2,392",13
"1,931",28
992,18
"2,063",12
720,13
501,4
"1,812",23
"2,239",24
"2,506",40
237,1
"2,239",24
"2,506",40
237,1
"2,002",24
760,18
"1,958",30
396,2
729,12
"2,611",33
"1,819",27
321,2
"3,209",13
"1,729",26
984,14
226,2
"1,014",14
"3,577",14
"1,869",21
515,1
"1,758",28
"2,372",24
515,1
"1,758",28
"2,372",24
"2,185",25
"1,046",15
"1,433",15
"1,518",18
"2,117",39
"1,280",11
"1,266",16
515,1
830,8
969,17
"2,082",26
"2,348",23
"1,582",18
"1,182",19
"2,327",20
"1,899",34
"2,586",32
886,14
"1,899",34
"2,586",32
886,14
"1,940",23
13.6k,25
"1,839",31
"1,666",20
"8,986",13
"1,367",16
"1,981",35
"2,015",24
"4,797",85
808,10
"2,400",42
"3,771",50
"1,136",16
903,18
"1,424",18
"1,480",21
948,14
"3,136",44
"1,480",21
948,14
"3,136",44
773,12
"3,175",40
"1,253",18
"1,100",8
"1,154",14
871,12
"1,851",27
"1,049",22
"1,146",24
848,9
"3,439",33
"1,603",19
"1,257",21
"1,483",14
851,5
"1,073",9
"3,273",46
"1,082",13
"1,073",9
"3,273",46
"1,082",13
614,3
"1,462",29
"1,642",25
"2,433",9
"1,529",18
"1,572",28
"1,924",29
774,17
"1,019",12
"1,032",7
"1,159",16
"1,234",23
657,20
"1,344",17
"2,530",36
543,7
"1,107",13
"2,669",53
543,7
"1,107",13
"2,669",53
877,17
859,16
"1,836",25
"1,481",24
"1,334",26
"2,077",5
"2,662",46
848,10
"1,349",23
810,15
947,14
"2,517",44
"1,928",20
"2,093",28
754,9
"1,879",30
"2,453",44
"1,904",24
"2,243",31
"1,398",18
"1,257",15
"2,243",31
"1,398",18
"1,257",15
"2,866",54
12.4k,38
"2,347",29
"2,107",19
"2,116",23
"1,033",11
