likes,comments
310,22
"1,346",60
638,27
872,61
847,42
413,31
994,33
"1,785",103
883,38
"1,094",70
"1,616",41
883,54
"1,382",66
631,24
580,25
908,53
429,18
"1,312",57
589,28
"1,302",64
509,36
272,0
781,39
"1,552",76
648,45
"1,561",41
615,27
"1,921",60
"1,042",48
"2,058",66
"1,921",60
"1,042",48
"2,058",66
"2,232",42
702,40
"1,125",55
"1,172",55
"1,092",41
"1,339",74
"1,662",95
931,53
"1,074",32
"1,662",95
931,53
"1,074",32
"1,138",45
663,39
960,71
675,11
943,42
"1,367",58
504,6
"1,732",76
"2,062",87
"1,023",39
"1,671",80
698,13
"7,881",340
"1,437",61
"1,092",53
686,20
"1,221",48
962,54
686,20
"1,221",48
962,54
735,30
"1,007",40
985,57
"1,036",60
"1,746",95
709,8
"1,425",48
967,21
"1,408",51
"1,242",74
"2,367",108
896,21
"2,412",90
655,28
"2,336",7
"1,000",45
"1,675",80
722,44
"1,000",45
"1,675",80
722,44
"1,202",58
"2,370",115
"1,586",48
"1,017",50
"1,369",70
733,21
978,64
"1,178",53
"1,405",43
957,30
682,36
798,19
768,60
722,156
823,18
"1,203",67
"1,000",49
830,47
"1,203",67
"1,000",49
830,47
"1,309",44
970,68
"1,160",70
"1,482",75
"1,238",37
"1,799",87
817,41
741,31
"1,425",61
"1,336",87
893,83
"1,303",66
"1,267",60
"1,705",81
969,21
755,27
956,25
757,28
755,27
956,25
757,28
"1,637",104
"1,115",76
"9,249",44
"2,085",83
"1,163",43
"1,221",76
774,28
"1,401",81
"1,082",54
710,48
704,34
"1,164",63
"1,246",47
834,20
"1,020",71
"1,676",68
866,60
"1,036",38
"1,676",68
866,60
"1,036",38
"1,790",130
924,44
"1,461",100
"1,186",95
943,43
"1,625",98
864,56
"1,431",68
657,28
739,36
844,19
"1,144",71
"1,130",80
986,51
"1,143",87
"1,001",63
537,19
899,56
"1,140",38
914,39
969,41
"1,140",38
914,39
969,41
997,53
733,53
495,12
540,32
774,44
"1,228",59
"1,357",71
531,17
"1,170",53
815,29
"1,596",101
886,62
569,30
"1,534",89
"1,176",92
709,26
"1,414",96
810,33
709,26
"1,414",96
810,33
462,10
927,83
904,67
744,45
837,52
959,49
775,56
897,55
894,32
986,95
853,46
899,46
"1,142",51
889,84
"1,071",71
987,52
"1,301",63
"2,006",94
987,52
"1,301",63
"2,006",94
878,12
"1,277",70
"1,110",62
"1,036",56
906,58
"1,190",82
"1,047",95
"5,117",7
862,56
"2,433",131
"1,123",51
"1,989",216
"1,226",76
677,49
"9,013",62
"1,156",58
"1,651",69
"1,200",78
"1,156",58
"1,651",69
"1,200",78
834,54
"1,389",85
"1,487",93
"1,055",99
"1,242",97
"1,167",84
997,65
"1,277",87
662,51
"3,221",193
"1,110",54
983,70
553,33
552,50
769,53
766,80
"1,463",73
"1,225",81
766,80
"1,463",73
"1,225",81
688,30
870,29
"1,248",104
"1,348",98
"1,089",80
"1,126",46
"1,158",86
821,26
"1,245",63
"1,400",82
15k,79
"1,350",109
"1,492",80
"1,004",58
"1,871",63
"1,204",79
"1,581",146
"1,099",62
"1,204",79
"1,581",146
"1,099",62
667,65
"1,097",54
14.3k,62
877,58
"2,059",89
887,103
"8,161",55
"1,288",98
"1,050",67
959,72
"1,252",77
"1,118",65
800,65
"1,339",103
"1,018",73
"1,023",68
737,63
"4,369",31
"1,023",68
737,63
"4,369",31
"1,238",75
653,51
"1,187",60
942,51
439,47
862,59
14.4k,94
"1,091",62
"1,792",89
827,63
807,75
865,40
"1,313",81
"1,077",44
814,65
783,57
"6,824",21
"1,039",65
783,57
"6,824",21
"1,039",65
869,64
"1,012",87
"1,228",99
840,55
"1,090",86
"5,735",22
"1,132",204
"1,299",88
905,45
"1,007",64
919,51
798,54
"1,072",95
839,53
"2,015",96
909,80
"1,102",46
"6,920",45
745,46
"1,156",55
"8,320",61
745,46
"1,156",55
"8,320",61
951,96
"1,149",71
738,50
