likes,comments
234k,"3,126"
700k,"3,731"
552k,"4,249"
1m,"3,605"
692k,"4,859"
613k,"1,299"
499k,"1,854"
883k,"8,469"
1m,"8,688"
3.2m,"4,772"
1.1m,"2,612"
555k,"4,588"
421k,"3,819"
848k,"8,974"
987k,"4,756"
1.4m,"4,954"
1.7m,"5,271"
1.1m,"6,283"
837k,"4,496"
1m,"2,411"
936k,"1,696"
886k,"1,664"
677k,"5,341"
882k,"5,115"
1.7m,"2,989"
1.1m,"1,817"
646k,"4,208"
1.2m,"2,300"
698k,"4,957"
339k,"1,757"
1.2m,"2,300"
698k,"4,957"
339k,"1,757"
716k,"3,345"
1.5m,"2,667"
2.1m,"2,514"
3.2m,"3,892"
1m,"2,257"
1.6m,"2,124"
876k,"3,584"
2.2m,"3,859"
1.3m,"6,220"
842k,"4,388"
1m,"2,691"
646k,"5,114"
932k,"5,136"
1m,"4,488"
623k,"3,247"
496k,"3,407"
1.9m,"2,963"
579k,"3,605"
804k,"6,637"
4m,"5,152"
970k,"5,456"
804k,"6,637"
4m,"5,152"
970k,"5,456"
3.6m,"4,270"
613k,"5,746"
657k,"6,426"
906k,"5,195"
886k,"5,265"
1.6m,"3,860"
690k,"4,501"
4.7m,"4,353"
635k,"5,391"
2m,"4,661"
849k,"5,094"
782k,"4,713"
1.3m,"2,487"
731k,"5,602"
282k,"3,447"
164k,"3,353"
1.9m,"3,318"
752k,"4,989"
164k,"3,353"
1.9m,"3,318"
752k,"4,989"
710k,"4,145"
1.1m,"2,587"
653k,"6,157"
1.9m,12k
785k,"5,932"
675k,"2,025"
1.2m,"5,862"
1.8m,"7,079"
878k,"6,642"
581k,"5,391"
696k,"6,225"
1m,"9,003"
2.2m,"6,121"
667k,"4,656"
606k,"5,350"
615k,"6,847"
409k,"2,900"
1m,"4,047"
615k,"6,847"
409k,"2,900"
1m,"4,047"
678k,"2,401"
561k,"4,207"
819k,11k
832k,"6,333"
1.2m,"2,379"
2.2m,"2,888"
699k,"4,200"
780k,"5,429"
1.8m,"4,957"
1m,"2,485"
1.8m,"3,187"
3.2m,"4,389"
711k,"7,147"
831k,"8,381"
1.4m,33.1k
1.3m,"4,920"
1.5m,"6,005"
1.6m,"2,900"
1.3m,"4,920"
1.5m,"6,005"
1.6m,"2,900"
1.2m,"5,322"
2.8m,10.2k
610k,"6,034"
1m,"2,170"
703k,"2,326"
326k,"2,004"
609k,"4,669"
1.4m,"3,598"
501k,"2,747"
780k,"3,739"
614k,"5,794"
889k,"2,606"
305k,"1,599"
809k,"4,022"
671k,"5,694"
703k,"6,760"
978k,"5,988"
666k,"6,031"
703k,"6,760"
978k,"5,988"
666k,"6,031"
724k,"7,090"
734k,"5,705"
924k,"1,383"
636k,"4,242"
521k,"2,625"
585k,"5,405"
1.9m,"5,288"
563k,"5,240"
704k,"5,866"
729k,"5,066"
1.8m,"4,502"
650k,"6,521"
811k,"6,316"
519k,"3,081"
688k,"5,275"
876k,"9,831"
727k,"6,404"
817k,"4,694"
876k,"9,831"
727k,"6,404"
817k,"4,694"
975k,"2,944"
757k,"5,354"
1.7m,"3,784"
616k,"4,455"
677k,"5,799"
933k,"6,777"
710k,"4,018"
760k,"8,977"
1.4m,"2,968"
698k,"3,812"
804k,"5,995"
1.6m,"5,265"
957k,"7,830"
1.8m,"4,091"
669k,"4,851"
777k,"3,294"
718k,"2,644"
1.5m,"3,550"
777k,"3,294"
718k,"2,644"
1.5m,"3,550"
796k,"5,346"
687k,"4,803"
767k,"5,531"
926k,"8,711"
1m,12.3k
928k,"6,303"
1.5m,"4,453"
1m,"2,597"
557k,"4,141"
387k,"2,406"
798k,"6,865"
781k,"9,573"
594k,"2,965"
597k,"2,884"
647k,"4,779"
268k,"2,739"
583k,"2,561"
4.9m,"7,432"
448k,"4,602"
794k,"5,808"
1.3m,10.3k
448k,"4,602"
794k,"5,808"
1.3m,10.3k
713k,"7,029"
669k,"1,649"
1.6m,"2,666"
744k,"5,415"
807k,"1,340"
1.2m,"2,481"
912k,"4,303"
1.3m,"3,755"
1.4m,"2,920"
782k,"5,406"
747k,"4,577"
1m,17.1k
892k,"2,888"
543k,"3,729"
722k,"4,682"
3m,"3,473"
896k,10.5k
1.4m,"1,884"
3m,"3,473"
896k,10.5k
1.4m,"1,884"
599k,"6,262"
711k,"5,951"
1.2m,"2,251"
1m,"2,942"
730k,"6,703"
848k,"4,901"
663k,"5,203"
648k,"3,391"
693k,"2,353"
858k,"6,560"
1.7m,"2,815"
643k,"3,357"
850k,"5,338"
606k,"3,216"
613k,"5,109"
510k,"3,101"
181k,"1,761"
491k,"2,909"
510k,"3,101"
181k,"1,761"
491k,"2,909"
1.3m,11.4k
2.2m,"2,945"
1.9m,"3,632"
483k,"2,950"
2.1m,"2,473"
660k,"4,020"
689k,"4,782"
457k,"3,349"
293k,863
606k,"5,634"
632k,"5,827"
426k,"3,770"
