likes,comments
1.8m,"8,459"
592k,767
1.2m,"2,295"
2.4m,12.8k
1.4m,"5,906"
1.1m,"2,054"
1.3m,"1,464"
680k,"1,363"
1.9m,"8,080"
1.2m,"4,362"
1.9m,"4,012"
1.1m,"4,325"
983k,"3,355"
648k,599
698k,"1,778"
961k,982
1.8m,"7,366"
1m,"2,895"
754k,812
1.3m,"5,609"
1m,"2,440"
1.3m,"7,125"
1.8m,"7,928"
1.9m,"5,587"
1.3m,"1,575"
1.1m,"3,439"
1.7m,"6,411"
892k,"1,141"
1m,"6,084"
1.2m,"4,482"
892k,"1,141"
1m,"6,084"
1.2m,"4,482"
850k,"2,434"
1.3m,"5,862"
1.1m,"3,030"
915k,"2,161"
1.3m,"3,591"
1.5m,"6,283"
1.2m,"1,345"
1.8m,"4,701"
2.6m,"2,790"
1.1m,"4,394"
1.1m,"1,908"
803k,"2,380"
1.1m,"4,394"
1.1m,"1,908"
803k,"2,380"
1.2m,"4,505"
997k,589
2.4m,"1,714"
1.6m,"1,856"
2.7m,"2,121"
915k,"3,320"
780k,"1,185"
1.8m,"1,941"
1.2m,"4,440"
1.5m,908
914k,"2,223"
1.3m,"3,681"
1.2m,"2,163"
986k,"2,940"
771k,"1,251"
893k,"2,194"
1.1m,"2,511"
1.1m,"2,489"
893k,"2,194"
1.1m,"2,511"
1.1m,"2,489"
1.8m,"5,484"
1.2m,"3,617"
2.7m,10.7k
1.4m,"3,539"
1.5m,"6,869"
1.5m,"5,081"
2.2m,"6,927"
4.5m,"4,508"
1.6m,"1,397"
1.6m,"7,802"
2.1m,"4,491"
2.5m,"7,515"
3.4m,41.4k
3.4m,97.7k
1.8m,"5,947"
1.1m,"2,534"
2m,"9,486"
2m,"8,197"
2.2m,"8,901"
1.1m,"2,631"
2.1m,"7,841"
2.2m,"8,901"
1.1m,"2,631"
2.1m,"7,841"
1.8m,"6,785"
5.7m,"7,101"
1.8m,"5,271"
1.3m,"2,962"
1.4m,"4,494"
1.2m,"2,660"
4.8m,"4,664"
1.1m,"2,400"
1.9m,"5,853"
1.1m,"2,247"
1.4m,"6,987"
2.3m,39.1k
4.5m,"2,912"
4.1m,"9,955"
1.3m,"5,053"
1.1m,"4,318"
949k,"1,522"
873k,"1,684"
1.1m,"4,318"
949k,"1,522"
873k,"1,684"
3.7m,"5,981"
1.1m,"3,630"
1.5m,936
1m,"3,051"
842k,"1,771"
1.8m,12.6k
1.2m,"4,299"
1.2m,"5,129"
839k,"2,129"
1.1m,"5,211"
913k,"1,702"
974k,"1,185"
3.9m,"2,774"
2.6m,"2,327"
1.3m,"3,537"
1.1m,"4,228"
4.1m,"1,674"
1.8m,"4,664"
1.1m,"4,228"
4.1m,"1,674"
1.8m,"4,664"
1.1m,"3,812"
1.1m,"2,714"
1.1m,"3,796"
1.4m,"7,530"
1.2m,"4,648"
1.1m,"4,339"
930k,"1,007"
2m,"7,831"
1.6m,"5,126"
355k,793
1.2m,"4,395"
1.3m,"1,254"
1.6m,14.4k
731k,"1,641"
1.6m,938
1.5m,"5,291"
2.4m,10.7k
1.3m,"3,630"
1.5m,"5,291"
2.4m,10.7k
1.3m,"3,630"
1.1m,"3,201"
2.9m,38.5k
1.9m,"8,680"
1.1m,"2,445"
946k,"2,621"
1.2m,"3,883"
5.1m,"3,468"
818k,"3,161"
846k,"2,573"
1.1m,"5,033"
2.7m,"3,606"
1.1m,"2,190"
3.2m,"1,685"
966k,"1,411"
863k,"1,989"
805k,"1,316"
1m,"1,800"
964k,"2,971"
805k,"1,316"
1m,"1,800"
964k,"2,971"
752k,"1,576"
2.5m,"1,961"
668k,"2,127"
815k,"2,974"
741k,"3,057"
550k,974
744k,"1,281"
866k,"3,149"
1m,"3,413"
765k,"1,490"
1m,"2,957"
1.2m,"4,157"
716k,"1,971"
1m,"1,999"
266k,818
824k,"2,821"
880k,"3,207"
857k,"3,166"
824k,"2,821"
880k,"3,207"
857k,"3,166"
925k,"2,774"
1.6m,24.8k
1.4m,"4,062"
3.4m,"8,703"
