likes,comments
653,36
332,0
802,12
701,15
"1,179",33
663,53
446,19
757,14
699,15
"1,213",56
"2,873",47
"1,175",50
970,32
525,25
781,20
445,3
"1,722",84
391,2
329,1
451,3
500,7
473,10
344,7
289,2
255,2
647,14
289,20
564,22
514,22
927,35
564,22
514,22
927,35
446,14
659,51
652,13
461,17
535,33
592,6
599,12
"1,225",61
391,49
"1,133",52
"1,174",21
914,25
"1,133",52
"1,174",21
914,25
472,10
505,3
358,20
"2,760",256
822,27
602,26
736,32
983,67
320,4
332,3
375,10
322,4
422,4
440,1
606,15
"1,012",49
476,11
474,4
"1,012",49
476,11
474,4
371,9
587,20
618,16
444,14
654,10
"1,643",157
481,9
455,21
216,8
318,7
375,17
456,10
337,3
436,7
446,12
429,2
"1,244",10
"1,742",9
516,5
351,1
306,6
516,5
351,1
306,6
"1,010",28
"1,952",30
219,2
379,11
435,9
557,28
622,2
448,21
724,28
358,4
439,19
235,2
344,12
328,9
546,36
442,7
456,13
360,11
442,7
456,13
360,11
507,10
"3,075",63
302,6
715,25
433,12
"1,325",43
266,7
233,5
379,22
253,9
324,0
340,2
392,11
549,18
544,5
269,3
443,22
319,3
269,3
443,22
319,3
324,11
551,3
627,7
371,18
"1,286",68
"1,005",24
595,14
392,5
313,3
447,8
263,6
627,7
635,7
705,6
685,15
919,25
831,27
462,5
919,25
831,27
462,5
391,5
839,40
726,13
434,8
490,5
525,7
632,26
762,16
725,7
244,0
623,7
522,20
374,0
800,22
447,4
361,10
560,13
386,17
361,10
560,13
386,17
435,3
321,3
582,13
589,22
357,4
"1,355",28
550,5
282,7
893,35
381,9
542,7
380,5
481,6
599,9
421,3
400,0
720,19
888,23
400,0
720,19
888,23
"1,394",44
"1,091",30
459,5
475,7
458,8
854,15
440,17
645,7
914,26
531,6
407,6
588,9
396,3
552,10
706,6
575,8
540,10
660,13
575,8
540,10
660,13
553,6
315,2
771,35
420,3
353,7
280,1
493,8
440,4
540,2
412,2
408,8
375,24
804,11
294,2
"1,117",4
335,10
671,2
351,15
335,10
671,2
351,15
402,16
233,19
422,5
335,8
286,10
255,0
500,13
241,4
267,14
355,9
555,11
407,13
309,18
344,18
410,16
369,13
312,14
268,11
283,20
253,10
417,14
283,20
253,10
417,14
260,8
227,8
270,8
237,10
308,5
207,8
290,19
136,0
143,4
195,4
148,13
198,9
225,12
206,2
171,3
176,4
218,15
111,5
176,4
218,15
111,5
115,0
139,0
180,3
166,6
154,2
213,6
184,7
137,5
220,11
154,8
165,12
303,10
297,11
469,32
281,12
80,2
112,11
95,8
80,2
112,11
95,8
99,3
91,3
93,5
231,16
208,19
153,3
171,6
147,4
262,20
128,11
168,15
150,3
137,7
96,4
98,6
153,6
124,17
118,3
153,6
124,17
118,3
107,7
123,5
128,12
42,0
145,14
114,1
56,7
62,3
70,2
93,2
98,4
41,2
57,4
59,1
57,2
125,10
39,1
52,1
125,10
39,1
52,1
