likes,comments
13.1m,42k
2.5m,11.6k
8.9m,40.9k
807k,"3,909"
954k,"5,055"
4.5m,"8,545"
9.4m,11.7k
11.6m,25.5k
2.7m,10.2k
2.5m,15.3k
2.1m,11.2k
8m,"8,475"
1.6m,"6,352"
2m,19.4k
7.4m,12.3k
11.9m,13.5k
20.6m,54.7k
3.3m,10.3k
5.7m,"6,904"
8.2m,18.1k
17.1m,10k
3.8m,11.3k
2.3m,"7,390"
3.6m,13.8k
5.2m,36.2k
2.4m,"9,451"
8.1m,"6,284"
445k,"3,677"
16.8m,56k
11.4m,15.4k
445k,"3,677"
16.8m,56k
11.4m,15.4k
4.8m,26.9k
3.5m,15.1k
5m,50.7k
12.5m,13.5k
5.9m,29.4k
3.5m,20.5k
28m,50.9k
5.3m,34.6k
7.8m,19.8k
28m,50.9k
5.3m,34.6k
7.8m,19.8k
5.2m,41k
9.9m,"5,508"
11m,17.9k
5.9m,"6,700"
9.1m,20.7k
4.8m,26.8k
7.2m,69.6k
5m,21.2k
6.7m,10.8k
3.9m,"7,837"
1.2m,"8,246"
5.4m,"7,224"
4.6m,"5,729"
2.6m,"3,406"
1.8m,"1,627"
2.3m,"4,807"
6m,10.5k
1.9m,"2,328"
2.3m,"4,807"
6m,10.5k
1.9m,"2,328"
1.7m,"3,336"
2.7m,"7,070"
2.4m,"2,805"
2m,"3,837"
1.2m,17.8k
4.5m,"6,899"
1.1m,"6,761"
4m,"9,849"
5.7m,"7,167"
10.6m,15.9k
5.6m,44.1k
939k,"4,203"
4.2m,18k
2.6m,10.1k
9.9m,"7,114"
3.6m,17k
14.3m,25.4k
1.1m,11.6k
2.6m,27.9k
12.2m,28.4k
3.2m,29.8k
2.6m,27.9k
12.2m,28.4k
3.2m,29.8k
8.4m,21.7k
9.3m,19.4k
782k,"4,628"
15.1m,"7,461"
3.4m,"2,768"
9m,"6,081"
14.3m,"8,659"
729k,"3,739"
4.9m,"3,526"
2.7m,"1,603"
1.6m,19.2k
1.8m,14.5k
27.8m,40.7k
5.2m,32.4k
2.7m,27.7k
551k,"8,626"
15.3m,22k
17.9m,55.9k
551k,"8,626"
15.3m,22k
17.9m,55.9k
12m,10.5k
549k,"3,900"
11.7m,36.8k
2.2m,22.9k
28.8m,22k
18m,20.9k
6.9m,"3,487"
2.1m,10.6k
530k,"3,471"
3.1m,"4,070"
4m,36.1k
958k,"3,429"
516k,"5,065"
533k,"2,978"
2.7m,15.7k
16.1m,24.7k
3.5m,20k
19.3m,58.6k
16.1m,24.7k
3.5m,20k
19.3m,58.6k
15.8m,36.2k
4.8m,"3,579"
3.7m,"4,565"
3.6m,20.7k
21.4m,104k
2m,16.5k
1m,"6,361"
953k,15.8k
2.9m,11.6k
3.3m,14.8k
8.5m,12.1k
2.9m,14.4k
2.6m,15.3k
15.3m,23.3k
4.2m,18.3k
2m,"6,003"
1.5m,"5,022"
2.1m,"5,709"
2m,"6,003"
1.5m,"5,022"
2.1m,"5,709"
2.8m,"7,732"
17m,20.2k
12.8m,"8,608"
4.4m,27.3k
9.4m,30k
829k,"5,920"
5.4m,12.1k
8.5m,13.2k
1.9m,11.5k
3.3m,16.4k
7.1m,"8,211"
2.8m,"3,638"
1.1m,16.3k
1.9m,"2,514"
6.8m,13.7k
3.9m,63.3k
17.9m,30.3k
5.7m,28.5k
3.9m,63.3k
17.9m,30.3k
5.7m,28.5k
2.7m,"2,489"
4.1m,29.4k
12.2m,17.6k
4.1m,21.6k
4.8m,32.4k
2.5m,13.4k
19.8m,70.1k
3.3m,17.4k
12.9m,12.8k
16.9m,21.6k
5.2m,27k
8.2m,14.7k
1.4m,"3,512"
2.9m,"9,739"
13.8m,50.8k
3.9m,27.3k
13.1m,12.4k
20.1m,46.2k
3.9m,27.3k
13.1m,12.4k
20.1m,46.2k
4.5m,16.2k
6.5m,12.2k
18.1m,35.4k
5.9m,29.6k
4.5m,"2,162"
3.1m,13.2k
5.3m,19.6k
12.6m,11.9k
2.3m,"6,565"
17.5m,21.7k
3.1m,13k
4.3m,19.3k
5.1m,36.3k
17.1m,21.4k
12.2m,15.2k
1.5m,"5,867"
3m,21.1k
33.9m,154k
1.5m,"5,867"
3m,21.1k
33.9m,154k
4.9m,11.8k
7.4m,66.4k
7.5m,70.9k
1.4m,15.4k
1.5m,12.7k
17.2m,17.4k
6.4m,38.5k
1.7m,17.2k
8.2m,30.7k
2.1m,54.3k
1.3m,"7,650"
12.1m,86.1k
633k,"5,798"
37.7m,151k
5.9m,31.9k
1.2m,14.1k
16.3m,"6,139"
27m,24.6k
1.2m,14.1k
16.3m,"6,139"
27m,24.6k
4.8m,34.9k
17.2m,"8,607"
1.6m,"8,788"
7.4m,72k
13.2m,33.2k
2.4m,14.6k
2.3m,"9,389"
6.5m,"8,089"
4.2m,"8,935"
3.1m,14.2k
3.4m,11.3k
3m,25.9k
4.8m,33.2k
3.7m,32.1k
1.4m,15.3k
6m,27.6k
7m,76k
3.3m,24.9k
3.5m,23.1k
7.7m,10k
2.4m,23.7k
3.5m,23.1k
7.7m,10k
2.4m,23.7k
4.5m,24.3k
2.9m,18.1k
2.9m,15.1k
618k,74.1k
1.2m,21.1k
1.1m,"4,503"
14.1m,55.8k
3.3m,21.1k
8.4m,"5,640"
663k,"7,358"
1.5m,13.4k
1.6m,10.6k
11.9m,"8,829"
1.8m,14k
841k,"8,777"
865k,20.4k
2m,23.6k
2.4m,14.2k
865k,20.4k
2m,23.6k
2.4m,14.2k
23.7m,80.3k
18.3m,25.1k
28.3m,49.3k
17.1m,32.9k
2.8m,29.2k
815k,"6,412"
1.2m,12.3k
10.2m,24.7k
1.2m,"4,167"
1.2m,"4,679"
20.9m,41.3k
23.4m,33.1k
2.2m,24.8k
16m,35.9k
36m,82.9k
9.5m,16.4k
1.6m,"6,862"
