likes,comments
422k,"1,504"
816k,"5,583"
467k,"2,177"
277k,857
404k,"1,563"
350k,"1,430"
1.6m,"1,649"
309k,"1,037"
508k,"2,023"
413k,"1,422"
508k,"2,179"
397k,"1,433"
1.7m,"1,329"
438k,"1,601"
260k,"1,006"
479k,"2,165"
273k,"2,171"
262k,654
482k,433
860k,"1,244"
371k,939
497k,"2,188"
910k,567
915k,"5,285"
337k,888
858k,"6,718"
3.5m,"1,644"
747k,"3,644"
174k,673
1.8m,"2,532"
747k,"3,644"
174k,673
1.8m,"2,532"
256k,722
470k,"1,388"
377k,"1,232"
412k,"1,323"
487k,271
427k,"1,787"
414k,"1,065"
860k,674
589k,"2,639"
474k,"1,361"
281k,"1,148"
339k,"1,300"
474k,"1,361"
281k,"1,148"
339k,"1,300"
974k,"5,766"
92.6k,335
553k,"1,924"
725k,"3,190"
1m,"5,646"
589k,"1,430"
425k,854
934k,556
582k,"1,454"
637k,"1,926"
927k,"3,883"
807k,"2,588"
497k,"1,422"
746k,"2,726"
474k,"1,641"
698k,"2,161"
1.3m,978
552k,"1,962"
698k,"2,161"
1.3m,978
552k,"1,962"
422k,"1,213"
361k,"1,023"
742k,"3,114"
450k,"1,437"
471k,"1,280"
1.8m,661
582k,"1,269"
854k,"3,234"
811k,"4,966"
437k,"1,035"
355k,"1,081"
275k,724
599k,"2,748"
279k,657
382k,796
185k,321
320k,829
488k,"1,351"
268k,743
465k,"1,329"
401k,"1,711"
268k,743
465k,"1,329"
401k,"1,711"
353k,909
316k,606
206k,456
308k,984
338k,760
428k,"1,161"
297k,717
373k,991
204k,391
252k,533
198k,372
410k,"1,441"
444k,"1,332"
358k,991
570k,"1,840"
533k,"2,022"
467k,835
665k,"2,451"
533k,"2,022"
467k,835
665k,"2,451"
279k,688
458k,"1,529"
365k,997
489k,"1,348"
672k,"2,654"
372k,"1,119"
372k,959
579k,"1,638"
468k,"1,420"
,0
607k,"2,452"
3.5m,"7,438"
102k,319
381k,"1,202"
263k,682
677k,"2,473"
776k,"4,788"
233k,611
677k,"2,473"
776k,"4,788"
233k,611
1.2m,628
710k,"2,514"
1.2m,"2,303"
608k,"1,827"
380k,"1,144"
322k,"1,059"
109k,350
455k,"2,402"
825k,"8,133"
247k,754
518k,"1,905"
556k,"2,044"
3.5m,"3,163"
712k,"3,331"
590k,"2,053"
308k,927
362k,"1,391"
552k,"1,967"
308k,927
362k,"1,391"
552k,"1,967"
266k,875
433k,"1,682"
272k,571
554k,"1,944"
657k,"3,201"
801k,"3,083"
504k,"1,760"
420k,"1,079"
304k,960
359k,"1,333"
277k,704
281k,764
340k,"1,019"
666k,"2,240"
109k,357
415k,"1,431"
537k,"2,042"
199k,452
415k,"1,431"
537k,"2,042"
199k,452
486k,"1,705"
389k,"1,141"
1m,"7,321"
703k,707
1.3m,"1,076"
436k,"1,621"
158k,391
360k,888
253k,549
790k,550
394k,"1,460"
446k,"1,542"
403k,"1,516"
350k,996
398k,"1,293"
189k,520
560k,"1,767"
372k,"1,280"
189k,520
560k,"1,767"
372k,"1,280"
521k,"1,774"
476k,"1,765"
525k,"1,651"
387k,"4,944"
413k,"1,390"
392k,"1,367"
306k,859
251k,451
723k,"1,333"
449k,"1,665"
1m,"1,318"
264k,"1,056"
278k,468
98.3k,224
523k,"1,411"
668k,"2,863"
362k,"1,035"
298k,684
668k,"2,863"
362k,"1,035"
298k,684
417k,"1,081"
842k,"3,118"
345k,798
451k,975
215k,468
233k,480
492k,287
717k,"3,107"
570k,"2,376"
670k,"2,272"
1.1m,266
448k,"1,312"
644k,235
377k,978
1m,951
96.2k,212
215k,556
399k,884
96.2k,212
215k,556
399k,884
644k,"2,886"
479k,"1,293"
323k,331
479k,312
536k,"1,858"
293k,663
246k,516
119k,180
385k,960
752k,499
903k,"5,454"
885k,"4,561"
358k,"1,427"
217k,458
1.6m,"2,227"
272k,610
522k,"1,875"
169k,298
184k,520
739k,"3,337"
292k,722
184k,520
739k,"3,337"
292k,722
376k,"1,305"
543k,"1,585"
739k,"2,978"
187k,324
679k,"3,920"
5.1m,"3,641"
804k,"3,193"
290k,582
474k,976
1.2m,763
809k,607
380k,"1,126"
774k,"2,693"
294k,678
451k,224
496k,622
370k,"1,244"
588k,"2,135"
496k,622
370k,"1,244"
588k,"2,135"
500k,"1,838"
185k,777
100k,0
106k,251
553k,"1,695"
1.1m,"1,107"
542k,"1,933"
289k,709
155k,531
121k,492
172k,0
233k,677
232k,559
439k,"1,796"
392k,424
447k,"1,919"
292k,899
301k,604
447k,"1,919"
292k,899
301k,604
190k,555
301k,"1,065"
118k,327
136k,366
211k,886
762k,"2,566"
128k,288
81.4k,435
78.9k,342
294k,"1,353"
345k,"1,457"
380k,"1,665"
95.4k,187
251k,790
373k,"1,026"
229k,577
67.2k,265
271k,"1,040"
229k,577
67.2k,265
271k,"1,040"
302k,962
162k,452
112k,883
200k,632
229k,600
727k,477
393k,372
323k,583
76k,172
243k,537
333k,"1,031"
202k,595
282k,"1,040"
301k,756
296k,649
205k,466
1.4m,"1,460"
289k,"1,204"
205k,466
1.4m,"1,460"
289k,"1,204"
152k,439
62.6k,361
134k,440
541k,568
641k,757
484k,452
56.5k,325
277k,898
176k,669
472k,618
64.4k,319
336k,"1,468"
424k,"2,041"
149k,358
217k,570
60.8k,273
405k,295
151k,"1,783"
60.8k,273
405k,295
151k,"1,783"
68.5k,199
263k,"1,142"
240k,813
66.9k,267
68k,210
205k,683
157k,542
811k,475
171k,613
929k,391
208k,744
43.7k,319
273k,"1,508"
40k,267
305k,207
141k,482
182k,546
287k,"1,224"
141k,482
182k,546
287k,"1,224"
924k,871
126k,283
383k,351
237k,389
170k,578
397k,213
285k,137
52.6k,117
59.5k,103
198k,664
216k,291
270k,195
149k,505
129k,497
106k,211
92k,314
72.3k,257
47.4k,423
217k,595
737k,282
536k,399
217k,595
737k,282
536k,399
281k,128
258k,905
260k,107
230k,412
792k,416
125k,177
227k,468
85.4k,160
59.3k,91
135k,364
255k,963
164k,464
579k,447
94.2k,159
109k,158
428k,249
