likes,comments
1m,"3,649"
1.4m,"8,840"
711k,"3,103"
971k,"4,100"
1m,"2,595"
613k,"2,715"
1.3m,"7,320"
1.3m,"8,502"
559k,"2,651"
976k,"3,690"
578k,"1,584"
1.6m,11.2k
2m,15.7k
1m,"2,874"
923k,"2,786"
997k,"2,217"
460k,"2,114"
548k,"2,639"
2.3m,10.8k
1.3m,"3,259"
1.2m,"5,500"
384k,"2,267"
1.7m,"3,892"
396k,"5,040"
486k,"2,378"
1m,"7,960"
2.3m,"3,586"
739k,"3,383"
611k,"3,382"
2.9m,"4,831"
739k,"3,383"
611k,"3,382"
2.9m,"4,831"
884k,"3,578"
2.1m,"5,654"
1.7m,"4,937"
1.6m,13.1k
987k,"4,350"
1.8m,10.3k
1.7m,"3,770"
941k,"3,600"
10.4m,11k
3.2m,22.5k
2.2m,23.4k
2.2m,"3,064"
3.2m,22.5k
2.2m,23.4k
2.2m,"3,064"
599k,"3,124"
1.9m,"3,714"
1.5m,10.5k
1.3m,"5,404"
1.7m,"2,384"
1.5m,"2,823"
1m,"5,474"
402k,"2,081"
1.5m,"6,814"
276k,"1,167"
725k,"2,042"
1m,"4,157"
1.2m,"5,171"
972k,"5,482"
1.6m,"7,398"
1.7m,"8,814"
1.6m,"8,893"
3.6m,"4,130"
1.7m,"8,814"
1.6m,"8,893"
3.6m,"4,130"
3.1m,"4,743"
1.8m,"3,398"
1.6m,"7,675"
785k,"3,077"
1.9m,"9,122"
1.3m,"2,111"
2.1m,15.1k
1.3m,"5,089"
1.1m,"4,067"
1.6m,"9,496"
2.4m,"1,977"
1.5m,"9,554"
1m,"4,585"
528k,"2,715"
2.9m,"3,590"
3.3m,"6,531"
710k,"2,830"
932k,"6,177"
964k,"4,448"
1.5m,"2,175"
1.5m,"5,509"
964k,"4,448"
1.5m,"2,175"
1.5m,"5,509"
1m,"4,880"
1.2m,"4,130"
751k,"2,188"
2m,16.9k
2.7m,"4,649"
1.4m,"5,762"
835k,"6,067"
4.6m,"7,768"
3m,"3,375"
1.1m,"1,423"
4.3m,"4,526"
7.6m,10.7k
2m,13.2k
1.1m,"4,682"
961k,"3,365"
728k,"1,389"
598k,"2,268"
901k,"4,809"
728k,"1,389"
598k,"2,268"
901k,"4,809"
1.6m,"6,786"
1.3m,"5,534"
6.3m,"8,188"
1m,"4,061"
1.2m,"4,103"
1.2m,"3,662"
536k,"1,520"
1.2m,"4,166"
600k,"1,693"
505k,"1,431"
736k,"2,148"
1.2m,"5,477"
1.6m,"5,986"
999k,"1,800"
1.7m,"6,895"
1.6m,"2,198"
876k,"3,331"
721k,"2,211"
1.6m,"2,198"
876k,"3,331"
721k,"2,211"
834k,"2,721"
1.4m,"5,053"
1m,"4,684"
474k,"1,443"
963k,"3,040"
2.8m,"1,965"
783k,"3,141"
1.3m,"6,751"
832k,"2,648"
951k,"3,282"
968k,"2,143"
392k,"1,189"
1.1m,"2,996"
2m,15.5k
1.1m,"3,670"
777k,"4,916"
1.2m,"7,129"
2.4m,"2,617"
777k,"4,916"
1.2m,"7,129"
2.4m,"2,617"
516k,"1,458"
484k,"1,053"
1m,"1,926"
747k,"1,442"
896k,"1,770"
955k,"3,039"
1.3m,"5,353"
1.4m,"6,379"
1m,"2,161"
1.2m,846
1.3m,"5,995"
710k,"1,434"
1.2m,"4,462"
575k,"1,531"
889k,"2,299"
2.1m,"1,993"
603k,"2,068"
916k,"2,856"
2.1m,"1,993"
603k,"2,068"
916k,"2,856"
847k,"2,358"
332k,648
619k,"1,979"
711k,"2,264"
818k,"3,372"
881k,"2,523"
826k,"2,455"
739k,"2,052"
1m,"4,437"
1m,"2,241"
1.3m,"1,452"
1.5m,"5,337"
1.3m,"4,065"
1.3m,"4,428"
767k,"2,617"
1.8m,"1,575"
583k,"1,889"
1.7m,"9,529"
1.8m,"1,575"
583k,"1,889"
1.7m,"9,529"
2.2m,"2,456"
1.7m,"8,531"
790k,"2,739"
652k,"2,996"
2.6m,"2,583"
1.8m,"1,919"
782k,"1,928"
468k,"1,679"
1m,"1,313"
1m,"4,225"
858k,"3,155"
597k,"1,848"
1.4m,"5,188"
1.6m,"7,203"
513k,"2,417"
479k,"1,221"
1.3m,"1,392"
822k,"2,951"
479k,"1,221"
1.3m,"1,392"
822k,"2,951"
1m,"3,646"
1.1m,"2,532"
1.2m,"3,222"
1.3m,"5,497"
2.5m,20.9k
842k,"2,398"
1.1m,"4,790"
2m,"2,783"
7m,"3,750"
516k,"1,454"
969k,"3,177"
804k,"2,572"
2m,"2,884"
1m,"5,034"
1.2m,"3,937"
978k,"1,265"
1m,"3,002"
1.1m,"1,353"
978k,"1,265"
1m,"3,002"
1.1m,"1,353"
374k,"1,362"
1.9m,"1,912"
892k,"2,139"
1m,"3,586"
1m,"1,925"
825k,"1,230"
675k,"1,097"
399k,"1,425"
1.7m,"3,177"
1.1m,"1,653"
1.3m,"3,788"
2m,12.8k
1m,"1,152"
1.1m,"1,800"
861k,"2,736"
903k,"2,915"
2.8m,"3,569"
849k,"2,640"
780k,"2,694"
640k,"2,126"
809k,"1,792"
780k,"2,694"
640k,"2,126"
809k,"1,792"
2.3m,11.8k
1.1m,"3,229"
1.9m,11.4k
4m,"4,798"
474k,"1,108"
1.1m,"4,416"
937k,"3,094"
1.5m,"7,292"
782k,"2,677"
1.5m,"2,853"
1.6m,"8,042"
1m,"4,287"
586k,"1,225"
6m,"4,128"
303k,846
827k,"3,385"
1.5m,"6,569"
853k,"2,178"
827k,"3,385"
1.5m,"6,569"
853k,"2,178"
538k,"1,147"
982k,"3,295"
730k,"1,497"
1m,"3,564"
549k,798
919k,"3,435"
2.2m,"6,198"
2.4m,"3,016"
2m,15.1k
713k,"1,650"
1.6m,"2,370"
1.5m,"7,324"
453k,"1,210"
735k,"2,285"
937k,"1,057"
1.2m,"4,457"
386k,"1,336"
1.3m,"7,935"
1.2m,"4,457"
386k,"1,336"
1.3m,"7,935"
548k,"1,954"
2.6m,"2,894"
1.5m,"8,656"
3.2m,"2,629"
2.5m,"4,376"
2.1m,"1,598"
885k,"3,020"
5.8m,16.4k
1.1m,"5,801"
894k,"3,785"
5.4m,"6,795"
1.4m,"5,960"
1.2m,"5,251"
358k,"1,499"
1.5m,"5,835"
912k,"3,308"
2.1m,26.2k
809k,"3,298"
912k,"3,308"
2.1m,26.2k
809k,"3,298"
681k,"3,836"
3.8m,"2,970"
605k,"2,009"
497k,"2,040"
1.3m,"1,694"
3m,"5,406"
918k,"3,901"
2.8m,"3,785"
717k,"2,447"
1.1m,"4,540"
2.7m,36.5k
1.5m,"1,329"
1.4m,"2,316"
1.1m,"6,912"
692k,"2,514"
1.2m,"2,048"
900k,"2,927"
1.2m,"8,320"
1.2m,"2,048"
900k,"2,927"
1.2m,"8,320"
1m,"4,490"
1.2m,"6,153"
4.6m,"6,443"
1.6m,10.2k
613k,"3,293"
1m,"4,957"
838k,"4,333"
1.9m,"1,420"
919k,"5,463"
1.5m,"2,302"
703k,"4,004"
5.2m,"4,472"
1.3m,"4,056"
5.9m,"4,668"
580k,"2,107"
762k,"2,858"
1.3m,"7,064"
5m,11k
762k,"2,858"
1.3m,"7,064"
5m,11k
1m,"5,466"
616k,"2,468"
815k,"3,423"
595k,"3,131"
920k,"3,112"
1m,"4,727"
925k,"1,409"
452k,"1,864"
2.4m,"2,711"
1.2m,"6,971"
583k,"1,991"
1.3m,"5,952"
745k,"3,842"
3.1m,"2,430"
958k,"5,908"
4.3m,"4,415"
1.5m,10.6k
906k,"5,425"
4.3m,"4,415"
1.5m,10.6k
906k,"5,425"
918k,"2,114"
1.4m,"7,292"
1.2m,"4,594"
1.1m,"7,937"
669k,"3,036"
1.1m,"5,298"
947k,"1,226"
4.3m,"3,154"
834k,"2,867"
578k,"1,984"
882k,"3,299"
606k,"1,779"
514k,"2,818"
