likes,comments
749k,"3,454"
1.4m,11.7k
1.9m,10.4k
641k,"2,886"
1m,"8,228"
101k,550
2.2m,"1,170"
836k,"3,721"
868k,"1,327"
1m,"2,401"
674k,"1,099"
807k,"1,923"
295k,"2,344"
1.8m,"1,147"
754k,882
739k,"1,367"
696k,"3,098"
1.1m,"1,651"
1.1m,"2,782"
1.7m,"4,122"
1.5m,"1,523"
789k,"1,604"
933k,"3,025"
2.1m,"4,740"
765k,"2,542"
1.7m,"2,792"
1.5m,"6,607"
2.8m,"6,992"
1m,"7,300"
327k,"2,119"
2.8m,"6,992"
1m,"7,300"
327k,"2,119"
906k,"3,664"
1.2m,13.7k
443k,"5,997"
1.1m,"8,780"
969k,"1,637"
795k,"3,953"
848k,"1,780"
404k,"2,084"
745k,"1,786"
825k,898
1.1m,"4,203"
338k,"8,723"
825k,898
1.1m,"4,203"
338k,"8,723"
983k,"2,568"
1.4m,"8,677"
734k,"3,225"
537k,"6,725"
2.6m,"9,896"
1.1m,"5,511"
1m,"8,325"
1.2m,"7,115"
216k,996
707k,"3,230"
2.6m,"5,731"
1.6m,15k
3.7m,"5,645"
522k,"8,327"
407k,10.1k
728k,"3,241"
850k,"2,989"
397k,"2,714"
728k,"3,241"
850k,"2,989"
397k,"2,714"
511k,"1,907"
294k,"3,072"
776k,"3,121"
998k,"2,657"
1.3m,"3,227"
843k,"3,532"
811k,"4,151"
2.9m,"3,862"
905k,"3,327"
808k,"3,871"
1.1m,"2,822"
787k,"2,899"
3m,"4,607"
1m,"4,979"
964k,"3,863"
1.4m,"2,664"
3.2m,11.3k
1.2m,11.8k
1.4m,"2,664"
3.2m,11.3k
1.2m,11.8k
990k,"8,761"
1.1m,"3,068"
7.4m,"9,654"
1.7m,"3,349"
626k,"1,192"
1.2m,"6,131"
1.7m,"6,256"
1.9m,"4,137"
381k,"2,241"
989k,"3,630"
2.8m,"4,538"
854k,"1,781"
2.5m,43.6k
1.6m,"2,604"
1.1m,"2,471"
1m,"7,504"
919k,"4,633"
2.2m,"6,970"
1m,"7,504"
919k,"4,633"
2.2m,"6,970"
368k,"1,427"
5.5m,"9,243"
8.3m,30.8k
1.1m,"7,583"
1m,"2,168"
632k,"1,721"
1.1m,"2,227"
1m,"4,508"
1.5m,"8,612"
3.3m,"4,495"
1m,"2,112"
1.1m,"3,232"
603k,"2,456"
174k,"1,226"
1m,"3,081"
588k,"2,354"
830k,"3,635"
964k,"2,922"
588k,"2,354"
830k,"3,635"
964k,"2,922"
1.1m,"5,569"
986k,"4,183"
1m,"2,518"
927k,"4,530"
1.8m,"4,142"
794k,"3,688"
1.1m,"4,980"
914k,"4,543"
1.1m,"2,982"
1.7m,"5,118"
893k,"7,334"
783k,"2,474"
2.6m,"7,537"
950k,"3,321"
3.8m,11.6k
574k,"5,046"
1.9m,"1,588"
2m,"2,636"
574k,"5,046"
1.9m,"1,588"
2m,"2,636"
1.2m,"3,481"
909k,"3,435"
822k,"3,290"
6.8m,"6,535"
973k,"7,765"
947k,"4,028"
2.7m,"7,812"
973k,"5,670"
2.7m,"4,897"
1m,11.8k
1.3m,"4,529"
1.5m,"4,274"
829k,"6,105"
1.4m,"6,352"
827k,"5,401"
753k,"4,108"
1.2m,"4,499"
778k,"4,910"
541k,"1,963"
1.1m,"5,342"
1m,"2,848"
541k,"1,963"
1.1m,"5,342"
1m,"2,848"
1.5m,"5,412"
844k,"3,479"
666k,"2,401"
1.5m,"8,332"
1.5m,"3,489"
305k,"1,677"
1.5m,"4,789"
1m,"5,601"
2.2m,"4,720"
604k,"1,958"
1m,26.3k
1m,"7,099"
1.1m,14.2k
797k,20k
652k,"2,460"
845k,"6,660"
702k,"4,298"
953k,"4,856"
845k,"6,660"
702k,"4,298"
953k,"4,856"
1m,"4,747"
1.1m,16.5k
614k,"1,467"
901k,"4,168"
1.5m,"2,737"
1.4m,"8,201"
210k,"1,701"
1.4m,"8,598"
840k,"3,733"
756k,"4,314"
1.8m,"3,560"
1.7m,"4,802"
4m,12.6k
834k,"3,907"
2.8m,"9,261"
1.2m,"9,162"
1m,"5,142"
1m,"3,915"
1.2m,"9,162"
1m,"5,142"
1m,"3,915"
743k,"3,740"
737k,"4,863"
801k,"4,471"
797k,"9,616"
578k,10.4k
812k,"5,825"
356k,"2,274"
794k,"4,129"
11.9m,78.9k
1m,"6,684"
776k,"3,941"
503k,18k
642k,"3,588"
935k,"4,575"
708k,"1,765"
660k,"3,906"
724k,"6,084"
882k,"4,227"
660k,"3,906"
724k,"6,084"
882k,"4,227"
839k,"3,586"
594k,"3,423"
3m,"4,092"
756k,"3,567"
785k,"6,368"
1m,"4,733"
2.7m,"9,342"
987k,"4,672"
1.7m,"3,567"
6.3m,35k
1.1m,"5,718"
6.8m,20.9k
1.2m,16.6k
838k,"2,370"
1.6m,"8,019"
3.8m,10.3k
1.2m,"5,061"
1.2m,28.6k
3.8m,10.3k
1.2m,"5,061"
1.2m,28.6k
1.3m,"7,130"
3.6m,"5,702"
4.2m,11.8k
999k,"9,410"
938k,"4,212"
906k,"7,767"
788k,"3,011"
1.4m,17.4k
1.2m,"3,771"
1.8m,"6,210"
3.2m,19.1k
996k,"5,141"
1.4m,"6,108"
1.8m,"4,076"
1.7m,16k
1m,11.1k
3.3m,10k
522k,"2,845"
1m,11.1k
3.3m,10k
522k,"2,845"
1.4m,"6,744"
859k,13.3k
2m,"3,348"
3.9m,"6,489"
1m,"5,027"
2.4m,"3,201"
5.4m,"6,498"
5.1m,"6,775"
3.3m,"6,821"
4m,10.5k
3.4m,"8,906"
848k,984
1.7m,14.8k
3.6m,"7,035"
1m,"2,646"
4.4m,14.1k
994k,"4,526"
1.4m,"1,449"
4.4m,14.1k
994k,"4,526"
1.4m,"1,449"
6.9m,11.4k
7.3m,13.5k
485k,"2,094"
1.6m,"5,506"
1.9m,"5,508"
3.1m,"5,743"
1m,"6,592"
1.2m,"4,051"
1.2m,"2,938"
1.2m,"7,987"
886k,"1,505"
692k,"1,771"
711k,"3,430"
5m,"6,835"
1m,"4,055"
578k,"4,392"
9.3m,23k
3.2m,"4,970"
685k,"5,192"
4.8m,13.9k
709k,"2,991"
685k,"5,192"
4.8m,13.9k
709k,"2,991"
596k,"4,942"
887k,"3,261"
7.9m,53.7k
1.4m,"5,869"
3.9m,14k
938k,"4,900"
1.7m,"9,122"
1m,"8,752"
4.4m,"5,582"
4.4m,"7,362"
759k,"3,803"
1.3m,"3,906"
1m,"1,738"
1.2m,"7,708"
2.9m,"5,026"
724k,"4,716"
4m,11.9k
2m,"2,647"
724k,"4,716"
4m,11.9k
2m,"2,647"
