likes,comments
43.4k,88
48.5k,379
64.2k,320
61.6k,360
50k,208
38.5k,174
87.9k,413
93k,479
22.8k,167
80.4k,391
82.5k,444
82.3k,"1,490"
42.8k,186
52.7k,408
29.3k,77
51.1k,157
67.3k,184
127k,"1,383"
181k,218
36.9k,107
56.6k,316
40.8k,85
58.4k,128
51.9k,138
53.5k,176
59.1k,397
63k,214
76.6k,366
85.6k,341
97.7k,80
76.6k,366
85.6k,341
97.7k,80
38.6k,146
51.5k,211
58.3k,378
45k,591
60.1k,176
65.3k,228
104k,799
49.9k,192
49.9k,277
60.3k,199
161k,197
57.3k,316
60.3k,199
161k,197
57.3k,316
57.1k,172
71k,256
68.8k,336
82.9k,519
102k,330
133k,466
144k,214
57k,324
57.8k,209
102k,94
85.1k,482
100k,159
50.5k,197
35.9k,107
61.5k,205
70.4k,274
50.8k,216
47.7k,150
70.4k,274
50.8k,216
47.7k,150
59.4k,292
67.3k,289
99.7k,513
62.8k,275
104k,481
68.1k,328
46.7k,128
53.9k,183
128k,737
73.7k,363
74.4k,301
54k,375
92.9k,298
62.9k,268
37.8k,422
49.1k,208
63.9k,288
108k,885
49.1k,208
63.9k,288
108k,885
71.2k,434
69.3k,263
830k,"2,296"
67k,350
123k,611
75k,406
35.5k,485
47k,207
79.4k,933
39k,122
57.1k,126
44.4k,227
60.7k,308
89.4k,541
1m,"5,667"
106k,691
92.1k,423
77.6k,525
106k,691
92.1k,423
77.6k,525
50.9k,191
129k,810
45.4k,156
47.2k,208
58.5k,249
77.7k,535
49.9k,181
64.5k,244
74.2k,223
48.4k,128
70.8k,610
136k,118
48.1k,203
54k,201
60.4k,240
124k,763
109k,615
74.1k,268
124k,763
109k,615
74.1k,268
100k,637
64.1k,307
393k,498
71.4k,290
46.6k,111
106k,479
88k,316
56.6k,272
63.4k,497
54.5k,251
94.3k,382
68.8k,326
73.6k,260
126k,806
68.1k,265
123k,"1,356"
48.7k,294
97.9k,654
123k,"1,356"
48.7k,294
97.9k,654
90.5k,564
135k,147
62.2k,186
73.8k,448
34.8k,158
39.6k,155
75k,277
104k,501
315k,270
126k,713
118k,580
68.9k,195
70.4k,745
254k,318
91.3k,366
38.8k,91
94.4k,397
57.3k,198
69k,533
46.8k,174
75.6k,449
69k,533
46.8k,174
75.6k,449
322k,461
74.3k,312
55.7k,173
67.8k,243
41.2k,176
82.3k,324
34.4k,97
92k,458
58.2k,238
57.7k,444
53.5k,309
67k,349
91.5k,757
37.3k,113
54.5k,222
59.8k,169
276k,290
50.1k,203
59.8k,169
276k,290
50.1k,203
455k,840
42k,112
91.7k,104
82.5k,458
64.8k,244
55.9k,926
47.4k,174
133k,"1,697"
64.2k,318
94.7k,472
68.5k,288
48.3k,158
50.5k,403
66.4k,265
72.1k,315
43.8k,139
149k,685
46.2k,164
43.8k,139
149k,685
46.2k,164
27.3k,76
61.1k,430
46.1k,158
56.2k,184
36.4k,171
43k,163
46.5k,158
70.2k,212
71.7k,467
97.2k,577
41.9k,191
119k,842
41.5k,265
73.6k,352
52.9k,195
75k,275
72.6k,517
65.6k,400
75k,275
72.6k,517
65.6k,400
216k,477
80.7k,530
135k,947
90.4k,627
88.3k,300
56.8k,251
54.5k,474
68.3k,539
95.1k,537
98.8k,698
63.2k,306
105k,"1,091"
129k,"1,038"
56.7k,334
115k,676
88.4k,847
69.1k,351
53.5k,202
88.4k,847
69.1k,351
53.5k,202
105k,"2,792"
39.2k,278
122k,630
94.3k,523
96.2k,902
87k,636
46.3k,126
98.6k,"1,781"
95k,606
61.8k,440
49.6k,143
42.9k,215
58.4k,460
92.5k,874
72.6k,289
31.8k,105
67.9k,413
187k,222
31.8k,105
67.9k,413
187k,222
616k,846
92.1k,856
70.5k,335
71.4k,"1,199"
55.3k,252
146k,"2,570"
39.8k,141
625k,"1,191"
105k,546
70.6k,251
130k,530
215k,"3,240"
158k,"6,360"
145k,"1,331"
224k,327
253k,159
40.4k,193
199k,397
253k,159
40.4k,193
199k,397
658k,"1,220"
252k,731
122k,"1,307"
44k,134
274k,265
53.7k,305
146k,"3,572"
52.5k,410
30.4k,138
65.5k,393
166k,523
51.4k,227
31.9k,134
121k,"1,309"
29.3k,114
128k,"2,088"
52.5k,297
64.2k,417
33.2k,226
66.4k,318
66.5k,788
33.2k,226
66.4k,318
66.5k,788
111k,577
94k,842
250k,267
260k,800
52k,190
68.6k,472
760k,"2,557"
124k,774
183k,279
72.8k,306
64.3k,259
106k,676
84.7k,526
417k,"1,339"
52.9k,279
34k,152
49.5k,171
46.9k,238
34k,152
49.5k,171
46.9k,238
49.2k,282
36.9k,174
54.1k,165
36k,222
76.3k,705
57.8k,290
73.7k,344
51.4k,730
271k,"1,239"
60.4k,440
45.9k,311
