likes,comments
294k,"3,229"
444k,"1,832"
820k,"4,213"
296k,"1,339"
701k,"4,546"
280k,"1,340"
302k,"1,288"
509k,"2,771"
124k,746
982k,"3,787"
239k,"1,462"
1.7m,"6,582"
342k,"1,322"
180k,"1,100"
270k,"1,406"
506k,"2,158"
775k,"5,341"
183k,"1,213"
672k,"2,759"
304k,"1,289"
576k,"3,951"
459k,"2,264"
297k,"2,284"
262k,"1,508"
433k,"2,080"
772k,"3,849"
303k,"2,433"
206k,"1,528"
157k,"1,652"
205k,"2,185"
206k,"1,528"
157k,"1,652"
205k,"2,185"
126k,"1,085"
134k,12.4k
136k,873
147k,"1,349"
203k,"1,662"
131k,"1,106"
147k,"1,349"
203k,"1,662"
131k,"1,106"
176k,"1,536"
315k,"3,755"
91k,976
127k,921
276k,"3,296"
140k,"1,100"
188k,"1,998"
178k,"1,168"
204k,"2,101"
189k,"1,786"
308k,"3,062"
179k,"1,864"
172k,"1,230"
153k,"1,150"
259k,"1,981"
225k,"2,013"
195k,"1,576"
210k,"1,690"
225k,"2,013"
195k,"1,576"
210k,"1,690"
180k,"1,182"
181k,"1,369"
199k,"1,987"
333k,"2,363"
2.4m,"2,630"
171k,"1,126"
268k,"2,105"
177k,"1,111"
157k,"1,285"
304k,"2,873"
148k,757
203k,"1,718"
202k,"1,502"
278k,405
129k,810
269k,"2,552"
281k,"1,824"
173k,977
269k,"2,552"
281k,"1,824"
173k,977
246k,"1,889"
224k,"1,855"
169k,898
211k,"1,173"
141k,"1,079"
278k,"1,804"
187k,"1,042"
431k,"3,327"
189k,"1,583"
250k,"2,244"
266k,"2,317"
232k,"1,791"
293k,"3,198"
261k,"2,911"
282k,"3,125"
113k,602
170k,"1,116"
241k,"1,935"
153k,"1,284"
241k,"2,105"
227k,"1,695"
153k,"1,284"
241k,"2,105"
227k,"1,695"
150k,700
279k,"2,504"
177k,"1,210"
1.1m,"1,692"
184k,"1,228"
126k,699
232k,"2,313"
117k,631
190k,"1,111"
246k,"2,143"
162k,960
144k,799
227k,"1,664"
144k,"1,298"
164k,"1,445"
190k,"1,314"
157k,"1,246"
137k,872
190k,"1,314"
157k,"1,246"
137k,872
146k,784
196k,"1,595"
186k,"1,018"
174k,900
162k,"1,086"
176k,"1,449"
120k,981
98.5k,721
155k,"1,243"
187k,"1,279"
158k,997
141k,715
208k,"1,382"
256k,"2,228"
140k,"1,039"
160k,"1,054"
199k,"1,319"
161k,"1,139"
160k,"1,054"
199k,"1,319"
161k,"1,139"
181k,"1,264"
138k,905
164k,"1,133"
141k,"1,177"
94.4k,620
120k,"1,184"
179k,"2,155"
168k,"1,084"
153k,"1,893"
113k,934
115k,"1,284"
195k,"1,693"
185k,"1,453"
164k,"1,529"
140k,"1,210"
131k,926
192k,"2,027"
166k,"1,768"
131k,926
192k,"2,027"
166k,"1,768"
146k,"6,118"
116k,855
156k,"1,475"
168k,"2,516"
117k,873
1.1m,"1,503"
821k,"1,482"
132k,"1,313"
91.7k,945
111k,"1,013"
80.8k,612
105k,814
108k,"1,141"
113k,"1,005"
103k,782
128k,"1,987"
125k,899
114k,766
128k,"1,987"
125k,899
114k,766
130k,"1,380"
113k,"1,041"
98.3k,802
437k,"3,637"
154k,"1,182"
99k,878
110k,"1,329"
100k,858
96.5k,"1,034"
97.8k,989
94.6k,871
170k,"2,537"
117k,"1,707"
88.7k,921
69.1k,951
82.8k,"1,364"
74.2k,821
77.4k,928
82.8k,"1,364"
74.2k,821
77.4k,928
136k,"2,011"
102k,"1,297"
67.2k,734
94.7k,799
128k,"1,941"
95.1k,"1,362"
98.7k,"1,421"
91.3k,"1,613"
95.8k,960
114k,878
129k,"1,227"
84.3k,"1,102"
60k,768
67.7k,"1,066"
105k,"1,732"
149k,"2,441"
71.9k,"1,307"
55.8k,913
149k,"2,441"
71.9k,"1,307"
55.8k,913
60k,914
101k,"1,886"
36.2k,825
38.4k,520
53.5k,584
57.3k,823
60.4k,854
28.3k,422
29.4k,555
47k,633
38.7k,565
29.5k,410
33.7k,495
41.1k,870
34.4k,935
32.3k,338
29.9k,585
27.9k,534
