likes,comments
,0
,0
,0
864k,"2,499"
1.1m,"3,965"
1.6m,"5,786"
1.4m,"3,738"
458k,"3,091"
1.6m,"3,669"
860k,"2,032"
1.3m,"3,893"
967k,"2,876"
1.1m,"3,142"
1.5m,"4,175"
3.2m,20.8k
1.7m,"7,554"
1.5m,"4,915"
1.1m,"4,512"
6.7m,53k
1.1m,"2,663"
1.3m,"3,801"
1.4m,"4,089"
1m,"3,282"
1.3m,"2,726"
782k,"2,725"
3.8m,"9,715"
1.4m,"6,284"
1m,"3,045"
1.4m,"6,273"
1.2m,"3,137"
892k,"4,870"
2.2m,"7,182"
1.1m,"2,915"
1.2m,"2,890"
1.3m,"3,692"
1.9m,"6,773"
1.2m,"2,890"
1.3m,"3,692"
1.9m,"6,773"
1.7m,"5,780"
2.2m,"8,799"
4.4m,54.2k
2.4m,15.5k
1.7m,"8,916"
2.3m,10.8k
1.9m,"4,710"
2.4m,10.9k
1.8m,"8,609"
1.2m,"4,767"
1.6m,"3,597"
2.7m,15.5k
1.9m,10.7k
1.3m,"4,780"
1.5m,"4,605"
1.2m,"3,846"
3.6m,25.5k
1.4m,"6,133"
1.2m,"3,846"
3.6m,25.5k
1.4m,"6,133"
1.4m,"2,838"
1.7m,"4,591"
1.6m,"7,845"
704k,"1,206"
2.2m,11.1k
878k,"3,188"
2.2m,15.2k
2.1m,11.6k
2m,11.6k
1.7m,"3,748"
1m,"2,895"
1.2m,"3,133"
1m,"2,799"
1.5m,"4,972"
1.5m,"7,506"
1.2m,"2,972"
1.2m,"4,341"
1.5m,"5,318"
1.2m,"2,972"
1.2m,"4,341"
1.5m,"5,318"
1m,"2,806"
1.5m,"1,866"
1.3m,"3,597"
1.2m,"5,090"
1.4m,"4,276"
1.2m,"2,334"
931k,"1,934"
2.1m,10.3k
1.1m,"4,311"
910k,"2,510"
1.4m,"4,034"
1.1m,"3,241"
691k,"1,393"
1.3m,"2,434"
1m,"2,784"
1.4m,"5,742"
1.2m,"3,792"
1.7m,"5,707"
1.4m,"5,742"
1.2m,"3,792"
1.7m,"5,707"
1.8m,"7,774"
1.9m,10k
2.7m,13.7k
1m,"3,753"
836k,"4,137"
1.3m,"6,856"
2.1m,10.3k
1.9m,"5,597"
1.5m,"5,093"
1.9m,"1,229"
4.5m,"7,772"
1.4m,"4,774"
1.9m,"8,240"
1.1m,"5,643"
1.5m,"8,259"
6.8m,"6,806"
1.7m,"7,456"
1.6m,"4,661"
866k,"3,364"
2m,"6,472"
3.6m,15.9k
866k,"3,364"
2m,"6,472"
3.6m,15.9k
2.6m,13.3k
1.8m,11.2k
2.4m,14.5k
1.9m,"7,512"
1.8m,"7,121"
1.4m,"4,197"
880k,"2,274"
1m,"1,687"
1.2m,"3,092"
1.5m,"5,745"
1.6m,"4,511"
1.9m,"9,089"
2.8m,"2,341"
1.3m,"3,513"
1m,"2,200"
2m,"6,305"
1.2m,"3,847"
2.9m,10.4k
2m,"6,305"
1.2m,"3,847"
2.9m,10.4k
3.7m,11.9k
1.6m,"2,762"
1.1m,"2,560"
2.1m,"4,779"
1.3m,"3,354"
1.1m,"3,868"
1.4m,"4,927"
1.1m,"2,853"
640k,988
2.2m,"6,523"
6.5m,"6,197"
1.5m,"4,618"
3m,16.3k
2m,"4,679"
1.8m,"5,360"
2.4m,"9,156"
1.6m,"5,913"
2.9m,11.7k
2.4m,"9,156"
1.6m,"5,913"
2.9m,11.7k
1.3m,"3,816"
1.7m,"3,537"
2m,"9,096"
1.2m,"3,180"
1m,"2,581"
1.7m,"3,550"
7.9m,"5,409"
1.8m,"6,897"
1.4m,"4,032"
1.2m,"3,534"
1.4m,"2,407"
2.3m,"6,243"
1m,"2,200"
1.9m,"7,636"
2m,"5,493"
2.4m,"6,818"
1.3m,"3,632"
1.9m,"6,433"
2.4m,"6,818"
1.3m,"3,632"
1.9m,"6,433"
1.1m,"3,030"
2.1m,"7,796"
1.5m,"5,609"
1.4m,"3,498"
1.1m,"2,397"
1.5m,"4,344"
684k,"1,251"
2m,"6,667"
1.5m,"5,148"
1.3m,"2,751"
1.7m,"5,647"
4.8m,"6,132"
1.5m,"6,225"
1.1m,"3,210"
1.2m,"3,932"
1.3m,"6,646"
1.8m,"5,730"
1.3m,"4,080"
1.3m,"6,646"
1.8m,"5,730"
1.3m,"4,080"
1.9m,10.5k
