likes,comments
2.1m,17.3k
1.8m,18.3k
4.6m,11k
2.4m,22.3k
1.6m,12.4k
1.7m,10.4k
2.2m,17.7k
2.2m,21.7k
1.8m,15.3k
1.4m,11.5k
2.1m,"5,364"
3.5m,11.4k
1.7m,14.5k
2.8m,"4,948"
2.7m,"4,162"
1.7m,"8,614"
3.4m,85.6k
4.7m,13.6k
1.2m,"7,016"
3.8m,"5,304"
2.6m,"3,224"
2.1m,21.5k
1.8m,12.7k
3.3m,32.5k
2.5m,21.8k
1.8m,14.7k
2.2m,"4,737"
320k,"1,984"
1.5m,"1,792"
5.4m,11k
320k,"1,984"
1.5m,"1,792"
5.4m,11k
1.2m,"6,413"
694k,"4,182"
1.8m,18.8k
5.2m,18k
680k,"3,709"
1.4m,11.9k
1.4m,"7,270"
724k,"3,707"
267k,"1,701"
1m,"1,681"
245k,"1,527"
1.2m,"6,411"
1m,"1,681"
245k,"1,527"
1.2m,"6,411"
1.7m,12.3k
8.7m,13.9k
766k,"6,903"
1.2m,"1,569"
1.9m,16k
1.2m,"9,848"
1.4m,"1,936"
2.1m,11.7k
1.7m,11.8k
1.5m,10.6k
3.7m,"8,226"
364k,"3,148"
653k,"3,139"
9.2m,16.7k
1.4m,11.9k
8.1m,18.8k
2m,"7,920"
4.3m,"9,694"
8.1m,18.8k
2m,"7,920"
4.3m,"9,694"
4.4m,"7,077"
955k,"4,864"
1.6m,10.4k
1.8m,"6,916"
352k,"1,967"
1.4m,"7,590"
1.5m,"7,509"
2.3m,"2,411"
1.2m,"6,201"
2.9m,10.6k
6.1m,"4,487"
822k,"3,625"
1.2m,"6,318"
1.6m,"8,074"
2.3m,"2,780"
5.4m,"5,504"
1.6m,"1,875"
1.2m,"6,506"
5.4m,"5,504"
1.6m,"1,875"
1.2m,"6,506"
919k,"4,143"
1.4m,"8,685"
1.2m,"4,333"
1m,"2,638"
1.3m,"6,435"
1.6m,"9,125"
1.3m,"5,804"
1.2m,"4,536"
1.2m,"1,683"
758k,"3,606"
1.4m,"6,473"
4.7m,"4,498"
8m,"7,027"
1.4m,"4,928"
2.5m,"2,554"
1.1m,"5,703"
1m,10k
1.2m,"5,245"
1.1m,"5,703"
1m,10k
1.2m,"5,245"
1.1m,"1,850"
1.2m,"9,926"
1.2m,10k
799k,"3,222"
1.6m,"2,569"
1.1m,"3,081"
1.3m,"9,961"
1.2m,10k
1.1m,"1,120"
1.3m,"1,284"
1.4m,"5,253"
1.4m,11.7k
572k,"1,662"
1m,"9,952"
1m,"3,906"
1.6m,10k
1.7m,"6,073"
2.2m,15.4k
1.6m,10k
1.7m,"6,073"
2.2m,15.4k
1.4m,"6,402"
1.9m,14.4k
2.7m,"4,482"
1.7m,"1,715"
1.3m,"7,144"
851k,"5,226"
382k,"1,216"
1.8m,"1,472"
683k,"2,146"
198k,"1,078"
1.2m,10.3k
844k,"2,682"
1.3m,10.3k
623k,"2,096"
1.2m,"8,259"
1.3m,10.1k
428k,"1,423"
1.6m,11.9k
1.3m,10.1k
428k,"1,423"
1.6m,11.9k
1.4m,10.1k
1.1m,"5,035"
737k,"2,391"
273k,"1,146"
1.5m,"6,379"
755k,"2,424"
1.3m,10.4k
2.1m,"3,807"
3.4m,"3,468"
1.6m,"8,140"
1m,"2,970"
1.2m,"3,024"
1.1m,"5,072"
1.3m,"6,798"
789k,"3,334"
990k,"4,720"
770k,"3,511"
949k,"4,843"
584k,"2,648"
1.5m,"9,471"
967k,"4,482"
584k,"2,648"
1.5m,"9,471"
967k,"4,482"
951k,"4,114"
2m,"2,482"
527k,"1,738"
483k,"1,988"
1.2m,"5,777"
225k,"1,014"
963k,"5,080"
1.3m,"1,191"
1.2m,"4,408"
570k,"1,811"
1.2m,"6,804"
1.9m,"3,715"
1.6m,"2,519"
172k,"1,010"
2.8m,"3,203"
1.9m,"2,535"
1m,"5,130"
701k,"3,466"
1.9m,"2,535"
1m,"5,130"
701k,"3,466"
790k,"3,796"
910k,"3,442"
338k,"1,129"
760k,"2,601"
247k,"1,268"
613k,"2,646"
275k,"1,337"
524k,"2,628"
1.4m,"3,677"
1m,"4,349"
730k,"2,787"
347k,"2,031"
620k,"2,695"
1.5m,"3,702"
1.1m,"1,611"
518k,"2,568"
1.1m,"5,063"
890k,"4,207"
518k,"2,568"
1.1m,"5,063"
890k,"4,207"
1.1m,"5,192"
1.2m,"5,466"
1.2m,"7,846"
1.6m,"2,207"
1.4m,10.8k
2.7m,"5,514"
1.1m,"4,935"
1.1m,"5,073"
1.5m,"8,170"
920k,"3,986"
1.4m,"9,839"
1m,"5,392"
1.1m,"6,367"
2.1m,"3,971"
1.2m,"8,354"
1.4m,"9,370"
1.2m,"3,109"
1.7m,12.7k
1.4m,"9,370"
1.2m,"3,109"
1.7m,12.7k
1m,"6,843"
1.3m,"7,867"
489k,"1,164"
991k,"6,018"
1.4m,"9,274"
1m,"6,598"
,0
1.1m,"2,486"
1.1m,"6,056"
1.4m,"9,816"
1.5m,10.3k
683k,"3,711"
1.2m,"8,152"
1.3m,"9,303"
831k,"3,412"
1.6m,"2,873"
695k,"5,960"
1.3m,"3,849"
1.6m,"2,873"
695k,"5,960"
1.3m,"3,849"
1.6m,10.3k
1.5m,"9,002"
890k,"2,972"
1m,"4,926"
1.9m,12.5k
1.3m,"8,842"
3.1m,"2,633"
1.8m,12.7k
1.5m,16.6k
2m,32.3k
1.7m,12.7k
1.3m,"8,304"
1.2m,"8,238"
2.2m,"4,790"
1.5m,10k
2m,15.4k
808k,"3,289"
2.3m,"2,092"
2m,15.4k
808k,"3,289"
2.3m,"2,092"
885k,"3,366"
1m,"3,303"
1.2m,"4,989"
1.1m,"4,488"
1.2m,"5,687"
430k,"3,285"
3m,"3,793"
997k,"5,882"
817k,"3,949"
3.4m,"4,028"
897k,"3,469"
527k,"2,595"
575k,"4,431"
644k,"3,067"
1.1m,"7,714"
1.5m,"3,015"
979k,"7,660"
601k,"3,434"
1.5m,"3,015"
979k,"7,660"
601k,"3,434"
1.4m,10.9k
406k,"1,912"
838k,"5,116"
1.1m,"4,382"
898k,"5,379"
1.1m,"6,598"
5m,"4,183"
877k,"5,448"
1m,"5,316"
744k,"4,426"
1m,"5,788"
913k,"5,129"
939k,"5,137"
1.6m,"1,550"
928k,"6,930"
911k,"7,024"
821k,"2,772"
1.1m,"7,848"
1.8m,"1,942"
2.9m,"3,490"
807k,"3,763"
1.8m,"1,942"
2.9m,"3,490"
807k,"3,763"
1m,"6,150"
1.3m,"1,385"
658k,"2,315"
1.5m,12.9k
412k,"1,075"
1m,"6,974"
1.4m,"8,359"
801k,"5,150"
1m,"6,503"
1m,"3,767"
815k,"5,067"
957k,"6,927"
2m,"3,355"
916k,"5,454"
1m,"4,617"
992k,"5,254"
2m,"4,554"
2.9m,"4,458"
992k,"5,254"
2m,"4,554"
2.9m,"4,458"
842k,"4,625"
444k,"2,254"
977k,"5,950"
528k,"1,763"
645k,"2,304"
1.3m,"6,379"
1m,"7,768"
2.5m,"5,077"
512k,"2,160"
2.2m,"2,148"
1.3m,"7,890"
503k,"2,576"
1.2m,"5,277"
1.3m,"2,013"
541k,"2,696"
588k,"3,011"
723k,"3,948"
488k,"2,414"
588k,"3,011"
723k,"3,948"
488k,"2,414"
945k,"5,342"
976k,"7,275"
1.2m,"8,435"
1.4m,"8,670"
1.2m,"7,347"
1.5m,"9,532"
1.5m,10.9k
1.2m,"6,705"
804k,"2,350"
5.6m,"8,487"
384k,"1,481"
1.1m,11.4k
1m,"5,705"
711k,"2,479"
2.3m,"1,756"
573k,"2,318"
1.1m,10.1k
1.5m,"9,299"
573k,"2,318"
1.1m,10.1k
1.5m,"9,299"
1.5m,"2,808"
1.1m,"5,567"
1.1m,"5,402"
724k,"2,176"
821k,"4,498"
748k,"3,263"
535k,"2,239"
743k,"3,209"
1m,"6,962"
1.9m,"3,388"
942k,"6,913"
1m,"8,852"
281k,"1,251"
1.1m,"7,494"
1.1m,"8,553"
1.1m,"8,586"
1.2m,"2,154"
1.8m,16.1k
1.1m,"8,586"
1.2m,"2,154"
1.8m,16.1k
1.1m,"4,012"
1.4m,11.4k
1.1m,"1,136"
1m,"6,965"
1m,"9,740"
345k,"1,700"
1.4m,"9,367"
1.1m,"7,281"
1.6m,11.7k
2.3m,"4,851"
1m,"3,925"
1.3m,"4,678"
463k,"2,893"
537k,"3,041"
6.5m,"9,302"
793k,"3,054"
1.2m,"4,554"
757k,"2,271"
793k,"3,054"
1.2m,"4,554"
757k,"2,271"
303k,"1,680"
1.2m,"5,663"
1.2m,"6,818"
3.7m,"3,409"
838k,"2,846"
1.3m,"7,731"
1.3m,"8,470"
1.1m,"6,777"
854k,"6,117"
1m,"3,181"
994k,"3,966"
1m,"3,927"
5.6m,"5,169"
676k,"3,850"
2.7m,"3,452"
1.3m,"1,489"
1.2m,"7,361"
4.5m,"1,829"
1.3m,"1,489"
1.2m,"7,361"
4.5m,"1,829"
2.1m,"4,313"
1m,"5,929"
621k,"3,301"
3.3m,"3,377"
1.8m,"2,265"
1.3m,"7,144"
404k,"1,667"
672k,"3,394"
590k,"2,491"
533k,"2,287"
920k,"5,823"
1.4m,"1,672"
602k,"3,317"
646k,"2,529"
981k,"6,840"
1m,"4,244"
1.2m,"1,878"
498k,"2,013"
1m,"4,244"
1.2m,"1,878"
498k,"2,013"
870k,"3,593"
846k,"3,396"
555k,"2,177"
1.1m,"6,185"
4.6m,"5,928"
4m,"5,581"
980k,"4,761"
1.5m,"6,749"
428k,"1,834"
837k,"4,221"
1.1m,"6,030"
1m,"5,402"
5.5m,"9,450"
431k,"2,540"
281k,"1,577"
1m,"5,864"
613k,"2,575"
658k,"2,821"
832k,"3,088"
548k,"1,178"
559k,"1,708"
832k,"3,088"
548k,"1,178"
559k,"1,708"
641k,"3,926"
8.2m,"6,525"
1.2m,10.1k
699k,"2,448"
645k,"3,295"
1.3m,"1,927"
611k,"2,202"
1.1m,"7,457"
1m,"6,009"
3.2m,"6,095"
730k,"4,479"
1.4m,"1,520"
1.2m,"1,887"
661k,"2,368"
571k,"2,337"
412k,"7,831"
832k,"4,642"
803k,"4,783"
412k,"7,831"
832k,"4,642"
803k,"4,783"
802k,"4,984"
963k,"4,034"
414k,"1,371"
1.3m,"2,197"
1.3m,"2,688"
991k,"6,628"
1.1m,"5,352"
1m,"6,967"
1.2m,11k
813k,"5,232"
787k,"5,710"
1m,"5,687"
979k,"4,958"
,0
1m,"7,121"
784k,"5,840"
759k,"3,790"
687k,"3,450"
784k,"5,840"
759k,"3,790"
687k,"3,450"
1.2m,"8,526"
1.8m,19.8k
1.6m,40.2k
766k,"5,197"
1.1m,"6,870"
941k,"4,694"
610k,"2,624"
477k,"2,758"
1.6m,"1,547"
1m,"6,890"
645k,"3,228"
1.1m,"8,267"
4.6m,"8,769"
1.2m,"8,281"
2.5m,"3,353"
814k,"4,668"
821k,"3,743"
850k,"3,253"
814k,"4,668"
821k,"3,743"
850k,"3,253"
724k,"3,250"
1.3m,10.8k
1m,"6,183"
914k,"5,201"
665k,"3,610"
1.1m,"9,992"
1.4m,"1,356"
1.1m,"6,681"
910k,"1,354"
,0
1.4m,"1,356"
,0
855k,"4,695"
397k,"1,699"
1m,"1,002"
5.4m,"3,847"
997k,"1,909"
606k,"3,540"
5.4m,"3,847"
997k,"1,909"
606k,"3,540"
840k,"7,464"
621k,"2,966"
3.9m,"5,628"
,0
786k,"2,903"
522k,"1,801"
896k,"4,420"
904k,"4,649"
1m,"2,855"
1.1m,"8,157"
603k,"2,876"
710k,"4,698"
3.6m,"2,312"
809k,979
1.6m,"1,467"
629k,"3,790"
594k,"3,933"
900k,"4,767"
629k,"3,790"
594k,"3,933"
900k,"4,767"
793k,"4,659"
1.2m,"1,881"
837k,"4,720"
943k,"5,151"
1.5m,"3,145"
819k,"6,110"
645k,"4,717"
851k,"6,005"
1.7m,"2,167"
839k,"4,324"
652k,"3,857"
1.4m,"3,522"
4.5m,"3,095"
578k,"2,330"
1.3m,"2,363"
996k,"7,635"
596k,"4,137"
