likes,comments
898k,"5,155"
766k,"2,776"
2.1m,16.4k
989k,"5,068"
759k,"6,226"
187k,"1,929"
782k,"1,069"
151k,"1,062"
192k,"1,364"
136k,827
645k,"1,701"
3m,"5,646"
170k,"1,718"
627k,"1,719"
6.2m,"7,287"
155k,0
631k,"5,375"
2m,"9,704"
872k,"2,889"
723k,"5,283"
566k,790
149k,0
151k,"1,377"
1m,"3,323"
929k,"4,921"
2.4m,15.6k
152k,0
1.1m,"2,258"
597k,"1,311"
1m,0
1.1m,"2,258"
597k,"1,311"
1m,0
143k,0
916k,"2,130"
137k,0
110k,0
163k,0
1.6m,15.8k
376k,"3,855"
562k,"3,580"
1.5m,"2,056"
2.6m,15.9k
1.6m,"3,287"
871k,"3,698"
2.6m,15.9k
1.6m,"3,287"
871k,"3,698"
349k,"2,238"
510k,"1,330"
158k,"1,167"
685k,"1,202"
958k,"2,289"
993k,"1,315"
2.2m,"3,453"
888k,"1,201"
5.7m,10.1k
2.1m,"2,966"
960k,"1,473"
2.1m,"5,165"
2.4m,"7,806"
1.4m,"7,623"
513k,"2,081"
2.9m,"3,289"
5.6m,80.2k
3.1m,"3,270"
2.9m,"3,289"
5.6m,80.2k
3.1m,"3,270"
689k,"2,069"
860k,"1,641"
1.4m,"3,117"
1.3m,14.8k
3.3m,"6,530"
3.2m,"5,336"
1.7m,"1,189"
1.1m,"1,660"
274k,"2,022"
563k,"2,068"
2.5m,"3,605"
335k,"2,711"
1.6m,"2,930"
2.4m,"2,243"
3.3m,"4,119"
362k,"3,264"
1.3m,10.6k
1.7m,"3,696"
362k,"3,264"
1.3m,10.6k
1.7m,"3,696"
2.9m,"5,723"
1.2m,"8,094"
703k,"4,685"
215k,"1,397"
1.9m,"4,136"
2.9m,17.5k
450k,"4,674"
1.5m,"9,705"
536k,"4,215"
288k,"1,553"
371k,"4,859"
1.1m,"7,646"
1.1m,"8,561"
161k,"2,740"
340k,"3,559"
1.3m,"9,332"
2.1m,"2,668"
1.1m,"8,300"
1.3m,"9,332"
2.1m,"2,668"
1.1m,"8,300"
323k,"2,711"
2.1m,"2,092"
7.7m,"5,895"
648k,"4,882"
4.6m,27.9k
6.6m,"9,275"
1m,"4,030"
3m,"6,603"
1.3m,"2,067"
2.2m,"4,847"
4.1m,"6,001"
621k,"5,566"
314k,"2,166"
1.8m,"7,883"
1.1m,19k
734k,"4,825"
268k,"2,555"
1.3m,"2,085"
734k,"4,825"
268k,"2,555"
1.3m,"2,085"
3.3m,"4,728"
1m,"4,174"
746k,"2,678"
2.4m,"2,950"
4.4m,11.8k
968k,"3,334"
304k,"2,827"
2m,"6,400"
2.2m,"2,543"
907k,"1,811"
2.1m,"4,660"
2.5m,15.1k
973k,"2,613"
159k,"1,765"
688k,"6,835"
1.7m,14k
662k,"3,947"
193k,"2,243"
1.7m,14k
662k,"3,947"
193k,"2,243"
578k,"5,689"
1.2m,"3,204"
1.9m,"3,013"
718k,"2,361"
1.2m,"3,188"
2.5m,15.6k
1.7m,"3,910"
902k,"2,002"
933k,"3,279"
1.4m,"2,704"
838k,"2,972"
847k,"2,288"
2.5m,"5,725"
1m,"8,888"
936k,"6,271"
1.2m,"4,980"
835k,"5,415"
1.4m,"2,021"
3.4m,"5,883"
995k,"5,804"
2.1m,"9,857"
3.4m,"5,883"
995k,"5,804"
2.1m,"9,857"
2.9m,"6,643"
978k,"2,860"
4.5m,14.6k
4m,25.5k
803k,"1,520"
1m,"7,901"
1.3m,"1,566"
695k,"6,653"
1.2m,"8,565"
621k,"4,805"
10.2m,16.8k
1.2m,"5,330"
1.9m,"9,208"
910k,"2,128"
233k,"2,058"
196k,"2,325"
858k,20.9k
256k,"2,673"
196k,"2,325"
858k,20.9k
256k,"2,673"
323k,"2,505"
188k,"1,517"
1.1m,"6,885"
827k,"4,300"
5.3m,"7,863"
1m,"5,630"
697k,"4,471"
3.9m,"5,799"
470k,"3,725"
2.3m,14.7k
1.7m,17.7k
564k,"5,565"
271k,"2,508"
3m,19.7k
178k,"1,864"
448k,"2,627"
5.5m,"2,412"
4.3m,"2,393"
448k,"2,627"
5.5m,"2,412"
4.3m,"2,393"
3.8m,63.4k
3m,"2,065"
1.5m,"8,366"
2m,14.3k
4.6m,"4,108"
1.4m,"1,251"
275k,"1,864"
993k,"3,358"
859k,"4,334"
1.7m,10k
520k,"2,472"
2.7m,"1,659"
5.5m,"2,691"
1.2m,"5,505"
2.2m,"3,206"
1.4m,"3,986"
1.1m,"4,616"
2.6m,34.4k
1.4m,"3,986"
1.1m,"4,616"
2.6m,34.4k
298k,"1,168"
2.5m,"1,211"
2.6m,13k
3.1m,"1,302"
21.4m,38.5k
917k,"4,669"
11.5m,17k
656k,"2,842"
8.2m,"2,120"
2.2m,865
151k,"1,665"
201k,"1,387"
934k,"3,859"
4.6m,"2,148"
2.3m,23k
2.1m,"1,045"
2.3m,"1,161"
963k,"8,966"
2.1m,"1,045"
2.3m,"1,161"
963k,"8,966"
1.4m,"9,076"
2m,"1,001"
2.1m,"7,797"
2.4m,"1,579"
453k,"2,560"
451k,"1,504"
470k,"2,574"
4.4m,17.2k
1m,725
177k,"1,301"
1.5m,"1,293"
246k,"1,089"
743k,"3,710"
1.2m,"9,450"
902k,"3,262"
550k,"3,197"
657k,"2,845"
132k,"1,374"
550k,"3,197"
657k,"2,845"
132k,"1,374"
228k,"1,588"
593k,"2,220"
1m,"5,661"
3m,"4,559"
640k,"1,840"
354k,"1,853"
401k,"2,248"
260k,"1,176"
587k,"2,891"
362k,"1,522"
407k,"1,829"
423k,"1,840"
763k,"4,434"
596k,"2,890"
690k,"3,266"
511k,"2,174"
3.1m,"3,231"
168k,827
511k,"2,174"
3.1m,"3,231"
168k,827
1m,"1,016"
3.7m,"3,037"
701k,"4,210"
1.3m,"3,828"
640k,"4,197"
576k,"4,206"
466k,"2,780"
234k,990
1m,"6,519"
558k,"2,195"
825k,"5,412"
213k,"1,261"
129k,667
327k,321
455k,428
241k,330
310k,374
650k,"3,265"
532k,"2,650"
418k,903
602k,"2,942"
532k,"2,650"
418k,903
602k,"2,942"
216k,"3,061"
403k,"1,670"
3.4m,"4,773"
523k,"8,007"
168k,"1,061"
649k,"3,984"
531k,"3,441"
1.5m,"2,557"
795k,"5,071"
2.4m,"3,540"
614k,"3,626"
2.7m,"5,755"
519k,"2,444"
689k,924
598k,"2,451"
635k,"1,549"
796k,"1,036"
1.4m,"3,203"
635k,"1,549"
796k,"1,036"
1.4m,"3,203"
