likes,comments
201k,244
114k,124
199k,"1,680"
85.1k,498
104k,594
39.2k,104
69.3k,508
380k,"1,100"
171k,"1,206"
152k,0
148k,325
137k,149
88.2k,435
139k,966
173k,"1,444"
156k,"1,281"
176k,"1,575"
152k,"1,120"
128k,767
155k,"1,108"
163k,"1,326"
448k,"2,234"
217k,"1,687"
220k,"1,789"
149k,907
191k,"1,282"
153k,737
193k,"1,372"
182k,"1,135"
565k,215
193k,"1,372"
182k,"1,135"
565k,215
60.7k,214
158k,975
1m,588
506k,251
181k,986
88.6k,498
1.2m,832
25.6k,79
40.8k,101
166k,"1,108"
126k,744
51.2k,0
166k,"1,108"
126k,744
51.2k,0
168k,"1,149"
93.5k,514
100k,478
660k,777
164k,"1,372"
139k,910
553k,698
43.2k,144
60.7k,166
51.2k,206
84.5k,241
164k,"1,081"
558k,700
568k,778
96.6k,328
139k,704
142k,"1,114"
117k,463
139k,704
142k,"1,114"
117k,463
175k,954
143k,924
109k,"1,537"
56.4k,227
157k,"1,245"
171k,"2,071"
375k,621
178k,"1,551"
68.3k,154
108k,725
153k,"1,833"
110k,"1,068"
150k,"1,968"
106k,739
148k,"1,815"
149k,"2,870"
174k,"2,113"
168k,"2,247"
116k,"1,016"
119k,801
191k,"2,557"
116k,"1,016"
119k,801
191k,"2,557"
91.2k,670
128k,980
125k,"1,358"
277k,546
113k,561
83.3k,586
92.5k,710
122k,"1,089"
128k,"1,225"
64.1k,281
58.8k,396
139k,"1,602"
115k,"1,305"
147k,"2,054"
69.6k,832
51.5k,278
174k,"2,262"
115k,"1,158"
51.5k,278
174k,"2,262"
115k,"1,158"
103k,726
133k,"1,350"
79.2k,362
169k,"1,773"
52.4k,231
114k,"1,111"
145k,"1,645"
109k,"1,117"
190k,"2,861"
162k,"1,397"
142k,"1,633"
150k,"1,692"
109k,"1,017"
111k,871
119k,"1,445"
63.5k,170
138k,"1,506"
116k,"1,001"
63.5k,170
138k,"1,506"
116k,"1,001"
95.7k,678
115k,"1,449"
114k,"1,097"
776k,730
178k,"2,847"
151k,"1,608"
54.7k,253
121k,"1,355"
110k,"1,558"
109k,"1,215"
53.6k,569
107k,"1,168"
94.9k,971
71.2k,423
1.2m,672
92.2k,880
74.7k,629
113k,997
92.2k,880
74.7k,629
113k,997
30.2k,236
68.6k,511
82.7k,"1,043"
112k,"1,628"
112k,"1,777"
59.1k,659
109k,"1,660"
514k,593
60.2k,556
581k,643
62.2k,314
82.2k,950
96.9k,"1,660"
39.9k,397
451k,446
86.6k,"1,072"
54.5k,757
58.4k,638
86.6k,"1,072"
54.5k,757
58.4k,638
127k,"1,824"
1m,"1,050"
68.4k,865
79.8k,959
38.1k,282
52.4k,490
77.9k,656
75.8k,750
47.3k,423
125k,"1,960"
514k,670
70.9k,698
81k,901
37.4k,176
640k,348
44.7k,603
95.4k,"1,373"
48.9k,354
44.7k,603
95.4k,"1,373"
48.9k,354
59.5k,560
492k,502
41.4k,361
164k,584
33k,189
63.4k,700
48.1k,480
37.1k,376
64.4k,728
125k,"2,340"
51.4k,497
63.6k,646
72.8k,974
27.8k,211
62.1k,720
69.8k,648
99.4k,"1,395"
52.7k,557
69.8k,648
99.4k,"1,395"
52.7k,557
88.4k,"1,147"
60k,626
86.2k,"1,003"
569k,707
94.4k,"1,278"
47.9k,270
278k,0
49.1k,386
68.4k,691
66.1k,643
91.3k,"1,269"
56.5k,516
84.7k,938
50.2k,532
128k,268
40.6k,422
168k,197
83.5k,990
40.6k,422
168k,197
83.5k,990
755k,"1,485"
324k,763
34.9k,254
61.8k,578
179k,274
628k,"1,115"
46.8k,572
44.5k,506
63k,543
218k,275
69.5k,807
32.3k,171
291k,549
44.1k,535
32.2k,258
33.4k,142
195k,692
39.1k,427
44.3k,497
49.9k,701
39.8k,552
44.3k,497
49.9k,701
39.8k,552
40.9k,460
51.1k,852
37.1k,478
50k,715
53.8k,966
634k,652
35.8k,334
54.2k,"1,114"
46.1k,384
51.3k,662
59.9k,975
46.7k,538
51.3k,662
59.9k,975
46.7k,538
51.3k,662
59.9k,975
46.7k,538
51.3k,662
59.9k,975
46.7k,538
664k,671
40.2k,706
462k,400
441k,412
51.3k,"1,194"
43.7k,744
32.7k,442
18.3k,119
38.8k,634
33.9k,373
37.1k,292
40.7k,404
22.4k,223
811k,"1,583"
26.4k,332
35.6k,447
27.4k,283
17.6k,133
35.6k,447
27.4k,283
17.6k,133
30.8k,285
34.7k,627
24.2k,204
29.7k,336
31.9k,450
23.5k,257
15.7k,60
22.3k,201
25.4k,328
22k,177
14.4k,100
22.2k,284
21.4k,213
16.6k,171
22.2k,360
18.8k,121
19.8k,164
18k,167
18.8k,121
19.8k,164
18k,167
