likes,comments
177k,656
778k,"2,766"
187k,"1,775"
447k,"5,773"
375k,"1,258"
1m,"2,152"
363k,"1,396"
844k,713
147k,"2,417"
570k,"1,370"
250k,"1,607"
598k,"5,336"
870k,"6,267"
2.6m,"6,639"
1.1m,"3,793"
263k,"1,030"
2m,"2,069"
572k,"1,475"
575k,"1,289"
237k,888
233k,802
440k,"1,495"
2.3m,"5,444"
1.3m,"1,474"
215k,686
208k,"1,547"
380k,"1,126"
702k,464
1.7m,886
802k,"9,458"
212k,457
369k,"4,131"
931k,"1,843"
212k,457
369k,"4,131"
931k,"1,843"
7.7m,12.8k
383k,"5,863"
642k,"1,685"
192k,565
392k,"2,099"
328k,"1,176"
704k,"1,344"
2.5m,"1,882"
413k,"1,101"
418k,"1,512"
339k,"1,446"
12.7m,60.3k
765k,"2,909"
1m,"7,518"
272k,820
285k,"1,112"
651k,"9,094"
174k,"1,367"
285k,"1,112"
651k,"9,094"
174k,"1,367"
317k,"1,127"
449k,"2,377"
96.6k,628
145k,435
151k,527
379k,129
1.4m,11.2k
587k,539
94.4k,472
579k,424
308k,"1,234"
537k,421
353k,311
482k,"2,259"
535k,422
605k,"2,031"
229k,"2,045"
310k,"1,587"
605k,"2,031"
229k,"2,045"
310k,"1,587"
2.3m,24.6k
638k,344
938k,523
447k,387
332k,"2,667"
248k,860
347k,"1,320"
131k,597
541k,"2,136"
351k,"1,452"
88.2k,366
308k,"1,711"
152k,787
536k,552
374k,"3,451"
276k,"1,304"
183k,840
672k,"2,173"
276k,"1,304"
183k,840
672k,"2,173"
1.3m,10.9k
495k,"2,660"
603k,"4,182"
491k,"2,487"
5.3m,"7,825"
339k,"7,995"
489k,"1,662"
715k,"2,397"
1.2m,"5,701"
3.2m,"5,987"
940k,"3,302"
1.9m,"7,611"
1.3m,"6,671"
491k,"6,205"
1m,"4,452"
679k,"1,937"
590k,"2,965"
546k,"4,986"
183k,"1,052"
207k,"1,252"
383k,"1,621"
183k,"1,052"
207k,"1,252"
383k,"1,621"
533k,"2,514"
4.1m,"4,300"
276k,"1,109"
751k,"3,011"
990k,"3,430"
286k,"1,014"
648k,"2,761"
314k,"1,117"
597k,369
264k,990
832k,"4,752"
797k,"1,031"
807k,"2,045"
750k,749
573k,"2,307"
3.3m,"5,876"
807k,"1,070"
203k,"1,394"
3.3m,"5,876"
807k,"1,070"
203k,"1,394"
2m,11.2k
279k,"1,290"
432k,"1,756"
196k,818
384k,"1,731"
252k,872
97.1k,456
486k,"2,233"
664k,"2,746"
2.4m,673
224k,805
413k,"1,714"
496k,"1,841"
4.1m,17.7k
4m,21.9k
587k,"2,225"
1.3m,38k
439k,"2,200"
587k,"2,225"
1.3m,38k
439k,"2,200"
803k,"2,766"
338k,"1,993"
463k,445
187k,880
548k,"3,702"
1m,"5,370"
576k,"2,583"
285k,"1,139"
692k,"9,767"
324k,"1,635"
1.1m,"4,269"
545k,"2,984"
719k,"4,069"
386k,"1,817"
1.1m,639
1.4m,13k
2.8m,"4,633"
408k,"2,442"
1.4m,13k
2.8m,"4,633"
408k,"2,442"
207k,600
2m,"2,819"
236k,919
1.1m,"4,066"
656k,526
158k,679
487k,"2,324"
359k,"1,599"
476k,"1,844"
703k,"2,669"
752k,663
419k,"1,540"
2.8m,11.2k
1.1m,29.2k
1.9m,34.3k
675k,"4,115"
1.2m,"5,005"
708k,"2,492"
675k,"4,115"
1.2m,"5,005"
708k,"2,492"
3.6m,"3,470"
3.3m,"4,436"
384k,"2,102"
1.9m,"3,638"
512k,"2,341"
620k,"1,029"
543k,"5,800"
962k,"1,089"
901k,"1,065"
1.1m,"1,658"
489k,"1,360"
632k,"2,158"
1m,"1,453"
646k,939
855k,718
286k,"1,676"
527k,"6,770"
3.2m,40.7k
286k,"1,676"
527k,"6,770"
3.2m,40.7k
287k,"1,068"
111k,927
578k,"2,566"
714k,"3,744"
777k,"2,581"
369k,"1,598"
975k,"1,092"
1m,"2,487"
316k,"2,444"
1.5m,"2,819"
614k,"3,769"
902k,"7,109"
973k,"3,599"
574k,"1,406"
1.8m,11.2k
1.2m,18k
2.5m,"9,679"
4.8m,17.7k
1.2m,18k
2.5m,"9,679"
4.8m,17.7k
690k,"2,417"
1.2m,938
715k,"3,999"
1m,"1,445"
1m,"1,774"
3.7m,"6,471"
397k,"1,886"
713k,"2,679"
1m,744
504k,"5,101"
809k,868
252k,"1,671"
1.5m,"5,215"
1m,"1,083"
121k,"1,717"
390k,"2,762"
319k,"1,099"
542k,"2,462"
390k,"2,762"
319k,"1,099"
542k,"2,462"
140k,491
1.6m,"4,306"
704k,"1,446"
360k,874
628k,"1,154"
1m,"1,699"
851k,"6,614"
482k,"1,010"
422k,864
1.7m,"3,884"
326k,660
662k,"1,106"
462k,819
758k,"3,520"
