likes,comments
1.3m,"6,026"
603k,797
2.2m,"3,620"
1.8m,"6,321"
1.1m,826
1.3m,"1,652"
730k,"1,232"
1.9m,"2,886"
1m,"1,322"
2.1m,"2,332"
1.4m,"2,189"
746k,803
1m,"1,931"
1.5m,"2,163"
1.2m,695
564k,"1,748"
2.2m,13.8k
1.8m,"2,130"
1.5m,"2,768"
746k,"1,246"
1.6m,"5,555"
651k,"2,201"
597k,"1,735"
598k,"1,358"
1m,"1,810"
1.5m,"6,826"
1.3m,"2,742"
2.8m,"9,892"
897k,"1,345"
1.8m,445
2.8m,"9,892"
897k,"1,345"
1.8m,445
798k,"1,441"
1.8m,"1,626"
2.6m,"2,019"
1.9m,"2,083"
2.3m,"1,779"
1.3m,694
1.6m,"1,243"
2.9m,"2,004"
2.4m,"1,375"
1.4m,"1,573"
258k,"1,363"
1m,"1,390"
1.4m,"1,573"
258k,"1,363"
1m,"1,390"
2.2m,"1,619"
1.4m,"1,168"
1.3m,"1,344"
1.1m,"4,138"
878k,"2,330"
2.8m,"2,009"
503k,"1,311"
789k,"1,854"
863k,961
1.9m,536
5.9m,"2,939"
1.3m,655
2.4m,43.8k
4.3m,"1,275"
793k,979
1.3m,"3,699"
828k,"1,935"
655k,"1,445"
1.3m,"3,699"
828k,"1,935"
655k,"1,445"
478k,948
1.5m,"4,926"
2.3m,"1,084"
972k,425
1m,"2,723"
2.8m,731
565k,"1,079"
1.6m,966
1.3m,"2,689"
1.1m,"1,959"
2m,686
926k,809
2.5m,"1,143"
380k,869
341k,676
547k,481
970k,272
1.3m,390
824k,"1,287"
706k,304
745k,"1,624"
824k,"1,287"
706k,304
745k,"1,624"
785k,475
892k,"1,063"
1.3m,"5,027"
970k,"2,395"
671k,"1,530"
805k,"1,778"
1.6m,"5,380"
870k,"1,068"
1.7m,436
1m,467
1.1m,"2,507"
1m,"2,516"
841k,"1,592"
1.6m,"7,220"
1.1m,"3,021"
1.4m,"4,201"
924k,475
464k,478
1.4m,"4,201"
924k,475
464k,478
1.1m,616
273k,358
1m,"2,115"
900k,"1,876"
712k,507
811k,"1,206"
536k,286
892k,393
992k,"1,537"
425k,223
1.3m,"3,825"
927k,"1,125"
582k,285
976k,"1,040"
951k,"1,767"
1.1m,"3,532"
792k,"1,399"
860k,"1,699"
1.1m,"3,532"
792k,"1,399"
860k,"1,699"
262k,412
799k,394
634k,"1,375"
298k,326
353k,455
1m,"3,112"
759k,"1,838"
709k,"1,682"
994k,"3,053"
,0
566k,"1,228"
867k,"2,316"
664k,"1,450"
1m,"2,784"
2.5m,"2,397"
919k,"2,734"
3.8m,"1,188"
969k,"2,019"
919k,"2,734"
3.8m,"1,188"
969k,"2,019"
1m,"3,510"
1.4m,"4,083"
606k,"1,280"
943k,"1,258"
701k,"3,143"
787k,"1,652"
1.3m,"3,663"
609k,"1,260"
1.1m,"3,895"
1.1m,"1,120"
1.2m,"3,798"
1.1m,"3,680"
894k,"2,453"
1m,"2,919"
722k,615
1.1m,"3,203"
940k,"3,030"
756k,"2,401"
1.1m,"3,203"
940k,"3,030"
756k,"2,401"
1m,"3,461"
1.1m,"3,323"
873k,"1,927"
518k,"1,002"
394k,664
1.3m,"2,340"
1.9m,"1,108"
737k,"2,591"
731k,"1,900"
