likes,comments
71.7k,278
468k,"1,253"
218k,655
122k,12.9k
101k,375
80.8k,496
591k,"1,896"
196k,"1,286"
565k,"2,104"
97.5k,444
589k,"1,724"
144k,"1,030"
539k,815
161k,"1,085"
187k,"1,696"
597k,"1,506"
147k,"1,368"
94.1k,464
866k,"4,744"
948k,"1,858"
117k,515
239k,"1,736"
621k,"1,385"
173k,"1,255"
787k,"1,200"
138k,"1,820"
749k,"1,148"
140k,904
115k,801
127k,632
140k,904
115k,801
127k,632
158k,966
239k,970
100k,"1,321"
96.4k,461
118k,"1,042"
577k,"1,013"
96.4k,461
118k,"1,042"
577k,"1,013"
193k,"1,782"
114k,786
814k,"1,508"
179k,"1,152"
156k,"3,164"
132k,997
84.1k,608
139k,"1,516"
112k,688
1.2m,"5,858"
92.8k,524
765k,"1,654"
177k,"1,575"
630k,"1,110"
111k,604
863k,"2,673"
120k,597
925k,"1,983"
863k,"2,673"
120k,597
925k,"1,983"
116k,823
660k,"1,823"
108k,788
779k,"2,076"
158k,"1,361"
826k,"1,618"
661k,977
1.1m,"2,339"
672k,"1,054"
214k,"1,261"
801k,"1,841"
93.9k,541
964k,"1,851"
254k,"5,075"
121k,"1,151"
743k,"1,314"
631k,"1,051"
110k,900
743k,"1,314"
631k,"1,051"
110k,900
950k,"4,450"
683k,557
93.6k,802
778k,"2,767"
115k,"1,016"
867k,"2,345"
1m,"1,692"
106k,887
92.4k,792
667k,"1,220"
662k,"1,946"
122k,781
97.1k,788
83.8k,677
1.2m,"2,492"
103k,927
977k,"2,517"
81.2k,842
694k,"2,173"
118k,"1,445"
609k,"1,538"
694k,"2,173"
118k,"1,445"
609k,"1,538"
859k,"2,084"
633k,995
126k,"1,251"
667k,"2,547"
190k,"1,727"
740k,"2,966"
964k,"7,335"
785k,"1,908"
94.2k,607
681k,"1,985"
567k,"1,999"
123k,780
881k,"1,395"
870k,"2,967"
95.4k,828
560k,"1,540"
109k,824
745k,"2,138"
560k,"1,540"
109k,824
745k,"2,138"
751k,"2,334"
1.6m,"4,157"
67.9k,385
779k,"1,440"
106k,477
661k,"1,547"
87.1k,649
488k,711
148k,512
95.7k,939
692k,"1,943"
650k,"1,737"
791k,"1,709"
99k,"1,268"
526k,903
693k,"4,289"
58.8k,411
824k,"2,092"
693k,"4,289"
58.8k,411
824k,"2,092"
1.1m,"3,027"
67k,627
79.1k,858
546k,"1,941"
609k,"1,102"
73.6k,682
490k,"1,824"
514k,"2,007"
1.3m,"5,960"
64.6k,"2,690"
764k,"1,551"
55.7k,490
987k,"1,415"
87.8k,"1,036"
82.5k,"1,018"
549k,"1,013"
98.4k,"1,781"
70.4k,819
549k,"1,013"
98.4k,"1,781"
70.4k,819
880k,"2,315"
572k,"1,542"
740k,"1,652"
84.1k,828
77.4k,453
89.6k,675
567k,322
706k,"2,087"
94.2k,762
737k,932
85.4k,408
99.7k,296
303k,498
102k,"1,192"
494k,"1,148"
553k,"1,724"
62k,"1,344"
72.3k,779
553k,"1,724"
62k,"1,344"
72.3k,779
62.3k,422
462k,698
634k,"1,304"
62.3k,422
462k,698
634k,"1,304"
62.3k,422
462k,698
634k,"1,304"
62.3k,422
462k,698
634k,"1,304"
62.3k,422
462k,698
634k,"1,304"
832k,"1,541"
71.4k,876
434k,819
65.4k,519
472k,849
396k,636
63.3k,503
58k,502
722k,884
81.9k,598
456k,696
617k,417
443k,725
70k,615
490k,973
781k,"1,606"
74.9k,585
585k,850
65.7k,417
446k,749
75.3k,636
503k,712
564k,840
75.4k,555
503k,712
564k,840
75.4k,555
498k,871
484k,581
576k,830
389k,781
87.6k,464
581k,832
477k,976
394k,426
56.6k,268
72.1k,352
809k,"2,285"
94.7k,362
94k,686
651k,"1,067"
109k,478
327k,467
82.3k,621
399k,727
81k,503
536k,651
94.2k,401
81k,503
536k,651
94.2k,401
90.1k,572
710k,"1,218"
421k,683
68.5k,394
57.5k,330
80k,725
345k,471
76.5k,505
62.4k,407
470k,826
127k,"4,948"
84.5k,547
79.7k,820
399k,894
356k,748
61.8k,882
55.2k,242
700k,773
61.8k,882
55.2k,242
700k,773
59.3k,313
59.3k,248
203k,367
85.6k,407
64.6k,369
60.9k,302
184k,421
463k,587
83.4k,487
82.4k,477
79.4k,358
300k,542
84k,680
563k,726
391k,"6,551"
460k,770
71.4k,529
465k,"1,249"
460k,770
71.4k,529
465k,"1,249"
533k,698
86.6k,487
428k,719
86.1k,351
60.8k,226
278k,218
56.2k,"2,859"
633k,"1,067"
49.8k,281
52.3k,244
348k,"1,010"
579k,"1,982"
95.6k,985
505k,818
67k,417
554k,676
64.3k,250
81.9k,504
554k,676
64.3k,250
81.9k,504
89.4k,548
336k,306
52k,297
384k,594
78.8k,573
59.2k,317
451k,918
49.7k,200
