likes,comments
6.5m,22.5k
5m,18.9k
8.1m,33.7k
3.7m,25.6k
6.6m,20.1k
8.8m,"8,958"
6.9m,40.3k
1m,"6,263"
4.5m,15.4k
11.5m,43.9k
1.6m,"7,085"
10.1m,410k
1m,"5,096"
7.8m,32.9k
1.3m,12k
5.7m,"8,956"
7.2m,37.9k
7m,63.4k
5.5m,18.2k
7.8m,31.7k
8m,22.8k
5.1m,10.5k
9.4m,40.4k
40.4m,38.7k
8.3m,52.1k
18.7m,24.1k
2.1m,14.4k
1.4m,"4,436"
8.7m,35.4k
7.3m,29.4k
1.4m,"4,436"
8.7m,35.4k
7.3m,29.4k
8.4m,29.6k
25m,41.3k
2m,13.7k
2.3m,14.1k
8m,34.7k
2.1m,"5,878"
5.8m,15k
14.1m,79k
6.6m,71k
5.6m,44k
5.5m,17.3k
8.2m,50.2k
,0
5.5m,17.3k
8.2m,50.2k
8.6m,35k
7.8m,30.9k
7.8m,47.4k
7.2m,53.2k
9.9m,42.5k
5.1m,19.7k
11.1m,37.4k
54.7m,124k
45.4m,55.7k
9.9m,30k
8m,32.8k
7m,24.7k
8.2m,21k
10.2m,44k
12.1m,56.3k
8m,49.6k
10.1m,82.2k
1.2m,23k
8m,49.6k
10.1m,82.2k
1.2m,23k
14m,134k
4.4m,20.6k
11m,35.2k
55.1m,67.6k
6.4m,30.5k
10.3m,28.6k
8m,35.5k
13.5m,46.6k
10.9m,88.4k
2m,40.9k
9.7m,34.5k
13.4m,100k
2.6m,30.4k
12.5m,132k
7.8m,93k
9m,22.1k
9.8m,31.6k
1.8m,24.8k
9m,22.1k
9.8m,31.6k
1.8m,24.8k
9.4m,55.9k
10.7m,11.7k
9.3m,45.3k
9.7m,41.8k
5.2m,25.4k
8m,31.6k
9.6m,51.1k
6.8m,24.5k
10.5m,46k
8.9m,24.4k
11m,73.4k
5.9m,19.8k
10.7m,42.2k
8.6m,34.8k
10.5m,76.2k
11.7m,71.9k
9.6m,73.7k
4.9m,51.2k
11.7m,71.9k
9.6m,73.7k
4.9m,51.2k
6.3m,19.3k
1.4m,12k
5.4m,25.5k
9.1m,24k
6.3m,20.3k
7m,30.2k
8.8m,40.4k
1.2m,"5,512"
11.1m,43.8k
1.2m,"7,732"
7.6m,26.4k
7.3m,40.9k
16.6m,29.3k
7m,126k
5.6m,56.5k
4.4m,52.7k
7.2m,58.5k
8.5m,41.9k
4.4m,52.7k
7.2m,58.5k
8.5m,41.9k
6.4m,76.1k
27.2m,45.8k
6.4m,16.4k
10.8m,38.8k
10.4m,45.8k
8.9m,31.3k
14.3m,12.2k
5.1m,18k
7.8m,31.1k
2.9m,"7,414"
6.2m,19.1k
3.6m,"8,408"
4.8m,13.6k
8.3m,31.9k
6.7m,18.9k
8.9m,45.4k
6.5m,26.7k
4m,12.6k
8.9m,45.4k
6.5m,26.7k
4m,12.6k
6.2m,24.2k
7.3m,21.4k
8.3m,40.9k
10.2m,43.7k
4.9m,15.7k
6.3m,161k
14.8m,35.2k
10.8m,57.4k
9m,95.3k
16.5m,37.1k
7.2m,21.5k
7.9m,12.1k
5.9m,31.8k
2.3m,13.3k
3.4m,"9,789"
9.3m,28.3k
6.1m,44.2k
9.5m,55.8k
12.2m,79.7k
1.8m,27.1k
5.1m,17.3k
12.2m,79.7k
1.8m,27.1k
5.1m,17.3k
7.5m,41.1k
10.6m,16.8k
1.9m,"6,885"
6.6m,38.9k
7.2m,"6,454"
15m,23k
922k,41.1k
8.5m,43.2k
14m,61k
5.5m,17.8k
8m,41.3k
9m,128k
2.8m,42.9k
10.9m,88.1k
