likes,comments
233k,"1,323"
367k,"3,640"
261k,"1,376"
327k,"1,773"
453k,"5,767"
405k,"4,046"
333k,"2,644"
364k,"2,938"
343k,"2,782"
418k,"4,099"
393k,"3,232"
518k,"6,905"
387k,"3,602"
388k,"4,416"
409k,"4,519"
373k,"3,267"
319k,"1,720"
397k,"5,970"
390k,"6,031"
279k,"2,126"
422k,"4,081"
473k,"9,546"
438k,"6,174"
1.9m,"3,158"
395k,"9,639"
515k,"8,927"
361k,"3,602"
358k,"3,137"
432k,"3,648"
379k,"4,527"
376k,"4,081"
279k,"3,270"
336k,"4,037"
376k,"4,081"
279k,"3,270"
336k,"4,037"
340k,"3,149"
351k,"4,617"
364k,"4,126"
379k,"4,901"
316k,"3,157"
325k,"2,482"
370k,"4,191"
364k,"3,931"
365k,"3,313"
428k,"6,272"
366k,"3,929"
442k,"6,904"
381k,"3,874"
407k,"4,308"
347k,"2,631"
310k,"2,052"
283k,"1,910"
272k,"1,561"
310k,"2,052"
283k,"1,910"
272k,"1,561"
322k,"2,877"
271k,"1,563"
270k,"1,837"
286k,"1,733"
255k,"1,924"
314k,"2,055"
2.5m,"2,099"
328k,"7,068"
296k,"2,406"
2.7m,"5,273"
318k,"3,678"
310k,"3,595"
315k,"3,555"
269k,"5,709"
277k,"4,183"
289k,"3,337"
276k,"2,881"
328k,"5,945"
289k,"3,337"
276k,"2,881"
328k,"5,945"
300k,"4,246"
235k,"2,583"
199k,"1,400"
286k,"4,209"
272k,"3,559"
238k,"2,977"
264k,"3,403"
230k,"2,159"
315k,"4,740"
278k,"4,485"
258k,"4,154"
289k,"2,624"
218k,"2,960"
243k,"2,448"
1.4m,"1,382"
232k,"2,958"
290k,"6,298"
243k,"2,149"
232k,"2,958"
290k,"6,298"
243k,"2,149"
270k,"3,983"
339k,"6,135"
242k,"1,416"
242k,"1,968"
249k,"1,263"
231k,"1,982"
2m,"1,519"
1.5m,"1,434"
239k,"1,968"
195k,"1,523"
201k,"1,651"
237k,"2,370"
203k,"1,828"
1.6m,"1,756"
276k,"2,788"
156k,781
149k,"1,021"
156k,561
137k,"2,045"
159k,657
144k,785
137k,"2,045"
159k,657
144k,785
134k,"1,190"
153k,757
107k,610
230k,"1,622"
126k,993
97.6k,543
188k,"1,320"
527k,960
146k,"1,055"
168k,"1,211"
1m,468
137k,850
162k,"1,099"
224k,"1,027"
1.3m,"1,542"
173k,813
1.3m,"1,054"
218k,"2,719"
173k,813
1.3m,"1,054"
218k,"2,719"
265k,"1,196"
162k,876
159k,903
149k,738
168k,"1,500"
118k,662
680k,497
212k,"1,831"
151k,825
137k,526
213k,"1,916"
132k,622
246k,"2,166"
196k,"1,453"
164k,"1,770"
200k,"1,298"
270k,"2,223"
219k,"1,243"
200k,"1,298"
270k,"2,223"
219k,"1,243"
131k,990
203k,"1,250"
213k,"1,407"
267k,"2,463"
144k,"1,808"
141k,"1,208"
139k,956
147k,960
159k,"1,081"
276k,"4,142"
171k,837
112k,606
115k,722
201k,"1,174"
304k,"2,730"
162k,"1,255"
198k,"2,124"
184k,"1,806"
162k,"1,255"
198k,"2,124"
184k,"1,806"
133k,"1,143"
228k,"2,843"
156k,772
133k,644
114k,"1,003"
1m,"1,193"
190k,"1,252"
62.9k,497
1.6m,"1,894"
209k,"1,415"
177k,"1,045"
191k,"1,036"
139k,"1,386"
232k,"2,696"
1m,611
976k,"2,238"
105k,585
95.3k,561
976k,"2,238"
105k,585
95.3k,561
185k,"1,436"
115k,615
195k,"1,526"
144k,793
95.5k,973
197k,"1,578"
117k,"1,010"
177k,"1,135"
1.3m,"2,183"
81k,394
1.1m,"1,089"
176k,"1,718"
114k,"1,176"
1.3m,"1,327"
175k,"1,185"
201k,"1,503"
130k,"1,191"
116k,671
201k,"1,503"
130k,"1,191"
116k,671
1.3m,589
154k,"1,404"
152k,"1,177"
178k,"1,350"
184k,"2,034"
138k,649
587k,786
229k,"7,889"
702k,697
221k,"1,747"
139k,"1,070"
136k,"1,162"
179k,594
89.2k,450
123k,767
165k,"1,271"
177k,800
1.2m,"1,753"
165k,"1,271"
177k,800
1.2m,"1,753"
112k,708
132k,"1,027"
1m,996
146k,634
117k,737
990k,789
177k,"1,538"
74.3k,545
97.2k,566
85.1k,464
864k,716
131k,946
109k,559
89.9k,799
117k,581
110k,838
111k,642
126k,"1,312"
110k,838
111k,642
126k,"1,312"
113k,"1,194"
86k,692
126k,828
1.1m,"1,556"
111k,775
85.3k,605
216k,"3,306"
109k,970
87.3k,387
1.4m,"1,362"
957k,"1,008"
73.9k,207
97.3k,675
95.7k,421
146k,"1,205"
103k,739
139k,"1,483"
149k,"2,212"
97.2k,507
162k,869
123k,"1,038"
97.2k,507
162k,869
123k,"1,038"
142k,661
156k,981
1.6m,"1,927"
172k,661
191k,"1,185"
179k,"1,087"
120k,783
160k,917
97.2k,581
116k,900
1.3m,"1,763"
109k,586
106k,516
57.8k,231
814k,"2,179"
765k,"1,103"
1.1m,"1,213"
699k,"1,565"
765k,"1,103"
1.1m,"1,213"
699k,"1,565"
65.9k,420
695k,"1,024"
1.2m,"1,095"
933k,864
88.4k,371
120k,890
110k,673
91.3k,474
69.7k,420
144k,"1,618"
99.3k,760
79.8k,877
312k,"1,681"
154k,"1,234"
129k,833
112k,634
739k,655
917k,"2,073"
112k,634
739k,655
917k,"2,073"
764k,"2,442"
97.5k,928
840k,520
85.3k,930
105k,"1,286"
122k,"1,204"
176k,"1,557"
145k,838
107k,550
353k,274
342k,"1,240"
259k,584
