likes,comments
92.7k,832
70.2k,177
77.6k,233
232k,372
56.4k,437
72.6k,517
67.6k,332
69.4k,351
63.3k,591
92.1k,"3,433"
41.8k,281
71.4k,143
233k,314
49.5k,444
182k,154
68.2k,822
44.9k,309
50k,"4,589"
97.7k,601
48.7k,379
66.8k,306
46.7k,492
36.5k,271
326k,434
54.6k,440
110k,319
74.1k,453
55.6k,362
146k,"1,771"
42.8k,383
55.6k,362
146k,"1,771"
42.8k,383
162k,170
77.1k,"1,626"
74.8k,731
41.1k,377
47.6k,343
41.7k,393
74.6k,483
46.7k,441
70.2k,574
74.6k,483
46.7k,441
70.2k,574
42.3k,420
113k,907
37.3k,227
242k,855
35k,333
32.8k,248
46.8k,447
54.1k,256
38.4k,345
40.8k,353
110k,858
25.7k,225
32k,248
190k,313
22.8k,122
28.8k,21.3k
246k,561
29.5k,179
28.8k,21.3k
246k,561
29.5k,179
24k,108
202k,286
45.6k,461
136k,"5,607"
39.6k,495
276k,"1,031"
51.5k,886
29.8k,224
40.5k,353
218k,272
31.8k,229
256k,293
512k,234
38k,295
174k,261
43.3k,527
41.5k,456
180k,314
43.3k,527
41.5k,456
180k,314
25.9k,251
204k,354
39.6k,344
35.5k,276
42.4k,169
36.1k,378
21k,177
54.9k,722
53.4k,442
42.8k,337
517k,829
46.8k,305
62.7k,430
53.2k,446
93.6k,654
409k,946
506k,631
39k,462
409k,946
506k,631
39k,462
348k,252
270k,315
398k,459
33.9k,308
46.9k,250
291k,298
350k,280
50k,318
534k,"1,258"
155k,"8,075"
20.2k,89
35.9k,336
304k,162
160k,90
22.5k,115
43.5k,277
241k,75
35.4k,239
43.5k,277
241k,75
35.4k,239
27.2k,140
57.5k,377
38.9k,238
54.6k,550
40.8k,362
65.1k,569
57k,208
74.7k,574
26.2k,187
27.6k,151
21.5k,133
34.4k,176
132k,90
50.7k,101
45k,351
43.6k,203
61.9k,"1,101"
40.9k,119
43.6k,203
61.9k,"1,101"
40.9k,119
38.6k,130
35.1k,76
44k,125
36.6k,166
230k,121
244k,202
24.3k,173
35.8k,275
40.8k,"3,354"
67k,255
50.3k,461
36k,172
52k,172
644k,660
34.2k,"2,692"
42.7k,523
437k,309
43k,186
68.2k,390
196k,71
44.1k,327
68.2k,390
196k,71
44.1k,327
55.8k,371
52.3k,272
65.9k,396
60.8k,382
42.3k,163
33.9k,87
50.3k,103
240k,134
44.9k,169
327k,69
260k,173
62.3k,415
57.2k,433
32.6k,209
37.1k,582
327k,616
199k,77
22.7k,53
327k,616
199k,77
22.7k,53
80.7k,680
68.8k,520
297k,214
70.3k,454
84.9k,594
79.5k,633
49.3k,371
314k,261
25.3k,83
20.9k,64
430k,320
37.3k,206
318k,294
39.8k,165
57.3k,238
31.2k,99
328k,179
590k,"2,041"
31.2k,99
328k,179
590k,"2,041"
101k,"1,268"
25.7k,102
172k,170
36.3k,787
147k,91
31.1k,572
16.9k,56
14.4k,71
56.2k,561
41.3k,164
22k,194
28.9k,224
26.6k,"4,011"
27.9k,117
136k,62
32.1k,224
39.8k,579
113k,183
32.1k,224
39.8k,579
113k,183
37.9k,193
69.7k,610
26.2k,59
355k,"1,133"
109k,"5,825"
49.1k,198
257k,252
34.1k,171
173k,143
11.1k,60
11.4k,64
14.4k,136
25.6k,308
22.9k,374
128k,320
31.9k,875
272k,392
17.2k,173
31.9k,875
272k,392
17.2k,173
121k,233
153k,235
24.6k,130
16.9k,133
23.9k,218
11.1k,58
137k,139
138k,542
89.1k,240
11.6k,36
128k,111
22.8k,60
123k,161
172k,390
15.1k,100
42.2k,515
33.4k,699
176k,"1,661"
42.2k,515
33.4k,699
176k,"1,661"
26.7k,245
27.6k,263
19.2k,156
253k,374
26.1k,255
171k,141
28.3k,253
29.2k,257
17.5k,156
15.6k,126
116k,149
18.4k,73
571k,404
15k,70
31.2k,293
38k,240
24.7k,130
733k,641
38k,240
24.7k,130
733k,641
11.6k,64
26k,97
20.6k,130
239k,673
28.9k,421
20.1k,261
11.5k,76
208k,763
28.6k,90
25.7k,289
20.4k,79
25.8k,139
21.9k,141
318k,233
48.2k,376
164k,455
15.7k,98
30.2k,405
164k,455
15.7k,98
30.2k,405
20k,170
26.9k,248
20.5k,172
32k,409
106k,133
28.1k,431
19.2k,230
12.2k,"1,457"
146k,337
14.7k,86
13.8k,46
330k,221
18.4k,120
16.3k,"4,180"
11.2k,61
13.4k,60
30k,258
14k,89
10.2k,49
20.1k,207
29.4k,248
10.2k,49
20.1k,207
29.4k,248
203k,315
13k,75
39.2k,295
27.9k,154
42.8k,541
375k,306
11.7k,60
28.4k,148
"9,412",56
508k,416
180k,260
175k,"1,480"
20k,92
78.4k,151
204k,129
207k,321
19.2k,224
464k,880
207k,321
19.2k,224
464k,880
250k,366
27.1k,217
13.5k,126
285k,341
18.9k,310
141k,201
20.1k,166
13.1k,97
227k,124
11.3k,74
15.5k,82
528k,442
26.4k,193
28.5k,157
23.5k,189
70.9k,"1,192"
"9,482",62
12.5k,53
70.9k,"1,192"
"9,482",62
12.5k,53
"9,349",102
16.6k,121
17.9k,201
12.4k,91
14.1k,98
20.1k,338
14.6k,93
132k,103
11.6k,53
22.6k,325
233k,"1,145"
23.4k,228
15.2k,66
20.2k,257
"9,368",118
20.4k,174
48.5k,812
136k,86
20.4k,174
48.5k,812
136k,86
"9,649",40
33.1k,227
"9,171",47
11.6k,92
"8,732",30
13.8k,109
208k,120
"8,595",91
13.2k,122
56.8k,35
19.7k,269
109k,36
"6,789",47
98.8k,99
14.9k,135
"9,885",82
20.6k,270
16.9k,129
"9,885",82
20.6k,270
16.9k,129
12.5k,173
15.9k,331
15.7k,134
123k,115
73.6k,37
14.3k,268
10.9k,103
"9,473","4,128"
95k,65
"7,488",69
134k,82
76.2k,48
110k,143
10.7k,139
77.2k,89
"5,716",21
12.1k,118
202k,120
"5,716",21
12.1k,118
202k,120
70.7k,81
"9,533",114
12.1k,151
18.3k,233
"5,119",36
12.1k,131
12.4k,97
10.2k,194
12.7k,217
86.5k,294
"9,637","3,866"
83.8k,169
"9,992",232
"8,686",106
"9,006",140
25k,558
48.3k,"6,612"
"4,701",110
25k,558
48.3k,"6,612"
"4,701",110
13.3k,311
"9,235",163
55.3k,131
"8,574",183
18k,211
"6,016",60
41.7k,32
"9,026",135
75.2k,188
13.8k,174
"6,137",59
10.8k,99
"5,470",31
11k,"1,111"
11.6k,116
"4,574",51
"9,833",42
16.3k,233
14.9k,205
18.4k,191
61.2k,75
14.9k,205
18.4k,191
61.2k,75
22.2k,321
11.2k,91
"7,954",58
16k,102
73k,41
122k,61
"7,627",75
"7,716",53
10.6k,74
"5,725",22
10.5k,81
"4,741",18
"8,082",77
17.2k,87
10.9k,59
12.9k,119
"6,668",70
"8,440",114
12.9k,119
"6,668",70
"8,440",114
36.5k,38
46.6k,60
"5,070",161
"6,525",61
11k,142
12.5k,204
41.1k,29
13.8k,146
"9,002",141
"5,742","2,667"
18.9k,976
63.4k,33
40.5k,31
67.5k,106
"8,751",95
58k,84
120k,144
"4,616",24
58k,84
120k,144
"4,616",24
59.1k,80
"9,078",142
61.6k,64
"7,823",100
"9,314",79
"5,151",56
50.5k,45
49.2k,77
10.6k,157
"6,409",50
12.6k,124
15.4k,350
"6,879",74
"3,555",19
15.2k,137
"9,772",72
13.8k,201
"6,311",92
"9,772",72
13.8k,201
"6,311",92
13.1k,108
"4,928",50
41.3k,37
63.4k,94
32.5k,51
"5,411",68
61k,115
"4,601",48
"6,424",120
75.9k,"1,023"
"6,963",68
41.1k,100
"5,899",70
"3,979",30
12.2k,73
55.4k,71
"6,648",56
"5,932",89
55.4k,71
"6,648",56
"5,932",89
"6,557",134
"4,507",42
49.7k,154
38.2k,95
"5,173",71
53.9k,103
"5,487",39
18.2k,164
44.9k,42
"6,377",57
82.1k,158
27.4k,17
"5,960",66
"5,594",63
"4,202",30
"3,985",190
85.6k,134
"5,223",50
