likes,comments
7.3m,22.6k
2m,"8,388"
937k,25k
2m,"5,164"
1.4m,"2,941"
3.5m,"4,904"
2.7m,17k
6.4m,10.3k
616k,"3,773"
4.3m,12.4k
535k,"3,179"
733k,"4,366"
766k,"5,340"
588k,"2,560"
818k,"5,217"
1m,"6,628"
1.9m,"4,742"
957k,"3,838"
452k,"2,507"
1.2m,"7,453"
1.9m,"5,122"
689k,"9,309"
1.8m,"5,484"
780k,"6,505"
816k,"7,514"
722k,27.6k
1.2m,"2,879"
1.8m,"5,412"
1.2m,"3,309"
908k,"4,004"
1.8m,"5,412"
1.2m,"3,309"
908k,"4,004"
4m,"8,796"
5.2m,"9,823"
432k,"2,066"
1.8m,13k
1.6m,33.9k
4.5m,"7,769"
2m,"5,227"
1.6m,33.9k
4.5m,"7,769"
,0
,0
1.2m,"6,776"
1.1m,13.4k
3m,"6,409"
631k,"3,247"
1.9m,"4,001"
953k,"5,254"
567k,"2,509"
3.3m,25.2k
1m,"6,833"
2.9m,"7,806"
1.6m,10.4k
3.9m,"4,543"
483k,"2,501"
3.2m,"2,828"
1.2m,"2,145"
434k,"2,750"
6.4m,"6,167"
1.5m,"2,513"
1.2m,"2,653"
5.5m,17k
976k,"4,375"
1.9m,"2,108"
994k,"8,636"
689k,"7,443"
7.9m,"7,374"
1.1m,"3,670"
1.9m,"4,250"
778k,"5,377"
673k,"5,329"
2.7m,"6,662"
2.6m,"3,388"
3.3m,"6,567"
5.5m,"7,544"
3m,12.4k
725k,"4,200"
5.3m,11.9k
1m,"8,003"
306k,"5,734"
716k,"9,902"
685k,"6,261"
1.3m,11.5k
461k,"3,536"
1.1m,"7,615"
594k,"9,818"
1.4m,11.2k
4.2m,12.7k
3.6m,10.7k
6.1m,10.6k
1.8m,"5,727"
755k,"1,010"
839k,"9,977"
551k,"2,731"
363k,"2,095"
139k,"1,195"
320k,"2,497"
309k,"3,237"
2.9m,"4,181"
3.7m,"4,348"
5.2m,20.1k
4.4m,13.6k
3.4m,11.1k
4.7m,"4,746"
345k,"4,010"
692k,"3,601"
579k,"3,485"
788k,"5,756"
1.6m,"2,496"
582k,"4,039"
1.2m,"3,067"
959k,"7,742"
902k,"4,752"
1.2m,"2,031"
859k,"1,430"
974k,"1,448"
4.5m,0
880k,"1,257"
791k,"1,102"
665k,744
540k,921
518k,575
504k,716
500k,567
538k,624
484k,505
662k,740
3.5m,16.7k
855k,"1,416"
1m,"1,189"
1.5m,"2,427"
1.3m,"1,626"
955k,"1,383"
427k,"5,852"
571k,660
1m,"1,820"
211k,"1,442"
437k,"2,046"
594k,"1,210"
640k,506
228k,"8,762"
608k,684
859k,736
156k,764
757k,796
817k,835
177k,"1,000"
884k,"1,063"
1m,"1,322"
917k,822
155k,"1,271"
748k,845
1.3m,"1,502"
136k,817
769k,"1,093"
1m,"1,206"
394k,"2,332"
739k,772
4.3m,"6,169"
867k,575
1.3m,"1,688"
938k,"1,027"
1.9m,"1,061"
190k,962
3.5m,"2,458"
2.6m,"2,510"
275k,"1,656"
1.3m,"1,549"
2.5m,"2,072"
1.3m,"1,225"
3.5m,"3,213"
2.1m,"2,737"
5.5m,"3,613"
6.4m,"5,045"
4.2m,"2,754"
12m,19.1k
2.7m,"3,136"
1.1m,"2,882"
7.8m,"5,702"
696k,"4,549"
660k,"2,989"
1.1m,"6,237"
771k,"2,660"
1m,"3,927"
5.1m,"6,139"
10.9m,"7,300"
1.1m,"5,431"
756k,"2,447"
3m,"2,573"
471k,"1,195"
561k,"2,003"
3.5m,"3,100"
1m,"1,969"
1.5m,"8,407"
1m,"3,824"
1.1m,"4,483"
4.3m,"2,880"
5.8m,"2,785"
12.7m,"6,212"
6.1m,"7,818"
10.2m,16.1k
5.3m,"2,741"
1.4m,"2,753"
947k,"4,472"
994k,"4,209"
1.8m,"8,503"
2.2m,10.3k
4.5m,"4,300"
1.1m,"4,293"
945k,"5,914"
454k,"1,805"
972k,"4,535"
900k,"4,471"
918k,"4,561"
1.6m,"8,173"
1.4m,"8,552"
1.3m,"6,609"
1.9m,10.9k
15.4m,"4,668"
7.4m,11.1k
1.1m,"4,209"
862k,"3,723"
2m,"7,720"
1.2m,"4,698"
2.8m,"3,989"
2.8m,"1,502"
6.3m,"3,374"
8m,15.6k
11.9m,15.5k
3.4m,"3,521"
7.2m,"2,241"
8.5m,"5,568"
4.2m,"3,381"
6.6m,"3,438"
5.3m,"4,922"
2m,"4,821"
943k,"5,482"
5.8m,"5,411"
1m,"9,155"
11.2m,"5,837"
6.7m,"3,548"
8.7m,"6,090"
4.2m,"1,920"
1.4m,"6,606"
4.2m,"2,462"
1m,"1,955"
1.4m,"4,818"
906k,"8,192"
1.5m,"3,100"
1.1m,"2,342"
520k,"1,137"
8m,"7,872"
980k,"4,115"
4.4m,"2,743"
5.5m,49.1k
1.6m,"6,072"
1.5m,"5,425"
1.2m,"4,598"
2.1m,"9,476"
3m,17k
6.3m,"3,045"
1.7m,"7,082"
8.4m,"7,171"
653k,"3,807"
2.1m,"9,759"
2.8m,12.9k
1m,"4,745"
1m,"5,287"
8.3m,"9,618"
1.9m,"7,443"
3.2m,"4,680"
2.4m,21.4k
825k,"4,198"
1.2m,"5,608"
1.2m,"4,901"
3.2m,14.2k
2.8m,11.6k
1.5m,"6,073"
2.1m,"9,473"
1.1m,"3,807"
1.8m,11.2k
1.9m,"5,026"
2.6m,16.9k
5.3m,30k
2.5m,"4,122"
1.9m,"2,647"
2.4m,"4,637"
4.9m,"9,430"
4.3m,"3,371"
14.7k,367
498k,"1,708"
682k,"2,096"
556k,"1,781"
1m,"3,099"
5m,"2,856"
2.6m,"1,961"
6.1m,"5,432"
3.7m,"5,190"
849k,"3,450"
2m,10.4k
1m,"2,798"
1.6m,"6,472"
1.2m,"4,802"
1.8m,"5,413"
7.5m,10.2k
2.1m,"7,889"
9.5m,13.2k
2.3m,10k
1.2m,"4,585"
6.2m,"8,601"
1.2m,"4,569"
8.9m,30.8k
890k,"3,858"
1m,"4,686"
1.1m,"5,531"
6.8m,14.2k
6.3m,"5,965"
3.8m,"8,687"
6.2m,29.7k
4.6m,116k
9.1m,22.5k
3.4m,27.5k
