likes,comments
1.2m,"3,148"
2.4m,14.9k
1.4m,"7,134"
2m,"8,292"
2.9m,"8,401"
3.2m,10.3k
9m,48.7k
3.1m,16.4k
3.8m,19.7k
4.6m,22.9k
6m,12.1k
2.7m,15.8k
2.9m,11.7k
3.4m,"7,756"
5.2m,36.5k
1.5m,"9,294"
1.4m,"4,776"
4.8m,12.7k
5.3m,24.2k
9m,16.9k
3.9m,17.5k
1.9m,"5,796"
4.7m,32.1k
3.9m,17.6k
4.1m,14.5k
3.7m,16.8k
5.6m,12.3k
2.4m,28.5k
4.1m,16.3k
4.2m,12.2k
2.4m,28.5k
4.1m,16.3k
4.2m,12.2k
8.4m,14k
4m,13.4k
4.9m,19.5k
2.5m,"7,897"
1.8m,"8,758"
5.5m,28k
7m,16.5k
3.2m,17.9k
4.3m,22.8k
2.6m,15.2k
2.4m,13.6k
8.8m,11.5k
2.6m,15.2k
2.4m,13.6k
8.8m,11.5k
4.8m,12.3k
4.2m,27.3k
12.4m,31.9k
3.9m,25.7k
3.5m,22.6k
13.4m,44.3k
7.1m,18.6k
4.4m,32.9k
3.4m,28.1k
7.3m,24.5k
4.5m,27.6k
4.9m,32.5k
6.9m,19.6k
4.2m,29.9k
2.4m,10k
3m,43.3k
4.1m,20.7k
3.7m,18.9k
3m,43.3k
4.1m,20.7k
3.7m,18.9k
4.8m,33.6k
4.5m,35.9k
4.2m,36.8k
5.2m,36.1k
4.3m,26.3k
9.4m,15.8k
4.5m,26.2k
3.4m,26.3k
3.4m,"9,615"
4.6m,28.8k
4.2m,22k
4.8m,12.1k
4.8m,32.4k
7.6m,16.2k
5.2m,36.8k
6.3m,82.3k
743k,"3,011"
1.6m,"2,589"
6.3m,82.3k
743k,"3,011"
1.6m,"2,589"
2.3m,"4,751"
8.5m,16.3k
2.9m,11.2k
5.1m,41.9k
824k,"3,234"
687k,"2,607"
911k,"2,883"
722k,"3,861"
1.1m,"6,397"
1.9m,12.7k
2.1m,10k
7.8m,29k
6.3m,13.7k
4.5m,32.1k
3.8m,32.1k
5.6m,11.8k
2.2m,11.8k
3.4m,26.6k
5.6m,11.8k
2.2m,11.8k
3.4m,26.6k
9.1m,15.9k
3.6m,25.7k
5.8m,"7,421"
3.9m,27.4k
3.8m,15.7k
3.1m,16.1k
8.9m,16.2k
3.8m,27.4k
3.2m,23.2k
3m,16.4k
7.3m,12.9k
9m,15.4k
3.9m,27.5k
870k,"4,658"
1.6m,"5,430"
7.4m,20.5k
9.1m,"9,041"
14.8m,39.3k
