likes,comments
10.8k,28
"8,374",145
"7,276",85
17.1k,161
12.3k,67
71.2k,93
14.9k,202
"9,099",100
55.1k,73
"7,840",65
13.3k,136
38.9k,51
"6,013",206
"6,577",89
44.8k,59
21.3k,189
13.6k,101
65.9k,52
15.2k,154
21.9k,217
60.8k,61
24.7k,279
16.9k,225
17.1k,348
55.8k,68
64.4k,101
13.8k,463
19.3k,287
14.2k,112
11.6k,148
19.3k,287
14.2k,112
11.6k,148
51.6k,81
51.6k,34
"8,611",74
62.8k,41
18.9k,190
34.7k,760
16.2k,142
22.9k,488
70.7k,113
16.2k,142
22.9k,488
70.7k,113
"8,024",77
38k,578
79.6k,79
21.2k,245
13.5k,122
48.5k,54
12.1k,161
19.9k,279
"9,924",73
23.1k,279
63.7k,106
12.8k,90
"6,699",52
17.5k,233
71.7k,117
14.6k,109
22k,237
56.5k,67
14.6k,109
22k,237
56.5k,67
33k,563
157k,330
57.6k,35
25.2k,348
"9,160",73
137k,77
25.8k,407
"8,329",146
77.6k,113
19.6k,202
69.7k,105
56.7k,73
79.3k,100
17.6k,176
40.3k,44
16k,164
"8,521",66
49.9k,51
14.1k,149
14.5k,139
58.8k,85
14.1k,149
14.5k,139
58.8k,85
30.2k,401
27.5k,478
74.7k,186
12.4k,124
49.7k,749
60.4k,81
101k,83
"7,389",188
112k,130
13.3k,150
50.2k,78
69.6k,54
10.2k,80
19.7k,493
64.3k,74
86.8k,86
65.4k,107
84.6k,169
86.8k,86
65.4k,107
84.6k,169
14.2k,128
18.4k,140
72.1k,113
64.9k,90
54.4k,64
60.5k,118
15.1k,202
97.5k,194
74.7k,93
19.7k,235
19.3k,317
68.6k,106
68.8k,84
57.9k,53
83.9k,162
75.5k,122
13.4k,170
79.3k,203
75.5k,122
13.4k,170
79.3k,203
17k,220
110k,141
16.2k,226
56.4k,129
18.8k,115
74.7k,77
12.3k,151
10.5k,119
163k,287
20.8k,404
15k,100
99.7k,130
17.5k,140
16.2k,194
77.7k,133
20.4k,255
19.4k,336
72.2k,115
20.4k,255
19.4k,336
72.2k,115
15.6k,140
33.8k,429
58k,81
29.9k,530
17.1k,209
124k,195
33.7k,498
13.6k,112
67.6k,113
11.9k,218
22.3k,412
97.5k,234
11.7k,193
15.6k,177
75.1k,124
24.9k,305
14.3k,161
65.8k,89
24.9k,305
14.3k,161
65.8k,89
"5,615",69
15.2k,175
17.4k,238
171k,285
82.7k,172
100k,142
18k,218
17.3k,150
76.8k,140
132k,309
92.6k,120
235k,907
14.5k,152
18.3k,109
112k,199
14.4k,262
12.8k,210
13.7k,141
14.4k,262
12.8k,210
13.7k,141
18.3k,189
115k,171
102k,116
349k,882
81.9k,128
16.8k,241
35.3k,522
16k,314
136k,274
91k,121
21.2k,267
21.6k,309
101k,217
39.7k,609
25.3k,272
63.3k,75
96.2k,164
15.8k,220
63.3k,75
96.2k,164
15.8k,220
170k,401
35.8k,530
91.7k,172
144k,214
21.6k,339
42.7k,643
84k,283
20.7k,351
25.3k,433
333k,744
29.2k,165
45.3k,"1,024"
176k,592
42.5k,800
14k,161
143k,301
34.9k,329
11k,119
143k,301
34.9k,329
11k,119
587k,"3,197"
60.3k,82
17.6k,268
"9,049",136
71.8k,78
20.1k,198
17.3k,178
111k,238
23.4k,323
42k,940
97.9k,116
10.2k,121
15.4k,273
131k,194
78.4k,86
17.4k,328
139k,257
13.2k,205
24.4k,422
197k,579
36.7k,821
24.4k,422
197k,579
36.7k,821
159k,289
11.5k,87
73.8k,102
265k,541
15.8k,226
99.4k,126
20.8k,220
722k,"2,042"
268k,"1,000"
20k,228
14.6k,257
517k,"1,268"
10.7k,103
118k,225
43.4k,751
26.3k,319
233k,937
19.9k,304
26.3k,319
233k,937
19.9k,304
14.1k,172
25.8k,414
393k,"1,592"
21.8k,385
285k,445
16.6k,168
16.8k,241
140k,156
12.2k,109
14.4k,160
24.6k,426
70.9k,90
30.7k,899
"7,160",68
31.1k,570
74.7k,60
14.9k,185
104k,75
74.7k,60
14.9k,185
104k,75
138k,185
19.3k,240
11.7k,129
10.4k,83
83.2k,121
59.2k,49
14.1k,177
65.8k,118
"9,205",89
"8,968",102
65.3k,54
16.8k,351
28.7k,483
110k,92
15.8k,131
14.9k,150
64.8k,67
12.5k,188
14.9k,150
64.8k,67
12.5k,188
16.9k,366
56.2k,69
11.8k,108
13.2k,142
67.5k,62
11.7k,107
11.5k,133
76.2k,102
"9,910",115
18.9k,231
83.8k,79
11.4k,102
14.5k,165
503k,937
16.7k,157
102k,204
13.6k,168
119k,326
102k,204
13.6k,168
119k,326
17.2k,284
13.3k,133
16.4k,302
