likes,comments
3.9m,27.7k
3.1m,18.8k
2.7m,16.4k
3.6m,22.8k
3.6m,20k
2.9m,21.8k
3.1m,23.1k
2.2m,14.3k
3.5m,32.4k
2.8m,"8,967"
5.2m,19.7k
3.6m,34.5k
862k,19.1k
4.2m,76.1k
7.5m,30.5k
7.7m,44.2k
5m,67.9k
3.1m,43.2k
4.3m,47.9k
6.3m,141k
10.2m,66.7k
4.3m,75k
4.5m,55.8k
3.3m,44.7k
3.4m,296k
6.1m,37.8k
5.1m,24.1k
8.1m,29.2k
5.2m,17.8k
6.6m,22.8k
4.2m,28.4k
6m,130k
5.4m,24.8k
3.7m,16.1k
1.2m,10.7k
4.4m,19.6k
3.7m,16.1k
1.2m,10.7k
4.4m,19.6k
3.7m,14.6k
3.9m,19.5k
4.8m,24k
2.1m,10.1k
1.3m,"3,249"
1.1m,"2,970"
1m,"1,908"
1m,"2,467"
1.7m,"3,255"
1.8m,"3,005"
1m,59.8k
1.7m,101k
2.8m,91k
2.9m,29.3k
4.1m,43.4k
3.8m,62.1k
1.4m,11.3k
3m,51.5k
3.8m,62.1k
1.4m,11.3k
3m,51.5k
2.8m,34.2k
1.6m,17.5k
1.9m,20.8k
2.3m,11k
1.7m,10.5k
1.9m,10.8k
5.4m,24.7k
2.2m,18.4k
2.3m,13k
1.8m,31k
1.7m,"9,277"
2.2m,18.4k
3m,19.5k
1.7m,"7,823"
3.6m,40.1k
4m,"7,619"
4.1m,31.5k
2.2m,14.7k
4m,"7,619"
4.1m,31.5k
2.2m,14.7k
3.4m,26.6k
4.9m,71.9k
2.8m,13.4k
2.5m,13.2k
1.6m,"8,718"
1.9m,16k
2.4m,15.2k
2.5m,18.8k
7.2m,58.8k
2.1m,19.5k
4.1m,25.9k
2.5m,21.4k
2.1m,13k
1.7m,"8,373"
2m,11.5k
2.6m,15.9k
2.9m,25.3k
2.4m,16.1k
2.6m,15.9k
2.9m,25.3k
2.4m,16.1k
9.4m,38.9k
2.5m,15k
3.8m,41.6k
2.2m,14.3k
2.1m,12.6k
1.8m,10.7k
3m,21.6k
1.5m,"5,835"
965k,"3,099"
3.6m,"4,918"
1.1m,"2,799"
1.7m,"8,168"
1.8m,"7,520"
1.6m,"7,845"
1.3m,"6,137"
3.1m,"6,074"
1.2m,"3,945"
1.9m,11.1k
3.1m,"6,074"
1.2m,"3,945"
1.9m,11.1k
1.5m,"8,563"
1.8m,"8,083"
2.6m,19.4k
2.6m,22.5k
1.6m,"8,167"
2m,"9,055"
3.2m,26.5k
1.9m,10.8k
2.1m,15.8k
3.8m,82.4k
2.4m,89.8k
1.7m,15.6k
1.3m,"6,889"
2.3m,21.7k
1.9m,14.6k
3.8m,"6,780"
3.5m,13.8k
2m,"5,020"
3.8m,"6,780"
3.5m,13.8k
2m,"5,020"
1.8m,14.5k
4.3m,"7,980"
1.2m,"5,037"
1.5m,"7,408"
5.2m,19.3k
1.6m,"7,663"
1.7m,"8,750"
2.6m,18.8k
1.6m,"7,854"
1.9m,"9,125"
1.8m,10.5k
6.8m,14.8k
6.2m,19k
2.7m,29.4k
5.8m,"7,746"
4.8m,10.5k
1.6m,"5,432"
1.2m,"7,688"
4.8m,10.5k
1.6m,"5,432"
1.2m,"7,688"
3m,"6,938"
2.4m,"6,849"
2.3m,10k
1.2m,"6,678"
1.9m,"7,122"
2.6m,"7,507"
1.1m,21.5k
2.1m,"6,452"
3.4m,10.8k
4m,21.2k
1.5m,17.2k
1.4m,10.1k
9.1m,32.9k
1.7m,19.2k
1.1m,"5,105"
1.9m,14.7k
5.5m,15.6k
1.7m,12k
1.9m,14.7k
5.5m,15.6k
1.7m,12k
1m,"8,381"
2.7m,58.9k
1m,"7,814"
4.2m,"9,110"
1.1m,"5,619"
1.7m,12k
1.1m,"4,211"
1.2m,"5,313"
1.7m,12.2k
1.6m,"9,625"
1.5m,"6,374"
3.6m,11.1k
1.3m,"8,118"
1m,"3,867"
1.6m,"9,842"
2.7m,24.1k
1.5m,"9,292"
1.9m,15.6k
1.7m,14.4k
1.7m,18.4k
3.1m,10.1k
1.7m,14.4k
1.7m,18.4k
3.1m,10.1k
3.6m,"9,615"
2m,10.9k
1.5m,12.3k
1.5m,"8,243"
1.1m,"7,060"
1.2m,"5,968"
1.5m,13.4k
2m,22.3k
1.3m,"8,749"
3.5m,12.1k
806k,"7,098"
1.3m,11.2k
970k,"4,772"
853k,"5,252"
1.2m,"9,488"
1.2m,10k
1.4m,13.3k
