likes,comments
717k,"4,364"
1.2m,13.3k
1.3m,11.5k
1.2m,14.7k
1.1m,12.3k
1.5m,12.2k
1.3m,"6,275"
1.5m,16.6k
2m,30.2k
1.9m,31k
963k,"7,631"
2m,27.9k
2m,63.5k
5.7m,210k
1.5m,20.9k
2.6m,14.5k
1.6m,15.7k
1.3m,15.7k
1.9m,17k
1.6m,16k
1m,14.5k
1.2m,"6,538"
1.4m,"6,980"
1.7m,11.2k
1m,"3,977"
1.1m,11.2k
1.2m,10.5k
711k,17.6k
1.3m,10.1k
1m,15.3k
711k,17.6k
1.3m,10.1k
1m,15.3k
1.3m,"5,150"
951k,"9,318"
848k,"6,766"
1.5m,"4,971"
1.2m,"5,993"
1m,12.8k
732k,"2,141"
808k,"7,484"
834k,"3,088"
734k,"5,080"
732k,"4,318"
660k,"1,980"
734k,"5,080"
732k,"4,318"
660k,"1,980"
718k,25.7k
856k,"7,831"
451k,"4,265"
762k,"5,211"
620k,"1,532"
1.8m,"8,268"
960k,19.2k
914k,11.8k
1.1m,13.3k
1.2m,19.3k
1.8m,"7,945"
651k,"3,459"
1m,11.9k
635k,"2,872"
868k,"2,337"
740k,"3,075"
1.1m,12.3k
943k,"6,704"
740k,"3,075"
1.1m,12.3k
943k,"6,704"
952k,"6,045"
992k,10.7k
663k,"3,556"
698k,"7,965"
584k,"3,211"
731k,"3,604"
1.6m,35.1k
664k,"5,099"
946k,"3,216"
876k,"4,937"
1.1m,"3,601"
990k,"8,075"
453k,"2,959"
997k,10k
777k,"5,910"
782k,"5,974"
2.1m,11.6k
1m,12.9k
1m,"7,502"
1.1m,10.3k
1.1m,11k
1m,"7,502"
1.1m,10.3k
1.1m,11k
1m,12.1k
449k,"2,358"
1.7m,17.6k
859k,"4,480"
701k,"7,905"
1.5m,19.3k
1m,14.6k
404k,"2,187"
1.2m,24.1k
986k,22.6k
1.1m,20.1k
583k,"5,511"
757k,"9,847"
1.7m,16.3k
456k,"7,110"
1.7m,39.6k
364k,"2,223"
776k,"3,697"
1.7m,39.6k
364k,"2,223"
776k,"3,697"
341k,"3,511"
740k,"5,911"
754k,"3,695"
633k,"9,948"
553k,"3,494"
920k,10k
595k,"3,907"
846k,"9,273"
885k,11.1k
1.1m,14.1k
632k,"4,622"
711k,"4,327"
421k,"2,860"
349k,951
902k,"5,598"
1.3m,"6,870"
1m,44.7k
2m,35.7k
1.3m,"6,870"
1m,44.7k
2m,35.7k
1m,19.4k
1.1m,"6,979"
998k,"5,537"
576k,"6,490"
1.7m,16.3k
1m,"9,757"
667k,"9,268"
669k,"4,138"
956k,"9,475"
1.3m,"8,785"
644k,"8,855"
758k,10.9k
790k,"4,361"
949k,18.7k
750k,"5,046"
573k,"4,035"
563k,"2,779"
633k,"5,839"
573k,"4,035"
563k,"2,779"
633k,"5,839"
532k,"3,505"
632k,"4,168"
554k,"4,252"
766k,"6,056"
526k,"3,200"
786k,31.6k
1m,"7,721"
685k,"5,961"
641k,"4,215"
664k,"5,272"
676k,"4,999"
798k,"6,855"
537k,"3,924"
646k,"5,746"
691k,"5,420"
511k,"3,579"
689k,"5,871"
790k,"6,180"
511k,"3,579"
689k,"5,871"
790k,"6,180"
336k,"1,477"
608k,"3,707"
523k,"3,579"
880k,"8,092"
604k,"3,867"
787k,"6,071"
877k,"8,131"
843k,"5,891"
628k,"4,034"
760k,"7,263"
696k,"5,399"
616k,"4,645"
633k,"5,088"
671k,"5,125"
960k,"9,813"
595k,"2,969"
897k,"8,515"
665k,"5,402"
595k,"2,969"
897k,"8,515"
665k,"5,402"
740k,"7,543"
1.2m,16.5k
705k,"5,760"
834k,10.3k
1.3m,"6,182"
1m,27.9k
344k,"5,757"
462k,"3,455"
532k,"2,953"
854k,"6,015"
361k,"1,402"
1.8m,24.5k
1.5m,"9,024"
550k,"2,967"
683k,13.7k
828k,"6,088"
588k,"3,400"
700k,"5,467"
828k,"6,088"
588k,"3,400"
700k,"5,467"
719k,"5,896"
822k,"7,659"
1.3m,26.2k
683k,"4,209"
793k,"5,858"
944k,"9,482"
874k,"9,213"
718k,"4,536"
830k,"6,307"
665k,"4,840"
928k,"8,519"
557k,"3,993"
748k,"5,840"
698k,"4,894"
638k,"4,269"
495k,"3,058"
577k,"4,447"
678k,"6,203"
495k,"3,058"
577k,"4,447"
678k,"6,203"
742k,"9,493"
614k,"4,389"
875k,"7,500"
856k,13.8k
566k,"2,535"
572k,"3,651"
820k,12k
844k,"6,796"
644k,"5,298"
720k,"6,339"
813k,"6,043"
839k,"6,317"
872k,"7,922"
880k,"6,354"
821k,"6,795"
741k,"6,709"
614k,"5,644"
1.2m,19.2k
696k,"5,309"
979k,"9,313"
780k,"6,484"
696k,"5,309"
979k,"9,313"
780k,"6,484"
666k,"5,401"
1.2m,11.5k
1m,11.3k
503k,"2,656"
860k,"7,358"
604k,"4,613"
941k,"6,943"
513k,"1,800"
510k,"2,563"
810k,"6,891"
701k,"4,735"
834k,"4,030"
675k,"6,064"
805k,"6,410"
679k,"5,640"
1m,"8,585"
551k,"3,515"
416k,"2,181"
1m,"8,585"
551k,"3,515"
416k,"2,181"
570k,"4,363"
469k,"3,255"
583k,"3,797"
772k,"7,173"
861k,"9,334"
679k,"5,538"
867k,"9,027"
945k,"8,928"
697k,"5,812"
731k,"6,819"
814k,"7,236"
693k,"5,382"
717k,"6,692"
860k,"6,806"
505k,"3,552"
780k,"5,398"
1.1m,11.4k
1.1m,20k
780k,"5,398"
1.1m,11.4k
1.1m,20k
1m,14.9k
1.2m,19.6k
1.8m,14.8k
913k,"9,388"
946k,19.9k
1m,12.8k
889k,12.9k
1m,10.2k
733k,"5,080"
1.2m,16.7k
616k,"4,667"
3.3m,35.6k
951k,"1,925"
822k,"6,092"
1.8m,10.4k
770k,"5,301"
1.5m,26.8k
691k,"4,599"
770k,"5,301"
1.5m,26.8k
691k,"4,599"
2.5m,59.1k
1m,12k
1.2m,23k
916k,"5,398"
477k,"2,170"
971k,"7,572"
606k,"2,468"
429k,"5,033"
1.6m,23.4k
813k,"2,311"
1.7m,16.2k
737k,"4,445"
842k,"7,595"
1m,11.7k
1.5m,13.8k
922k,"4,350"
947k,"9,020"
559k,"3,360"
922k,"4,350"
947k,"9,020"
559k,"3,360"
