likes,comments
2.1m,112
1.7m,70
1.7m,59
2.2m,58
1m,35
7.3m,86
5.1m,48
8.1m,67
2.5m,42
2.6m,40
4.5m,80
4.9m,152
7.9m,57
2.9m,163
939k,76
12.8m,49
15.5m,67
2.7m,"6,059"
3.1m,26.1k
17.1m,47.2k
1.2m,820
8m,87k
7.4m,94.7k
7.1m,87.1k
11.2m,335k
1.5m,0
1m,0
3m,0
10.6m,0
1.3m,0
3m,0
10.6m,0
1.3m,0
2.7m,0
11.8m,0
9.6m,0
19.3m,0
1.6m,0
5m,0
9.2m,19.1k
4.8m,0
5.3m,0
1.5m,21.2k
2.4m,55.6k
1.8m,47.7k
1.5m,21.2k
2.4m,55.6k
1.8m,47.7k
12.4m,36.2k
5.5m,34.7k
11.8m,56.8k
8.3m,12.2k
1.4m,10.2k
2.8m,0
3.4m,35.1k
15.2m,0
2.1m,12.7k
3.7m,46.1k
13.4m,34.4k
3m,36.6k
11.5m,13.8k
10.9m,26.8k
6.5m,39.4k
6.4m,16.6k
1.8m,23.6k
698k,13.9k
6.4m,16.6k
1.8m,23.6k
698k,13.9k
25.8m,0
1.9m,12.2k
1.7m,11.9k
2.4m,"5,170"
10.8m,32.2k
1.8m,13.5k
9.1m,12.4k
8.7m,21k
2.4m,21.4k
393k,"7,180"
4.9m,"9,699"
12.5m,23.4k
1.3m,26.8k
5.6m,10.2k
3.3m,13.2k
5.2m,54.4k
3.1m,43.3k
3.3m,58.4k
5.2m,54.4k
3.1m,43.3k
3.3m,58.4k
4.3m,76.2k
3.7m,63.7k
2.5m,12.2k
10.2m,38.3k
5.7m,27.8k
3.6m,83.9k
917k,39.4k
2.6m,34.3k
2.5m,27.3k
6.8m,"8,696"
7.4m,23.8k
572k,15.8k
1.4m,13.8k
1.3m,13.8k
362k,"6,774"
757k,"4,341"
1.3m,"9,836"
1m,"6,229"
757k,"4,341"
1.3m,"9,836"
1m,"6,229"
1.6m,13.3k
5.9m,13.2k
3.3m,24.9k
3.2m,42k
8m,27.6k
1m,"6,287"
6.8m,52k
454k,"5,147"
2.4m,69.3k
2.1m,28.8k
584k,"3,426"
2.9m,"8,324"
564k,"4,822"
744k,"6,089"
495k,"2,841"
1.2m,10.5k
3.7m,"9,072"
1.9m,23.2k
1.2m,10.5k
3.7m,"9,072"
