likes,comments
67.2k,359
49.4k,299
65.5k,186
107k,986
30k,282
240k,"1,596"
92.7k,361
99.4k,436
110k,841
77.1k,377
76.1k,317
70.8k,391
121k,583
142k,"1,085"
122k,582
78.5k,651
79.2k,472
87.2k,488
101k,417
75k,661
91.5k,502
103k,350
39k,220
36.4k,567
102k,318
133k,432
105k,418
112k,851
,0
77.2k,282
112k,851
222k,"1,774"
77.2k,282
164k,298
27.4k,313
126k,"1,306"
117k,557
60.6k,306
59.6k,"5,824"
117k,557
60.6k,306
59.6k,"5,824"
185k,689
128k,638
78.9k,351
89.8k,430
152k,967
885k,"1,577"
54.1k,236
102k,"1,520"
110k,376
123k,643
187k,"1,088"
220k,"1,768"
151k,928
118k,743
40k,210
76.1k,316
39.8k,158
132k,824
76.1k,316
39.8k,158
132k,824
81.7k,354
32.4k,129
133k,788
133k,564
121k,387
118k,157
115k,910
180k,261
76.3k,345
71.6k,367
57.8k,493
125k,589
113k,625
129k,"1,391"
89.3k,706
132k,"1,026"
120k,851
118k,580
132k,"1,026"
120k,851
118k,580
91.1k,537
242k,624
244k,859
89.5k,560
120k,693
156k,841
82.2k,462
111k,652
246k,"2,127"
141k,"2,475"
747k,"2,376"
55.5k,221
107k,110
390k,588
275k,"2,643"
62.2k,310
144k,"1,282"
94.2k,562
80.1k,417
181k,294
72.1k,361
80.1k,417
181k,294
72.1k,361
45.2k,499
104k,"2,128"
148k,620
152k,820
122k,659
189k,"3,881"
92.4k,578
201k,933
148k,230
75.1k,405
93.9k,784
369k,630
239k,368
114k,538
149k,780
105k,715
80.7k,416
126k,"1,030"
105k,715
80.7k,416
126k,"1,030"
99.4k,604
59.9k,270
109k,"1,033"
71.7k,681
411k,"1,364"
114k,662
219k,"2,232"
138k,821
100k,620
75.5k,378
219k,488
39.3k,251
89.9k,285
103k,649
158k,964
105k,812
58.4k,402
87.5k,428
105k,812
58.4k,402
87.5k,428
1.4m,"1,771"
120k,831
76k,683
518k,"2,049"
290k,27.2k
109k,680
104k,611
157k,"1,152"
269k,901
206k,"2,142"
209k,"2,299"
490k,"2,014"
940k,"1,041"
1.4m,"1,927"
174k,"8,758"
96.1k,661
105k,820
102k,554
96.1k,661
105k,820
102k,554
132k,702
138k,548
111k,608
1.3m,"7,838"
121k,"1,198"
544k,"1,150"
142k,"1,597"
105k,589
134k,736
138k,377
166k,"1,365"
93.9k,506
149k,"1,742"
77.9k,613
54k,215
123k,"1,016"
74.4k,474
166k,"1,127"
123k,"1,016"
74.4k,474
166k,"1,127"
102k,524
65.6k,482
132k,"1,483"
77.6k,459
106k,584
93.3k,"1,958"
173k,"1,266"
113k,759
97.5k,526
190k,"1,614"
156k,746
177k,"1,181"
75.2k,495
79.5k,520
240k,709
47k,192
54k,257
94.9k,540
47k,192
54k,257
94.9k,540
90.7k,565
173k,"1,639"
117k,"1,126"
244k,"1,696"
136k,"1,015"
193k,533
56.1k,202
79.8k,503
113k,"1,145"
77.5k,517
76.8k,303
217k,"2,303"
143k,"1,210"
99.5k,640
64.8k,479
121k,"1,099"
55.4k,309
123k,"1,314"
121k,"1,099"
55.4k,309
123k,"1,314"
111k,827
84.7k,430
169k,"1,783"
135k,841
80.1k,729
