likes,comments
917k,"3,607"
2.2m,18k
757k,882
2m,13.7k
1.4m,"7,198"
1.4m,"8,797"
1.4m,"4,522"
808k,"3,388"
1.3m,"7,847"
1m,"3,648"
1.6m,"4,874"
1.1m,"4,206"
1.3m,"6,730"
1.5m,"4,323"
1.6m,"7,089"
1.1m,"5,022"
1.3m,"4,702"
967k,"2,969"
1.3m,"5,136"
1.9m,"4,262"
1.3m,"4,705"
2m,"8,530"
1.3m,"4,783"
1.7m,"7,654"
1.5m,"6,520"
1.1m,"2,589"
1.4m,"5,664"
9.3m,10.2k
2m,14.3k
1.6m,"1,427"
9.3m,10.2k
2m,14.3k
1.6m,"1,427"
1.1m,"3,154"
1.5m,"5,387"
2m,"8,783"
1.8m,"8,496"
2.1m,13.2k
1.3m,"5,380"
1.7m,11.6k
1.8m,"7,874"
1.7m,10.4k
1.9m,"9,789"
1.3m,"5,952"
2m,"7,844"
1.9m,"9,789"
1.3m,"5,952"
2m,"7,844"
1.4m,"6,984"
2.6m,"9,304"
2.4m,"2,833"
2.2m,17.5k
1.5m,"5,546"
1.9m,"8,777"
2.7m,"4,975"
1.7m,"5,860"
1.4m,"5,771"
2.5m,"9,169"
2.8m,15.8k
2.2m,"9,293"
4.4m,14.3k
1.5m,"9,103"
1.7m,"7,772"
2.7m,12.5k
2.1m,14.1k
1.5m,"8,265"
2.7m,12.5k
2.1m,14.1k
1.5m,"8,265"
1.6m,"7,620"
1.2m,"5,344"
1.2m,"4,669"
601k,667
2.6m,14.6k
1.7m,"7,499"
2.5m,"4,276"
1.9m,"9,455"
1.8m,13.4k
857k,"3,132"
1.8m,"1,234"
2m,10.3k
1.8m,17.7k
1.3m,"6,760"
1.5m,"5,673"
1.7m,"8,809"
3.3m,40.7k
1.5m,"1,104"
1.7m,"8,809"
3.3m,40.7k
1.5m,"1,104"
1.8m,"5,808"
2.5m,"9,501"
1.8m,"6,070"
2.2m,15.4k
1.4m,"6,417"
2.3m,"8,952"
3.1m,20.8k
2.2m,19.2k
2.3m,14.3k
355k,"1,265"
1m,"4,134"
7.1m,13.6k
3.7m,50.8k
4.5m,98.7k
2.5m,25.3k
2.6m,11.6k
4.2m,"6,736"
1.3m,"3,157"
2.6m,11.6k
4.2m,"6,736"
1.3m,"3,157"
2m,13.5k
2.1m,17.2k
1.9m,"6,711"
1.3m,"7,655"
3.4m,"2,928"
1.3m,"4,792"
1.2m,"2,910"
1.6m,"7,019"
1.6m,"5,274"
1.2m,"5,400"
1.3m,"5,800"
1.4m,"2,910"
1m,"2,866"
997k,741
842k,"2,208"
922k,"3,552"
1.7m,"3,640"
1.9m,"2,110"
922k,"3,552"
1.7m,"3,640"
1.9m,"2,110"
1.5m,"4,496"
2.1m,"7,914"
1.8m,"8,428"
1.2m,"6,373"
1.8m,"6,890"
1.5m,"5,420"
1.7m,"5,873"
865k,"2,970"
1.2m,"4,637"
922k,"2,417"
1.8m,"1,599"
1.2m,"2,269"
2.4m,"9,412"
2.2m,"4,170"
1m,"4,370"
1.4m,"7,343"
2m,"2,479"
1.8m,24k
1.4m,"7,343"
2m,"2,479"
1.8m,24k
681k,68k
1.2m,"5,686"
1.1m,"5,011"
982k,"3,109"
1.1m,"3,287"
1.1m,"5,463"
2.2m,"9,971"
1.2m,"3,111"
2.1m,"6,960"
1.2m,"3,839"
2.3m,15.1k
2.2m,18.3k
1.5m,10.8k
1.6m,"6,527"
2.6m,14.4k
1.9m,"7,920"
1.9m,"8,263"
2m,14.4k
1.2m,"5,323"
970k,"1,747"
1.8m,11.2k
1.2m,"5,323"
970k,"1,747"
1.8m,11.2k
1.6m,"6,237"
1.4m,"5,244"
764k,"4,189"
2m,"7,972"
3.6m,20.8k
678k,"1,685"
1.4m,"6,383"
1.6m,"8,067"
1.8m,18.4k
1.7m,"5,524"
1.2m,"2,951"
1.7m,11.3k
873k,"1,709"
1m,"2,614"
1.9m,"8,770"
2.1m,16.9k
989k,"2,661"
968k,"3,878"
2.1m,16.9k
989k,"2,661"
968k,"3,878"
2m,"9,615"
1.1m,"5,868"
690k,"2,856"
1.3m,10.2k
907k,"5,009"
751k,"2,885"
1.6m,10.2k
904k,"3,380"
1m,"2,854"
1.2m,"4,587"
1.1m,"5,041"
1.2m,10.4k
1.1m,"3,314"
1.2m,"5,283"
2.6m,12.3k
2m,18.6k
1m,"4,140"
2.1m,16.6k
2m,18.6k
1m,"4,140"
2.1m,16.6k
1.6m,10.5k
2.2m,14.7k
1.2m,26.8k
1.9m,23k
2.4m,"5,936"
1.9m,11.8k
1.2m,"4,929"
1m,"3,598"
1.8m,14k
1.4m,"3,419"
3.6m,18.3k
3.5m,44.6k
1m,"5,798"
1.8m,11.5k
1.8m,"6,965"
1.3m,"5,849"
2.3m,15k
1.4m,"8,898"
1.3m,"5,849"
2.3m,15k
1.4m,"8,898"
1.7m,"7,827"
1.3m,"7,984"
988k,"3,257"
1.5m,"6,845"
1.7m,"7,583"
785k,"1,808"
855k,"3,048"
1.3m,"7,493"
936k,"4,224"
1.3m,"4,564"
1.1m,"7,037"
1.5m,"4,883"
1.5m,10.1k
1.5m,19.1k
1.4m,"6,429"
1.3m,"6,867"
1.4m,"5,855"
1m,"3,630"
1.3m,"6,867"
1.4m,"5,855"
1m,"3,630"
1.8m,"8,146"
1.6m,12.4k
1.2m,"7,981"
967k,"2,891"
1.6m,10.7k
654k,"1,670"
1.7m,11k
4.8m,"3,120"
1.8m,10.4k
1.8m,10k
2m,17.5k
2m,12.7k
1.5m,"8,979"
7.6m,"9,237"
1.4m,"4,981"
1.7m,10.9k
1m,"3,125"
1.9m,10.2k
1.7m,10.9k
1m,"3,125"
1.9m,10.2k
1.2m,"1,666"
1.4m,"8,268"
1.2m,"1,703"
1m,"6,129"
809k,"4,113"
1.5m,"2,127"
1.5m,"5,490"
1m,"3,945"
3.2m,"9,536"
891k,"1,186"
1.9m,"7,241"
2.7m,18.7k
830k,"3,218"
2m,"2,776"
1.6m,"7,555"
1.1m,"5,563"
1.1m,"3,925"
761k,"2,185"
1.1m,"5,563"
1.1m,"3,925"
761k,"2,185"
1.3m,12.3k
1.7m,"7,857"
1.1m,"5,619"
1.5m,"8,751"
1.1m,"5,919"
1.1m,"4,927"
2.5m,"3,058"
1.5m,"8,858"
1.2m,"5,715"
2.4m,14k
1.7m,"8,152"
2.1m,12.4k
1.9m,16.6k
517k,"2,825"
1.1m,"4,689"
1m,"3,233"
912k,"1,080"
1.2m,"3,907"
636k,"2,375"
782k,"2,009"
1m,"4,754"
636k,"2,375"
782k,"2,009"
1m,"4,754"
1.3m,"2,121"
1.2m,"7,903"
627k,"1,997"
2m,"9,753"
1.6m,"6,835"
830k,"2,534"
1m,"5,074"
1.7m,10.5k
1.6m,"2,038"
1.8m,10.3k
3.5m,"2,221"
1.3m,"5,733"
3.3m,"2,709"
1.6m,"7,701"
2.4m,16.3k
1.8m,"8,959"
1.4m,"3,173"
1.7m,"5,856"
1.8m,"8,959"
1.4m,"3,173"
1.7m,"5,856"
1.7m,"7,818"
1.4m,"4,488"
1.6m,"4,845"
1.2m,"3,128"
2.1m,"4,240"
2.6m,10.4k
1m,"1,752"
3.1m,16k
2.2m,"7,113"
2.3m,"9,950"
1m,"3,846"
1.8m,"5,886"
1.3m,"3,242"
1.4m,"5,922"
1.6m,"3,586"
1.3m,"2,136"
1.1m,"3,950"
654k,"1,391"
1.3m,"2,136"
1.1m,"3,950"
654k,"1,391"
1.8m,12k
2m,"4,020"
1.5m,"7,140"
885k,"2,901"
1.2m,"5,232"
1.1m,"6,022"
2.8m,"9,642"
1.2m,"5,822"
2m,"8,940"
2.9m,13.5k
1.3m,"2,728"
1.3m,"3,611"
1.7m,"2,676"
1.3m,"6,128"
826k,760
2.3m,"1,948"
2.2m,12.5k
1.2m,"2,886"
2.3m,"1,948"
2.2m,12.5k
1.2m,"2,886"
1.3m,"4,697"
1.3m,"4,346"
1m,"2,371"
2.6m,"3,621"
2m,17.4k
1.2m,"5,547"
1.2m,12.1k
1.7m,"6,383"
1m,"4,082"
889k,"2,269"
1.8m,10.5k
1.4m,"4,821"
2m,21.5k
1.6m,15k
1m,"3,512"
1.9m,"9,239"
863k,"3,853"
1.1m,"4,438"
1.9m,"9,239"
863k,"3,853"
1.1m,"4,438"
1.2m,"5,624"
1.4m,"5,029"
1.9m,10.4k
2.2m,26.5k
5m,"5,600"
1.3m,"4,308"
1.8m,"9,874"
1.6m,"6,722"
3.8m,21.7k
729k,"2,878"
1.8m,10.4k
1.2m,"3,386"
2m,10.9k
1.2m,"6,779"
1.5m,"7,210"
1.3m,"5,291"
1.2m,"7,941"
1.9m,11.2k
1.3m,"5,291"
1.2m,"7,941"
1.9m,11.2k
850k,"3,057"
829k,"3,597"
864k,"4,111"
1m,"5,026"
702k,"3,649"
1.3m,"5,088"
1.7m,10.7k
1.5m,"6,640"
3.1m,27.8k
1.4m,"5,839"
1.2m,"3,044"
1.5m,"6,334"
1.6m,"4,666"
2m,12.5k
2.4m,20.6k
1.3m,"5,009"
1.6m,"8,004"
2.4m,"2,622"
1.3m,"5,009"
1.6m,"8,004"
2.4m,"2,622"
915k,"2,657"
1.4m,"6,115"
1.2m,"4,873"
1.1m,"3,449"
1.4m,"5,788"
1.5m,"2,035"
877k,"3,784"
1.4m,"5,139"
1.3m,"5,870"
1.7m,"4,498"
1m,"3,621"
1.6m,"7,659"
1.1m,"3,887"
4.2m,11.1k
1.4m,"6,348"
2m,11.9k
1.4m,"4,122"
1.7m,10.1k
2m,11.9k
1.4m,"4,122"
1.7m,10.1k
1.5m,"6,440"
1.7m,"5,946"
2.3m,"7,789"
4m,29.3k
1.3m,"5,158"
3.8m,11.8k
1.8m,"7,660"
1.3m,"6,990"
2.4m,16.6k
2.1m,11.3k
1.5m,"8,013"
2.6m,27.9k
2.2m,25.4k
2.3m,"3,911"
1.5m,10.4k
1.7m,"6,723"
2m,"2,750"
1.7m,17.7k
3.3m,45.1k
2.1m,19.8k
3m,93.1k
3.3m,45.1k
2.1m,19.8k
3m,93.1k
1.9m,44.7k
1.8m,26.5k
2.4m,48k
1.6m,20.5k
1.9m,22.6k
2.3m,37.6k
883k,"5,387"
1.4m,"9,183"
837k,"4,816"
1.7m,12.7k
1.4m,12.7k
3.2m,"5,655"
2.2m,"1,437"
786k,"2,128"
1.3m,"5,950"
809k,"2,191"
929k,"4,293"
982k,"4,208"
809k,"2,191"
929k,"4,293"
982k,"4,208"
1m,"5,174"
1.6m,"8,853"
959k,"4,141"
916k,"3,657"
1.5m,12.3k
1.3m,11.1k
2.6m,"5,267"
1.5m,"5,170"
1.8m,"5,263"
1.3m,"4,980"
1.3m,12.4k
756k,"3,425"
1.8m,"6,530"
1.1m,"4,483"
1m,"6,315"
1.6m,13.7k
1.6m,"7,583"
1m,"5,864"
1.6m,13.7k
1.6m,"7,583"
1m,"5,864"
822k,"4,994"
1m,"6,826"
1.2m,"9,724"
1.3m,13.2k
958k,"6,020"
801k,"4,328"
1.3m,"9,831"
1.1m,10k
1m,36.2k
834k,"4,250"
1.4m,"8,158"
858k,"4,124"
1.5m,11.3k
1.6m,29.3k
841k,"7,978"
1.1m,"2,432"
1.2m,"9,217"
1.2m,"9,510"
1.1m,"2,432"
1.2m,"9,217"
1.2m,"9,510"
1.3m,"5,760"
1.1m,"7,476"
920k,"2,214"
951k,"5,420"
1.1m,"4,662"
626k,"2,247"
1m,"5,423"
727k,"3,558"
1m,"8,903"
840k,"4,101"
932k,"8,745"
627k,"2,471"
853k,"5,063"
249k,"2,186"
1.6m,15k
1.7m,20.2k
1.1m,"6,150"
919k,"2,360"
1.7m,20.2k
1.1m,"6,150"
919k,"2,360"
1.1m,"4,245"
2.4m,10.1k
1.2m,10.3k
1.1m,"8,281"
929k,"3,423"
766k,"3,247"
1.3m,"6,163"
413k,"1,591"
530k,"2,107"
1.4m,11.8k
1m,"4,582"
1m,"5,289"
805k,"4,433"
1m,"4,273"
1.2m,"5,886"
