likes,comments
2.4m,23k
1.3m,"7,131"
2.8m,16k
1.8m,"4,908"
1.7m,"4,983"
4.4m,97.3k
2.4m,12.6k
2.6m,11.9k
3.3m,11.7k
2.5m,11.1k
1.9m,"9,469"
2.2m,42.9k
2.3m,22.2k
2m,"8,178"
2.9m,15.5k
1.4m,"6,271"
2m,10.1k
4.3m,29.3k
3.6m,28.9k
2.8m,14k
3.1m,13.9k
3.6m,58.2k
5m,44.5k
4.8m,36.1k
8.5m,31.9k
5.3m,34k
10.7m,379k
2.8m,15.8k
2.4m,38.8k
1.5m,12.3k
1.9m,17.8k
1.6m,14.9k
1.3m,"7,205"
1.8m,11.1k
2.5m,17.1k
2.5m,14.2k
1.8m,11.1k
2.5m,17.1k
2.5m,14.2k
1.1m,"9,881"
1.7m,19.5k
1.1m,"8,613"
1.8m,15.8k
2m,17.3k
2.9m,46.8k
1.7m,26.7k
2.5m,37.2k
2.2m,19.4k
1.6m,29.2k
1m,10.9k
1m,"7,413"
909k,11.2k
1.2m,11.4k
1m,"7,469"
958k,"6,713"
1.5m,25k
1.3m,"6,800"
958k,"6,713"
1.5m,25k
1.3m,"6,800"
1.2m,"8,977"
1.1m,10.6k
882k,"9,801"
1.4m,22k
1m,10.2k
959k,25.3k
960k,"5,776"
1m,"8,822"
759k,"6,198"
1.1m,11.8k
1m,"7,012"
806k,"5,110"
1.1m,11k
1.4m,"9,329"
883k,"8,080"
1m,10k
645k,"9,225"
824k,"5,575"
1m,10k
645k,"9,225"
824k,"5,575"
995k,"6,086"
1.2m,"7,524"
1.1m,16.2k
728k,"3,140"
859k,"8,654"
1.2m,"7,273"
810k,11k
889k,"4,150"
977k,"6,471"
477k,14.5k
521k,"3,703"
1.2m,24.5k
674k,14.6k
868k,"6,964"
736k,"8,167"
743k,"7,333"
793k,13.6k
642k,"6,203"
743k,"7,333"
793k,13.6k
642k,"6,203"
744k,"5,250"
551k,"5,535"
688k,"7,302"
1.1m,13.2k
555k,21.3k
1.1m,19k
750k,"4,461"
997k,12.7k
805k,11.4k
3.4m,"8,829"
695k,"5,919"
359k,"1,956"
754k,"6,853"
795k,12.2k
507k,"4,520"
2m,"3,804"
554k,"1,917"
708k,"5,010"
2m,"3,804"
554k,"1,917"
708k,"5,010"
578k,"2,738"
684k,"5,065"
577k,"4,518"
334k,"1,357"
487k,"3,009"
965k,24.5k
710k,"5,887"
494k,"1,712"
574k,"2,454"
875k,"4,203"
573k,"4,174"
2.5m,"5,703"
438k,"1,747"
589k,"5,534"
1.5m,"2,455"
1.8m,"3,520"
669k,"5,041"
444k,"1,171"
1.8m,"3,520"
669k,"5,041"
444k,"1,171"
335k,"1,942"
650k,"9,821"
489k,"2,233"
646k,"2,470"
712k,"4,778"
592k,"6,063"
708k,"4,162"
915k,10.6k
641k,"6,001"
817k,26.9k
305k,"3,331"
613k,"6,874"
546k,161k
733k,"4,881"
424k,"5,767"
744k,"6,937"
458k,"3,762"
587k,"6,366"
744k,"6,937"
458k,"3,762"
587k,"6,366"
521k,"3,099"
325k,"3,202"
596k,"5,187"
585k,"4,430"
720k,"3,178"
613k,"7,300"
659k,"6,133"
672k,"7,427"
527k,"4,783"
453k,"3,619"
607k,"2,921"
504k,"2,068"
545k,"3,057"
200k,"2,402"
449k,"5,374"
546k,"7,869"
521k,11.4k
978k,"2,744"
546k,"7,869"
521k,11.4k
978k,"2,744"
530k,"6,370"
347k,"1,983"
355k,"3,190"
527k,11.1k
415k,"2,645"
496k,"4,971"
499k,"2,702"
568k,"3,332"
477k,"3,800"
686k,"7,670"
478k,"4,855"
363k,"8,305"
348k,"2,463"
548k,"3,902"
590k,10.4k
493k,12k
506k,"2,721"
441k,"2,311"
566k,"3,588"
502k,"4,508"
483k,"2,999"
566k,"3,588"
502k,"4,508"
483k,"2,999"
534k,"4,501"
672k,10.6k
352k,"7,282"
301k,10.6k
231k,"7,982"
317k,"1,640"
214k,"2,774"
224k,"2,678"
550k,"3,029"
758k,"6,079"
248k,"2,200"
271k,"2,604"
289k,"4,485"
451k,"3,086"
439k,"3,096"
335k,"1,621"
260k,"1,079"
428k,"4,240"
335k,"1,621"
260k,"1,079"
428k,"4,240"
343k,"4,001"
477k,"2,654"
1m,"1,827"
382k,"2,116"
591k,"5,582"
381k,"1,220"
559k,"5,805"
595k,"9,275"
579k,"6,296"
500k,"3,996"
302k,"4,112"
461k,"3,595"
344k,"7,268"
588k,19k
488k,"4,639"
464k,10.1k
618k,"7,431"
530k,"8,104"
464k,10.1k
618k,"7,431"
530k,"8,104"
792k,29.5k
373k,"1,989"
529k,"6,796"
643k,"6,294"
316k,23.8k
335k,"4,057"
534k,"4,081"
560k,"5,578"
500k,"6,881"
483k,"9,082"
519k,"5,329"
1.2m,"4,946"
412k,"6,159"
1.3m,"4,538"
276k,21.7k
451k,"7,861"
311k,"3,837"
510k,16.1k
451k,"7,861"
311k,"3,837"
510k,16.1k
1.2m,"5,652"
540k,"9,216"
274k,"4,425"
454k,"7,055"
434k,"3,556"
507k,"6,984"
478k,"6,451"
205k,"5,490"
533k,"6,237"
156k,"2,523"
230k,"3,604"
532k,"8,394"
366k,"3,608"
535k,"6,665"
1.4m,"5,598"
205k,"4,296"
445k,"8,169"
470k,"3,273"
205k,"4,296"
445k,"8,169"
470k,"3,273"
457k,"7,358"
373k,"3,058"
496k,"4,670"
482k,"4,377"
368k,"2,521"
377k,"4,612"
438k,"9,716"
408k,"2,908"
425k,"4,219"
438k,"9,716"
408k,"2,908"
425k,"4,219"
438k,"9,716"
408k,"2,908"
425k,"4,219"
438k,"9,716"
408k,"2,908"
425k,"4,219"
417k,"4,771"
