likes,comments
1.1m,"1,201"
2.7m,"3,273"
1.4m,"1,466"
1.1m,"4,214"
4.4m,"2,724"
1.5m,"2,747"
1.9m,"1,503"
1m,"1,182"
1.3m,"1,162"
1.4m,"1,345"
2.7m,"2,287"
3.9m,"2,567"
3.6m,"2,813"
304k,"2,436"
221k,"1,249"
285k,"1,922"
376k,"3,906"
3.9m,"4,336"
1.3m,"6,471"
518k,"1,792"
239k,"1,132"
5.1m,"8,395"
2.7m,"8,988"
2m,13.4k
1m,"5,585"
340k,"2,569"
2.5m,12.9k
768k,"5,916"
995k,"3,125"
1.7m,"9,402"
768k,"5,916"
995k,"3,125"
1.7m,"9,402"
335k,"2,420"
7.3m,"7,185"
1m,"5,964"
1.4m,10.3k
325k,"2,084"
1.5m,"2,751"
345k,"1,714"
1.2m,"5,410"
751k,"3,552"
3.2m,"2,342"
2.4m,"9,809"
2.3m,"7,885"
3.2m,"2,342"
2.4m,"9,809"
2.3m,"7,885"
,0
7.9m,"6,026"
1.1m,"3,270"
4.7m,"3,993"
1.8m,"9,774"
1m,"4,731"
5.5m,"7,305"
396k,"2,126"
4.2m,"5,079"
3m,13k
1.7m,"3,502"
1.2m,"5,418"
4.5m,35.2k
959k,"2,776"
633k,"3,301"
2m,"2,759"
5.7m,21.3k
2m,"6,291"
2m,"2,759"
5.7m,21.3k
2m,"6,291"
583k,"3,014"
572k,"3,653"
1.2m,"5,874"
2.4m,"3,916"
731k,"2,196"
3.9m,"4,409"
3.1m,16.6k
1m,"3,969"
1.2m,"9,536"
479k,18.6k
1.6m,"6,862"
2.2m,"6,023"
2m,"7,813"
2.2m,12.8k
1.3m,"3,854"
5.7m,"6,410"
244k,"1,283"
1.3m,"5,898"
5.7m,"6,410"
244k,"1,283"
1.3m,"5,898"
4.2m,"4,104"
11.7m,12k
1.1m,"4,655"
1m,"3,644"
4.1m,"2,914"
1.9m,"1,252"
1.4m,"4,024"
2.8m,11k
889k,640
2.4m,"2,378"
965k,"3,686"
8.8m,"4,836"
188k,843
2.7m,13.1k
2.2m,"1,195"
654k,"1,606"
2.5m,12.8k
2.5m,"7,862"
654k,"1,606"
2.5m,12.8k
2.5m,"7,862"
654k,"1,606"
2.5m,12.8k
2.5m,"7,862"
654k,"1,606"
2.5m,12.8k
2.5m,"7,862"
1.5m,"7,454"
872k,718
3.2m,"5,007"
195k,959
4.3m,"4,834"
1.2m,"6,062"
334k,"2,343"
241k,"1,046"
321k,"1,242"
242k,776
533k,"2,807"
5.7m,"6,627"
242k,776
533k,"2,807"
5.7m,"6,627"
3.9m,"3,068"
2.2m,"6,985"
1.1m,"1,125"
1.1m,"3,344"
322k,"1,216"
,0
1.1m,"3,344"
322k,"1,216"
6.6m,"5,562"
1.7m,"1,673"
2.8m,"5,932"
1.7m,"2,640"
2.8m,"6,692"
1.7m,"4,745"
1.8m,"6,712"
1.3m,"4,246"
1m,"2,947"
973k,"3,884"
1.3m,"4,246"
1m,"2,947"
973k,"3,884"
1.3m,"4,246"
1m,"2,947"
973k,"3,884"
1.3m,"4,246"
1m,"2,947"
973k,"3,884"
623k,"4,052"
2.5m,"9,526"
2.2m,"6,207"
1.9m,"7,125"
416k,"1,727"
2.1m,"7,208"
1.4m,"6,181"
3m,38.1k
3.3m,13.6k
2.7m,"9,008"
2m,"3,925"
2.1m,"1,100"
2.4m,"9,471"
5.5m,"1,717"
801k,"1,790"
2.4m,"9,471"
5.5m,"1,717"
801k,"1,790"
1m,"2,423"
275k,611
1.8m,"1,140"
393k,"1,651"
923k,"2,425"
632k,"1,693"
1.1m,"2,620"
1.7m,"7,305"
662k,"1,266"
14m,11.1k
4.6m,"3,206"
943k,"2,210"
708k,"2,673"
1.4m,"4,805"
2.1m,"8,575"
2.7m,"6,973"
1.6m,"2,610"
8.3m,"5,734"
2.7m,"6,973"
1.6m,"2,610"
8.3m,"5,734"
1.9m,"5,056"
2.4m,"5,140"
1.8m,"3,421"
1.2m,"1,899"
3.2m,"1,653"
1.4m,"1,921"
1.5m,"2,385"
2.6m,"6,468"
1.2m,"5,409"
1.9m,"1,813"
899k,"5,201"
1.2m,"5,683"
1.1m,"3,259"
1.2m,"3,881"
1m,"3,847"
738k,"2,184"
4.6m,"3,929"
1.1m,"2,646"
738k,"2,184"
4.6m,"3,929"
1.1m,"2,646"
686k,"1,197"
2.2m,10.6k
2.5m,"7,721"
11.3m,"4,781"
1.5m,"2,402"
820k,"1,952"
553k,"1,750"
2.8m,"1,171"
893k,"2,833"
1.7m,"4,336"
1.3m,"6,334"
998k,"1,492"
2m,"7,395"
2m,"3,033"
1.7m,15.5k
6.3m,"5,918"
2.4m,"1,256"
1.1m,"2,089"
6.3m,"5,918"
2.4m,"1,256"
1.1m,"2,089"
3.1m,"8,481"
1.7m,"6,080"
2.4m,"7,760"
10.8m,"6,855"
3.4m,11k
1.5m,"2,929"
11.6m,"9,062"
1.4m,"4,321"
727k,"1,874"
1.7m,"4,527"
1.3m,"3,526"
4.2m,"2,649"
2.5m,"1,408"
569k,"1,345"
777k,"1,730"
1m,"2,734"
398k,"1,067"
3.6m,"1,388"
1m,"2,734"
398k,"1,067"
3.6m,"1,388"
2.6m,"1,650"
6.3m,"5,656"
2.1m,"1,368"
2.5m,"2,763"
2.1m,"1,275"
818k,"1,897"
1.7m,"1,720"
1m,"2,157"
931k,"1,895"
937k,"2,885"
1.3m,"4,417"
867k,"2,430"
1.1m,"3,981"
2.6m,"1,390"
1.7m,869
1m,658
1.7m,"1,711"
670k,"3,768"
1m,658
1.7m,"1,711"
670k,"3,768"
3.2m,"1,527"
1.7m,"5,740"
900k,"2,718"
8.8m,16k
354k,"1,086"
4.2m,"2,570"
768k,"1,462"
1m,"2,115"
3.1m,"2,667"
3.1m,"6,088"
579k,"2,090"
1.3m,"3,539"
1.4m,"3,945"
1.1m,"4,151"
670k,"2,363"
392k,"2,176"
923k,"3,144"
628k,"1,557"
392k,"2,176"
923k,"3,144"
628k,"1,557"
1.5m,"3,829"
1.5m,"4,971"
4.6m,"5,805"
