likes,comments
594k,"1,606"
1.8m,"2,788"
1.1m,"2,938"
1.1m,"4,744"
547k,605
1m,"3,604"
1.1m,"4,100"
2.1m,12.8k
1.1m,556
1.3m,"1,535"
878k,"5,133"
1m,"1,492"
1.2m,"5,082"
994k,"4,353"
519k,"1,293"
729k,"2,587"
1.2m,"1,324"
786k,"3,781"
499k,603
1.2m,"7,189"
855k,"2,887"
868k,"1,668"
1.1m,"7,542"
607k,"2,882"
755k,"3,462"
879k,"4,869"
1.1m,"2,754"
662k,"2,958"
793k,"2,611"
533k,553
876k,"2,955"
1.2m,"2,506"
489k,"2,518"
596k,"2,489"
273k,"1,766"
2m,"2,469"
596k,"2,489"
273k,"1,766"
2m,"2,469"
1m,"4,907"
351k,"2,315"
393k,955
784k,"3,881"
453k,"1,062"
468k,945
463k,"1,075"
444k,993
446k,"1,154"
496k,"1,287"
498k,"1,174"
452k,"1,186"
632k,"1,761"
785k,"1,680"
390k,"1,061"
811k,623
537k,"1,285"
599k,"2,016"
811k,623
537k,"1,285"
599k,"2,016"
1.2m,"2,524"
451k,"1,864"
598k,604
572k,958
422k,"1,384"
714k,"2,184"
651k,"1,284"
601k,"1,874"
268k,428
758k,"2,940"
593k,"2,360"
713k,"2,292"
947k,"1,453"
1.1m,"3,029"
674k,"1,598"
534k,937
1m,"2,071"
421k,"1,277"
534k,937
1m,"2,071"
421k,"1,277"
316k,"1,206"
534k,"2,373"
619k,"1,538"
571k,753
703k,"2,781"
760k,"2,967"
521k,"1,437"
659k,"2,681"
711k,"1,269"
622k,"1,549"
776k,"1,792"
686k,"2,293"
781k,"2,092"
630k,"2,559"
609k,"1,560"
699k,"2,636"
607k,"1,492"
375k,864
699k,"2,636"
607k,"1,492"
375k,864
457k,"1,672"
539k,"1,316"
599k,"1,264"
773k,"2,009"
599k,"3,670"
288k,994
190k,476
589k,"1,794"
668k,"2,294"
313k,896
365k,425
687k,"3,200"
780k,"2,110"
679k,669
675k,"1,817"
1.2m,"1,459"
944k,"5,063"
467k,904
1.2m,"1,459"
944k,"5,063"
467k,904
1.5m,"1,361"
505k,"1,977"
584k,"2,959"
793k,"2,824"
746k,"2,100"
665k,"2,928"
682k,"2,971"
1.5m,"3,142"
931k,"1,415"
645k,"1,726"
513k,583
1m,"1,240"
505k,"1,474"
370k,834
657k,661
2m,"1,444"
577k,"1,433"
659k,"1,483"
2m,"1,444"
577k,"1,433"
659k,"1,483"
475k,782
458k,926
471k,867
522k,"1,397"
786k,"2,592"
385k,444
924k,"2,269"
534k,863
683k,"2,221"
1m,"3,227"
683k,"2,509"
718k,"1,985"
848k,"3,151"
729k,"2,139"
951k,"3,453"
751k,"3,230"
598k,"2,575"
717k,"3,015"
751k,"3,230"
598k,"2,575"
717k,"3,015"
799k,"3,254"
629k,"2,075"
765k,"4,402"
607k,"2,752"
513k,"1,416"
581k,"1,626"
898k,"2,516"
566k,"2,146"
746k,"4,593"
464k,"1,677"
552k,"2,119"
523k,"1,359"
441k,844
1.2m,851
567k,"1,217"
582k,"1,103"
795k,"2,192"
1.1m,"6,269"
582k,"1,103"
795k,"2,192"
1.1m,"6,269"
687k,"3,325"
589k,"1,840"
735k,"4,524"
378k,803
584k,"1,842"
504k,"1,168"
517k,"2,413"
467k,"1,624"
318k,815
280k,540
453k,"1,047"
576k,946
566k,"1,768"
457k,"1,307"
455k,"1,118"
313k,694
519k,"1,345"
352k,945
634k,"2,248"
380k,900
476k,"2,295"
634k,"2,248"
380k,900
476k,"2,295"
371k,"1,025"
474k,994
219k,412
308k,725
539k,"1,868"
449k,"1,757"
496k,"1,250"
359k,794
324k,"1,159"
448k,"1,182"
329k,"1,030"
266k,597
402k,"1,523"
342k,"1,035"
304k,728
585k,373
401k,906
366k,"1,438"
585k,373
401k,906
366k,"1,438"
602k,728
2.6m,"1,702"
305k,543
507k,"1,374"
426k,"1,251"
392k,"1,058"
423k,690
429k,"1,073"
166k,397
572k,"1,837"
533k,"1,940"
540k,"1,971"
555k,"2,075"
397k,970
1.1m,673
584k,"2,976"
598k,"1,619"
748k,"4,717"
584k,"2,976"
598k,"1,619"
748k,"4,717"
605k,"2,405"
597k,"1,092"
887k,"9,207"
417k,817
463k,"1,059"
655k,"2,380"
599k,"2,161"
818k,"2,793"
1.1m,959
536k,"2,097"
712k,"2,249"
420k,"1,047"
616k,"2,446"
475k,"1,133"
552k,"2,197"
587k,"1,962"
379k,"1,301"
310k,897
587k,"1,962"
379k,"1,301"
310k,897
454k,945
487k,645
326k,659
363k,698
432k,"1,078"
417k,940
484k,370
245k,344
465k,"1,825"
378k,267
365k,"1,666"
724k,897
295k,494
543k,481
469k,"1,446"
887k,943
388k,898
1.7m,515
887k,943
388k,898
1.7m,515
1m,"3,712"
311k,402
879k,426
384k,"1,391"
540k,"2,227"
209k,376
398k,629
386k,944
401k,"2,033"
255k,655
328k,"1,617"
598k,561
199k,429
598k,524
180k,418
294k,"1,351"
269k,"1,601"
279k,631
294k,"1,351"
269k,"1,601"
279k,631
377k,296
246k,644
389k,"1,237"
331k,"1,125"
373k,753
397k,"2,265"
408k,861
366k,832
630k,"3,260"
652k,"3,622"
363k,"1,566"
586k,"1,446"
264k,"1,345"
233k,668
242k,630
288k,718
348k,"1,050"
566k,493
288k,718
348k,"1,050"
566k,493
371k,"1,132"
326k,682
296k,718
267k,366
149k,338
284k,752
318k,435
262k,538
211k,635
286k,782
437k,"1,147"
309k,682
