likes,comments
41.1k,199
143k,541
31.7k,108
105k,418
119k,376
210k,960
1.6m,0
202k,478
220k,216
96.5k,233
146k,873
106k,447
159k,683
55.3k,255
234k,"1,280"
31.6k,142
74.3k,247
167k,938
268k,"1,930"
156k,769
156k,695
131k,278
148k,713
104k,119
180k,855
103k,712
132k,693
48.6k,226
113k,471
68.2k,51
48.6k,226
113k,471
68.2k,51
167k,665
126k,532
46.1k,175
184k,666
150k,595
148k,676
184k,793
185k,"1,027"
50.9k,188
64.6k,347
191k,970
219k,333
64.6k,347
191k,970
219k,333
135k,554
211k,"1,013"
55.8k,220
72.6k,212
430k,374
77.8k,230
131k,"1,116"
90.6k,198
171k,"1,264"
144k,493
244k,422
192k,"1,079"
61.9k,539
32.3k,116
108k,604
125k,740
291k,323
134k,582
125k,740
291k,323
134k,582
124k,612
152k,850
117k,610
278k,461
79.8k,337
202k,"1,085"
106k,198
169k,710
164k,539
160k,216
761k,"1,672"
219k,"1,290"
79.4k,457
48.9k,150
84.8k,313
860k,998
473k,554
89.7k,344
220k,"1,043"
334k,"5,909"
114k,451
220k,"1,043"
334k,"5,909"
114k,451
146k,416
282k,"1,701"
143k,766
263k,"3,271"
191k,881
376k,397
210k,"1,106"
220k,"1,308"
116k,533
150k,158
112k,499
172k,641
385k,390
142k,553
141k,420
171k,907
35.1k,109
168k,625
171k,907
35.1k,109
168k,625
62.8k,159
109k,333
194k,155
174k,643
68k,150
153k,652
121k,99
181k,869
38.7k,90
71.2k,189
173k,221
141k,637
62.7k,170
159k,152
303k,275
147k,662
119k,444
180k,705
147k,662
119k,444
180k,705
155k,455
119k,475
46.6k,114
80.2k,295
144k,604
158k,582
137k,526
54.6k,117
73.5k,238
355k,401
235k,927
55.6k,291
95.5k,248
105k,684
173k,736
111k,488
166k,554
152k,262
111k,488
166k,554
152k,262
159k,728
103k,386
143k,466
47.7k,153
244k,116
119k,449
188k,795
127k,442
208k,127
109k,137
70.7k,204
121k,413
170k,596
100k,209
128k,463
111k,396
93.8k,275
108k,348
111k,396
93.8k,275
108k,348
93.8k,208
48.8k,119
141k,585
156k,540
155k,779
135k,79
141k,534
167k,199
330k,316
135k,226
45.3k,152
148k,705
54.3k,66
102k,268
66.8k,206
133k,586
165k,621
107k,217
133k,586
165k,621
107k,217
67.3k,202
166k,723
226k,"1,486"
275k,712
89.9k,209
247k,"1,337"
183k,932
363k,"3,309"
107k,339
219k,"1,072"
111k,91
148k,137
183k,159
181k,880
87.8k,272
174k,872
119k,440
186k,793
174k,872
119k,440
186k,793
98.8k,250
87.7k,138
104k,322
183k,668
156k,552
113k,324
177k,431
86.9k,248
101k,242
241k,"1,103"
144k,548
213k,874
188k,585
121k,435
110k,301
196k,783
92.2k,278
155k,564
196k,783
92.2k,278
155k,564
126k,554
193k,365
82.8k,237
107k,302
130k,359
153k,590
177k,662
127k,151
120k,340
94.5k,238
70.3k,134
108k,383
127k,539
49.4k,138
130k,107
41.1k,80
69.5k,109
138k,621
184k,827
173k,667
97.1k,348
184k,827
173k,667
97.1k,348
158k,750
125k,395
246k,"1,563"
242k,97
228k,106
82.5k,96
67.2k,88
136k,385
111k,482
79k,288
188k,"1,896"
55.4k,125
66.7k,148
54.6k,104
103k,406
128k,437
104k,"1,574"
104k,390
128k,437
104k,"1,574"
104k,390
535k,354
76.8k,313
161k,228
92.2k,317
121k,409
172k,580
154k,789
29.4k,82
156k,808
130k,614
73.8k,406
76.3k,292
79.8k,271
125k,669
202k,"1,068"
102k,356
213k,"1,177"
274k,226
102k,356
213k,"1,177"
274k,226
113k,467
130k,234
165k,756
144k,438
159k,206
303k,481
181k,247
79k,272
198k,202
112k,257
217k,"1,249"
133k,502
209k,235
172k,831
310k,"2,189"
143k,653
139k,560
105k,290
143k,653
139k,560
105k,290
68.4k,462
186k,"1,501"
124k,494
208k,"1,531"
182k,939
158k,650
1.1m,630
105k,416
119k,475
141k,633
94.6k,325
128k,473
114k,374
12.4k,18
153k,921
77.3k,210
92.3k,302
60.5k,166
77.3k,210
92.3k,302
60.5k,166
154k,187
55.1k,183
78.8k,374
197k,512
98.5k,253
91.8k,325
169k,806
268k,560
112k,962
82.4k,273
129k,315
70.9k,284
145k,797
110k,425
112k,491
137k,634
113k,439
163k,695
137k,634
113k,439
163k,695
214k,"1,042"
153k,987
41.7k,88
179k,"1,158"
91k,362
82.7k,226
56.7k,109
141k,634
48.9k,159
165k,808
21.2k,64
266k,424
132k,505
99.1k,295
88.8k,359
72.5k,357
216k,"1,624"
133k,501
72.5k,357
216k,"1,624"
133k,501
83.5k,448
60.2k,272
85.2k,356
92.8k,273
149k,533
104k,332
165k,773
128k,448
114k,187
167k,"1,062"
76.4k,208
62.7k,213
186k,"1,214"
139k,820
192k,285
166k,278
128k,762
207k,"1,528"
101k,604
116k,578
104k,246
101k,604
116k,578
104k,246
245k,293
164k,888
92.5k,369
143k,551
113k,109
117k,619
33.2k,311
73.1k,197
91.8k,361
116k,601
132k,725
85.6k,753
89.7k,409
158k,956
136k,818
116k,612
113k,531
99.9k,231
116k,612
113k,531
99.9k,231
76.5k,357
152k,827
165k,"1,145"
160k,869
126k,773
131k,627
94.2k,392
171k,"1,229"
101k,449
138k,784
134k,685
1m,90
96.5k,483
69.2k,261
125k,722
110k,641
45.8k,205
82.6k,413
110k,641
45.8k,205
82.6k,413
110k,622
98.8k,473
137k,823
80.7k,357
60.1k,177
104k,579
130k,"2,417"
115k,679
101k,514
92k,425
243k,549
82.5k,476
74.5k,360
126k,883
126k,842
90.5k,503
150k,"1,006"
98.7k,581
90.5k,503
150k,"1,006"
98.7k,581
127k,690
92.7k,576
107k,654
89.3k,649
259k,237
26.2k,107
87k,437
112k,539
70.4k,240
53.7k,188
97.9k,374
91.5k,414
104k,476
108k,620
107k,586
139k,700
280k,695
68.9k,218
139k,700
280k,695
68.9k,218
79.9k,365
132k,655
103k,512
118k,726
140k,700
72.1k,300
99.5k,441
127k,903
107k,552
34.1k,148
98.2k,515
97.7k,392
64.1k,332
57.3k,313
79.4k,340
77k,349
53.8k,142
86.4k,290
77k,349
53.8k,142
86.4k,290
144k,"1,123"
73.5k,395
114k,572
29.4k,200
103k,284
56.1k,277
80.7k,371
97.6k,560
68.4k,228
157k,"1,249"
45.5k,192
138k,206
50.8k,684
107k,726
1.8m,"1,720"
88k,523
27.9k,107
182k,278
88k,523
27.9k,107
182k,278
101k,423
92k,425
80.8k,396
161k,250
18.6k,78
50.3k,172
39.9k,180
106k,489
97.8k,507
113k,108
100k,756
67.4k,"1,504"
97.2k,596
50.6k,251
142k,146
59.6k,301
98.1k,566
170k,"1,417"
59.6k,301
98.1k,566
170k,"1,417"
159k,251
178k,230
130k,867
257k,0
50.3k,172
121k,710
121k,864
84.8k,368
64.8k,191
55.5k,209
59.5k,202
74.4k,91
75k,676
75.5k,298
70.6k,316
109k,519
112k,574
164k,274
88.8k,423
113k,650
153k,"1,633"
88.8k,423
113k,650
153k,"1,633"
104k,564
64.9k,167
41.1k,362
101k,574
450k,234
86.6k,383
135k,991
86k,354
73.9k,317
87.4k,623
51.3k,293
67.6k,304
91.6k,401
88.3k,350
166k,"1,307"
149k,"1,478"
133k,830
145k,828
149k,"1,478"
133k,830
145k,828
131k,412
171k,"1,737"
564k,442
147k,"1,361"
26.4k,76
108k,487
111k,616
53.8k,288
206k,140
149k,128
71.7k,449
103k,550
417k,238
58.4k,195
128k,136
132k,866
102k,528
129k,618
132k,866
102k,528
129k,618
105k,458
69.5k,268
88.4k,310
69.2k,534
52k,278
36.2k,204
,0
396k,"2,034"
53.4k,236
119k,966
75k,512
94.2k,83
58.2k,288
83.8k,454
80.7k,449
82.2k,387
107k,633
54.4k,184
82.2k,387
107k,633
54.4k,184
58.8k,250
58.6k,235
85.4k,195
138k,832
81.7k,190
110k,"2,381"
78.5k,372
81.6k,487
93.1k,751
95.4k,690
85.3k,107
32.9k,190
22.9k,134
97.3k,609
29.1k,122
70.8k,412
83.6k,465
83.7k,97
70.8k,412
83.6k,465
83.7k,97
25k,68
33.5k,137
27.7k,186
104k,598
92.1k,516
64.2k,25
111k,163
20.7k,78
162k,89
64.3k,355
22.6k,89
44.7k,50
52.2k,308
24.7k,150
154k,"2,773"
82k,517
38.7k,184
63.8k,95
82k,517
38.7k,184
63.8k,95
88.8k,670
76.1k,540
70.8k,388
213k,132
54.1k,265
78.1k,420
74.2k,501
698k,378
105k,579
65.5k,300
96.1k,552
21.8k,82
74.6k,621
64.1k,281
76.8k,602
45.9k,282
69.2k,481
91.9k,658
45.9k,282
69.2k,481
91.9k,658
90.6k,683
51k,176
82.7k,617
13.2k,54
86.7k,666
28.1k,202
61.1k,78
117k,975
25.5k,71
116k,962
81.8k,524
114k,"1,305"
33.2k,155
26.9k,180
309k,265
63.1k,281
85.7k,609
70.3k,410
55.9k,318
25.7k,245
19k,84
55.9k,318
25.7k,245
19k,84
"9,612",28
87.9k,701
39.4k,175
51.1k,218
85k,657
16.2k,81
77.2k,558
71.5k,502
10k,51
63k,477
44.9k,200
83.2k,619
61.8k,164
80.5k,527
206k,479
47.5k,194
316k,303
61.5k,399
47.5k,194
316k,303
61.5k,399
32k,140
18.9k,65
54.7k,443
84.2k,744
45.9k,298
84k,832
74k,584
93.2k,892
60.3k,369
76.1k,540
59.2k,377
68.6k,489
36.1k,218
350k,453
48.4k,267
51.8k,224
50.7k,279
50.9k,244
51.8k,224
50.7k,279
50.9k,244
157k,268
65.6k,572
58.7k,365
52.7k,401
191k,120
41.5k,197
