likes,comments
1.4m,"6,078"
1m,"5,903"
337k,"1,110"
1.3m,"5,519"
1.4m,10.3k
1m,"3,677"
1m,"2,252"
603k,795
754k,"2,242"
1.2m,"2,678"
889k,"2,362"
1.1m,"7,178"
1m,"4,987"
1m,"5,129"
1.6m,"5,986"
2.6m,"9,241"
635k,"2,752"
479k,"1,608"
893k,"1,074"
994k,"1,922"
629k,640
425k,999
1.1m,"6,174"
502k,"2,690"
1.7m,10.6k
1.4m,"5,976"
962k,"3,364"
542k,"1,032"
528k,"1,153"
739k,805
368k,594
868k,"2,268"
790k,995
1.7m,"3,096"
1.4m,"7,550"
1.5m,11.7k
1.6m,"9,192"
1m,"4,621"
909k,"2,668"
1.8m,"6,885"
1.2m,"1,874"
867k,"2,369"
4.3m,"7,533"
1.2m,"5,397"
946k,"4,399"
732k,"2,862"
503k,"2,156"
2.5m,45.7k
1.5m,"9,181"
956k,789
1.3m,"1,450"
1.7m,"7,813"
1.1m,"5,654"
1.7m,"6,583"
1.2m,"3,610"
2.1m,"3,316"
1.2m,"1,415"
1.6m,"9,561"
1.6m,"6,465"
1.3m,"4,018"
1.1m,"2,911"
2.7m,"9,089"
3.2m,11.8k
1.8m,"5,554"
1.6m,10.9k
2.1m,"9,359"
912k,"1,368"
3.1m,11.9k
460k,"1,839"
1.9m,"6,845"
938k,"2,336"
1.7m,847
544k,"1,075"
1.7m,"8,670"
908k,"3,409"
955k,"2,342"
3.5m,18.5k
1.3m,"3,096"
2.1m,"1,429"
2m,16.9k
2.6m,"6,810"
370k,810
1.3m,"2,734"
287k,573
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
597k,"1,291"
630k,"1,527"
2.8m,"2,245"
1.6m,"7,080"
2.1m,"4,873"
2m,"1,442"
2.4m,"7,951"
1.8m,"1,551"
1.3m,"2,496"
917k,"4,170"
1.5m,"7,218"
1.7m,"2,921"
1m,"1,366"
760k,"1,845"
672k,"1,650"
898k,"2,225"
855k,"1,847"
8.2m,"6,974"
512k,"1,061"
1.1m,"1,136"
624k,"1,435"
718k,"1,509"
991k,"2,240"
1m,"1,573"
3.4m,"3,552"
281k,873
1.3m,645
1.2m,"1,160"
925k,"1,985"
906k,969
1.3m,"2,700"
982k,"1,844"
436k,572
394k,471
552k,718
420k,374
436k,456
444k,450
1.5m,"4,102"
669k,678
753k,903
1.7m,19.8k
878k,"5,369"
731k,"3,560"
2.1m,"1,434"
717k,"1,237"
416k,424
494k,646
522k,618
569k,686
474k,571
630k,901
480k,606
604k,692
535k,581
602k,"1,233"
896k,892
797k,914
1m,"1,236"
743k,"2,014"
1.6m,10.9k
863k,"3,008"
724k,"1,803"
1.2m,"4,499"
1.5m,"2,005"
1.9m,"2,547"
955k,822
2.5m,14.9k
5.3m,"6,873"
2.1m,"3,182"
2.6m,"3,711"
3.1m,13.7k
971k,"3,337"
679k,"1,526"
1.1m,"2,497"
913k,"1,505"
917k,"4,809"
1.9m,"8,812"
636k,"1,793"
974k,"3,101"
826k,"2,509"
883k,"3,515"
848k,"3,073"
1.5m,10.2k
2.1m,10.5k
1.5m,"3,237"
1.6m,"6,145"
1.5m,"6,383"
2.4m,"1,109"
2.5m,"8,437"
3m,20.6k
2.2m,11.2k
575k,"1,587"
1.4m,"1,481"
908k,"3,661"
508k,"1,275"
1.1m,"4,195"
689k,"1,858"
694k,"1,671"
565k,"1,294"
1.3m,"6,092"
807k,"2,831"
1m,"3,998"
2.2m,16.8k
1.4m,"1,045"
1.7m,"7,448"
2.3m,"3,765"
934k,"4,053"
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
945k,862
408k,607
1.6m,873
928k,"3,321"
1.3m,"6,238"
