likes,comments
46.8k,674
"8,076",70
21.5k,332
11.6k,101
42.9k,783
46.6k,640
21.3k,261
"8,665",109
57.3k,140
17.6k,293
"4,741",63
17.1k,192
"9,504",104
22.6k,288
44.4k,65
22.1k,322
49.8k,52
18.2k,187
18.9k,308
21.1k,214
27.4k,427
39.5k,"2,457"
39.2k,508
61.4k,128
27.2k,334
55.7k,82
36.7k,477
18.2k,221
33.1k,412
21.8k,281
18.2k,221
33.1k,412
21.8k,281
27k,266
27.7k,363
29.8k,347
30k,410
39.5k,662
35k,538
30k,410
39.5k,662
35k,538
23.7k,287
20.7k,201
48.2k,666
17.7k,314
"9,551",97
17.7k,123
"8,786",90
29.6k,397
32.2k,570
41.6k,554
32.1k,357
27k,317
30.5k,408
112k,75
139k,84
20.8k,150
42.9k,694
"9,866",103
20.8k,150
42.9k,694
"9,866",103
119k,87
63.7k,866
29.7k,444
68.3k,72
12.7k,121
35.6k,377
21.9k,274
109k,53
35.4k,474
17.2k,191
52.8k,96
47.8k,784
27k,415
58.8k,117
13.8k,150
38.7k,654
105k,51
28.7k,427
38.7k,654
105k,51
28.7k,427
40.1k,88
70.9k,"1,129"
17.8k,236
41k,576
33.4k,474
39.1k,538
41.8k,709
54.6k,963
31.7k,583
57.4k,"1,092"
27.4k,280
34.7k,456
39.2k,509
40.8k,683
40.1k,477
32k,314
11.3k,97
28.8k,394
32k,314
11.3k,97
28.8k,394
43.1k,615
152k,186
74.5k,145
36k,478
55.1k,961
37.1k,639
60.1k,"1,166"
142k,220
61.6k,"1,018"
32.8k,370
45.5k,130
27k,284
20.4k,191
104k,133
33.2k,481
124k,91
15k,208
42.3k,623
124k,91
15k,208
42.3k,623
36.9k,616
35.4k,464
77.6k,"1,485"
25.5k,301
36.6k,473
14.2k,113
44k,514
39.1k,517
129k,289
42.8k,543
138k,208
28.5k,352
31.5k,0
40.4k,0
24.9k,263
33.7k,412
42.2k,550
46.5k,609
33.7k,412
42.2k,550
46.5k,609
41.6k,564
36.1k,442
34.3k,463
51.5k,72
52.2k,831
58.2k,691
44.6k,0
106k,423
52.6k,815
54.4k,0
37.8k,517
32.4k,366
56.6k,734
33.1k,421
44.2k,638
37k,0
49.4k,712
25.4k,285
37k,0
49.4k,712
25.4k,285
73.8k,"1,197"
38.9k,462
31.4k,416
32.4k,0
32.7k,376
59.4k,943
41k,734
44.5k,741
58.6k,903
64.2k,966
30.9k,323
60.9k,179
64.2k,966
30.9k,323
60.9k,179
33.7k,386
39.4k,482
29.1k,288
59.9k,0
39.3k,480
55.6k,130
59.9k,0
39.3k,480
55.6k,130
