likes,comments
3.4m,11.8k
3.8m,"5,920"
1m,"3,388"
14.1m,"5,197"
3.1m,12.5k
1.2m,"7,036"
1m,"2,653"
5.3m,"8,463"
4.2m,62.1k
973k,"2,071"
12.1m,30.2k
1.3m,"1,179"
997k,"2,842"
1.8m,"1,581"
1.5m,"1,465"
2.5m,"2,342"
4.3m,12.1k
1.5m,801
3.7m,14.4k
1.4m,"3,682"
838k,"5,724"
4.4m,"4,980"
1.7m,"2,011"
24.9m,66.3k
2.5m,"9,758"
714k,"2,316"
1.8m,"4,595"
1.9m,"1,332"
1.9m,"1,720"
1.5m,"1,590"
1.9m,"1,332"
1.9m,"1,720"
1.5m,"1,590"
1.7m,"3,907"
5.6m,"9,560"
1.7m,"1,859"
1.5m,"1,425"
385k,"1,092"
1.8m,"5,232"
2.1m,"2,122"
2.5m,"8,594"
1.9m,"2,090"
2.1m,"2,069"
2.3m,14.7k
1.9m,"3,395"
2.1m,"2,069"
2.3m,14.7k
1.9m,"3,395"
754k,"5,286"
3.3m,"8,099"
4.3m,"7,989"
1.7m,"1,872"
845k,"2,233"
1.8m,"1,549"
1.8m,"1,821"
1.8m,"7,221"
1.4m,21.6k
3.2m,19.9k
2.4m,10.4k
2m,"3,436"
15m,16.5k
1.9m,"3,706"
2.2m,"5,398"
2.9m,"9,945"
2.8m,"9,334"
3.9m,"7,612"
2.9m,"9,945"
2.8m,"9,334"
3.9m,"7,612"
1.9m,"3,978"
3.8m,"4,729"
1.8m,"3,691"
1.3m,"2,204"
1.5m,"2,614"
4.8m,"5,259"
2.8m,"1,957"
5.2m,"1,712"
1.2m,"1,772"
2m,"1,507"
1.5m,"2,575"
3.3m,"4,981"
4.8m,"8,993"
1.5m,"2,735"
3.4m,"2,637"
1.9m,"2,717"
2.1m,"4,015"
2.4m,"4,436"
1.9m,"2,717"
2.1m,"4,015"
2.4m,"4,436"
1.8m,"3,745"
3.7m,10k
2.5m,"4,679"
4.9m,"2,567"
7m,11.6k
7.2m,"7,096"
2.3m,"1,858"
4.3m,"6,581"
4.6m,"7,079"
1.4m,"1,043"
1.4m,"3,662"
1.9m,"5,582"
1.1m,"1,892"
1.2m,"2,177"
1.2m,"1,901"
2.1m,"8,356"
1.1m,"1,604"
1m,"1,333"
2.1m,"8,356"
1.1m,"1,604"
1m,"1,333"
1.5m,"2,992"
1.8m,"4,910"
3.6m,11.3k
1.6m,"2,777"
1.6m,"2,672"
1.9m,"6,694"
3.4m,"7,805"
2.6m,"6,778"
3.7m,"9,413"
1.2m,"1,336"
466k,"1,074"
5.9m,"2,089"
3.5m,"6,516"
3.8m,"5,234"
4.4m,12.1k
5.9m,31.8k
7.3m,35.4k
4.8m,32.5k
5.9m,31.8k
7.3m,35.4k
4.8m,32.5k
2.1m,"5,231"
1.9m,"6,105"
4.8m,24.4k
9m,11.8k
2.7m,20k
5.2m,0
4.8m,0
2.5m,0
9m,0
3.8m,0
3.5m,0
4.3m,0
4.3m,0
11.6m,0
1.4m,0
2.8m,0
2.8m,0
839k,0
2.8m,0
2.8m,0
839k,0
13.9m,0
17.9m,0
13m,11.1k
2m,"7,390"
15.4m,16.4k
14.4m,32.6k
2.2m,"5,196"
462k,"1,133"
533k,"1,998"
633k,"1,661"
2.8m,25.7k
9.6m,17.8k
565k,"1,756"
4m,11.8k
30.8m,92.7k
7.6m,102k
879k,"3,003"
6.5m,48.1k
16.7m,19.1k
17.8m,20.9k
38.8m,96.9k
16.7m,19.1k
17.8m,20.9k
38.8m,96.9k
11.6m,85.9k
16.4m,49.2k
6.7m,118k
7.6m,126k
11.8m,19.2k
19.4m,25.3k
2.4m,12.5k
21.3m,24.1k
5.2m,27.4k
3.6m,14.9k
8m,17.4k
12.9m,39.4k
15.1m,19.7k
1.6m,"5,548"
10.5m,"6,253"
9.9m,"5,145"
1.7m,"2,910"
5.6m,15.1k
9.9m,"5,145"
1.7m,"2,910"
5.6m,15.1k
6.5m,16.9k
17.9m,36.5k
7.3m,19.1k
10m,33.2k
1.6m,22.5k
3.9m,50.9k
4.6m,32.6k
4.7m,21.4k
479k,673
3.5m,25.2k
5.7m,"8,801"
5.6m,10k
4.3m,36.4k
1.3m,"2,640"
1.5m,"1,081"
589k,952
7.3m,35.6k
1.4m,"4,724"
589k,952
7.3m,35.6k
1.4m,"4,724"
6.3m,"7,273"
768k,"1,965"
10.4m,19.1k
410k,"1,031"
4.7m,"2,618"
934k,855
1.1m,932
3.4m,17.5k
10.6m,59.7k
1.1m,"1,385"
3.5m,26.4k
2.6m,11.7k
753k,"2,971"
317k,"1,386"
1.8m,16.8k
1.2m,"6,332"
4m,"5,692"
1.8m,"8,679"
1.2m,"6,332"
4m,"5,692"
1.8m,"8,679"
1.2m,"5,580"
2.9m,23.5k
8.8m,46k
3.3m,17.8k
1.6m,"7,902"
1.2m,"4,408"
485k,"2,671"
6.5m,68.6k
1.3m,"5,475"
1.4m,"5,693"
1.9m,"1,267"
290k,709
1.4m,"3,715"
1.4m,"6,089"
3.3m,18k
1.5m,"7,819"
622k,"1,769"
3.7m,"6,840"
1.5m,"7,819"
622k,"1,769"
3.7m,"6,840"
1.2m,"5,899"
2.7m,16.7k
1.6m,"9,621"
1.4m,"1,184"
705k,"1,424"
1.8m,"9,850"
1.8m,10.8k
2.3m,13.9k
1.3m,"1,103"
1.5m,714
2.6m,35.1k
2.3m,"9,265"
1.3m,"1,218"
2.2m,17.1k
277k,764
954k,"5,501"
1.6m,"8,184"
410k,"2,520"
954k,"5,501"
1.6m,"8,184"
410k,"2,520"
6m,11.5k
1.7m,"7,865"
1.1m,"1,080"
4.2m,"6,656"
1.1m,"1,241"
1.4m,772
294k,985
298k,698
4.3m,"7,098"
4m,"5,250"
869k,"3,164"
1.1m,"3,592"
7.3m,"7,290"
3.6m,20.4k
1.8m,10.8k
1.8m,"8,653"
1.3m,"3,414"
9.1m,"8,941"
1.8m,"8,653"
1.3m,"3,414"
9.1m,"8,941"
2m,24.6k
904k,"3,293"
2.7m,"2,326"
1m,"4,131"
1.1m,"7,141"
5.3m,"9,028"
1.7m,"9,122"
1.7m,12.8k
999k,"5,376"
1.4m,"1,303"
2.6m,"3,138"
2.4m,"2,844"
3.4m,"4,566"
407k,"2,038"
1.1m,25k
2.9m,27.2k
1m,"4,110"
2.6m,"2,936"
26.7m,"8,882"
1.2m,10.7k
1.7m,"6,290"
26.7m,"8,882"
1.2m,10.7k
1.7m,"6,290"
2m,"2,670"
2.1m,19.2k
846k,"5,294"
985k,"5,721"
3.8m,16k
4.1m,"7,492"
1.5m,"5,789"
1.4m,36k
775k,"3,912"
1.7m,"9,023"
1.4m,21.9k
