likes,comments
268k,"1,074"
1.9m,"9,594"
294k,"1,148"
1.7m,"9,383"
1.7m,18.6k
706k,"1,178"
1.7m,13.2k
1.4m,"7,707"
1.2m,"3,053"
902k,"1,262"
2.1m,14.1k
782k,"4,030"
752k,"1,010"
787k,"1,109"
1m,"4,179"
1m,"2,054"
1.4m,"7,570"
319k,"1,023"
1.1m,"2,529"
1.1m,"5,562"
1m,"7,411"
1.8m,"1,976"
1.8m,"3,130"
1.2m,10k
586k,700
668k,"1,004"
1.2m,"4,457"
1.3m,"2,105"
915k,"4,647"
1m,"5,056"
1.3m,"2,105"
915k,"4,647"
1m,"5,056"
1m,"3,811"
1.1m,"4,416"
872k,"3,001"
1.4m,"4,462"
645k,"1,784"
4.8m,"8,641"
752k,898
1.4m,"7,446"
1.3m,"5,378"
1.6m,"4,275"
1.6m,"5,175"
1.3m,"2,687"
1.6m,"4,275"
1.6m,"5,175"
1.3m,"2,687"
1.6m,"8,903"
1.1m,"4,618"
1.1m,"4,846"
853k,"4,148"
1.2m,"5,002"
900k,"2,931"
1m,11.1k
713k,"5,046"
953k,"3,448"
1.2m,"5,549"
1.1m,"7,016"
1.2m,"5,840"
1.2m,"5,745"
1.5m,"6,065"
277k,690
538k,660
1m,"4,721"
1.4m,"7,757"
538k,660
1m,"4,721"
1.4m,"7,757"
1.4m,"4,164"
909k,"2,676"
842k,"1,559"
1.1m,"3,781"
1.8m,13k
2.7m,"9,782"
1.2m,"3,499"
3.5m,"1,801"
3m,14.8k
768k,"1,024"
758k,"9,161"
372k,"1,819"
798k,"1,646"
638k,"2,746"
1.2m,"2,490"
351k,910
608k,"1,331"
2m,"3,200"
1.7m,"6,521"
1.1m,"3,255"
219k,620
1.7m,"6,521"
1.1m,"3,255"
219k,620
1.4m,"5,806"
347k,"1,006"
1m,"4,353"
908k,"4,153"
1.3m,"3,972"
505k,"1,108"
1m,"6,835"
1.1m,"6,175"
223k,529
1.1m,"7,200"
1m,"5,001"
957k,"4,089"
976k,"5,868"
1.6m,"7,114"
893k,"3,667"
1.9m,"4,035"
1m,"4,946"
241k,869
1.9m,"4,035"
1m,"4,946"
241k,869
1.7m,"3,920"
1.4m,"5,330"
2m,"3,563"
1.1m,"3,595"
760k,"3,419"
838k,"5,031"
1.4m,"4,202"
917k,"2,593"
406k,615
1.3m,"4,248"
907k,"3,392"
796k,"3,278"
1.7m,"2,486"
550k,858
871k,"2,533"
614k,"1,344"
683k,"1,121"
1.2m,"4,476"
614k,"1,344"
683k,"1,121"
1.2m,"4,476"
851k,"6,343"
407k,757
1.2m,"4,737"
965k,"5,605"
1.1m,"6,808"
586k,"1,317"
1.4m,12.3k
986k,"3,549"
698k,"1,886"
494k,"1,158"
1.1m,"6,046"
1.1m,"3,444"
1.1m,"4,324"
1.2m,"3,805"
1.3m,"4,507"
1.1m,"3,909"
1.5m,"8,371"
2m,"2,591"
1.1m,"3,909"
1.5m,"8,371"
2m,"2,591"
923k,"1,156"
948k,"2,635"
370k,868
529k,"2,093"
1.5m,"7,325"
578k,"1,705"
1.1m,"3,611"
884k,932
1m,"5,518"
2.3m,"5,605"
644k,"2,732"
1m,"6,966"
858k,"3,923"
1.5m,"7,047"
1.4m,"3,921"
1m,"5,528"
706k,"3,399"
2.3m,"7,477"
1m,"5,528"
706k,"3,399"
2.3m,"7,477"
1.1m,"5,384"
1m,"4,644"
838k,"3,557"
636k,795
897k,"3,106"
1.2m,"3,978"
1.3m,"7,887"
394k,814
982k,"6,256"
1.3m,"6,397"
1.3m,"8,601"
585k,"1,086"
807k,"2,619"
1.2m,13.1k
940k,"4,966"
566k,"2,432"
1.5m,"6,409"
773k,"3,788"
566k,"2,432"
1.5m,"6,409"
773k,"3,788"
942k,"2,035"
537k,"1,203"
854k,"1,952"
685k,"1,673"
971k,"2,094"
1.7m,"1,416"
1m,"5,152"
931k,"3,086"
824k,"2,767"
949k,"2,840"
1.4m,"6,970"
1.2m,"4,180"
306k,872
1.6m,14.4k
1.4m,"6,018"
1.1m,"3,461"
3.1m,"7,862"
1.3m,"4,622"
1.1m,"3,461"
3.1m,"7,862"
1.3m,"4,622"
837k,"2,591"
1.7m,"9,689"
1.5m,22.5k
1.4m,"7,357"
1.1m,"4,649"
1m,"3,675"
1.1m,"6,946"
3.5m,"1,883"
893k,"2,656"
1.8m,10.6k
936k,"3,187"
1.2m,11.8k
961k,"5,004"
1m,"5,732"
588k,"1,187"
373k,"1,119"
317k,"1,022"
2m,"2,004"
373k,"1,119"
317k,"1,022"
2m,"2,004"
1m,"5,119"
1m,"5,471"
318k,"9,879"
1.3m,"1,015"
776k,"1,796"
2.8m,"5,111"
1.4m,"7,124"
1.2m,"8,512"
937k,"3,575"
1m,700
648k,496
701k,"2,165"
457k,513
643k,"1,936"
808k,"1,499"
876k,"2,067"
777k,"1,729"
947k,"3,823"
1.2m,"3,638"
1m,"3,350"
1.2m,14.1k
1.2m,"3,638"
1m,"3,350"
1.2m,14.1k
701k,"4,283"
1.3m,"6,828"
342k,841
809k,"4,416"
2.1m,"6,200"
1.2m,12.6k
722k,"3,088"
