likes,comments
209k,"1,367"
258k,"1,841"
245k,"1,314"
176k,"1,133"
224k,"1,366"
441k,"3,247"
254k,"1,916"
143k,706
215k,"1,214"
249k,891
209k,"1,252"
232k,"1,264"
181k,"1,090"
498k,"3,751"
208k,"1,252"
200k,"1,189"
235k,"1,624"
362k,445
232k,"1,586"
173k,"1,097"
268k,"1,260"
156k,"1,062"
232k,"2,156"
294k,"3,041"
195k,"1,652"
187k,"1,338"
172k,"1,500"
210k,"1,746"
168k,"1,305"
182k,"1,569"
210k,"1,746"
168k,"1,305"
182k,"1,569"
185k,"1,394"
208k,"1,653"
296k,"3,276"
202k,"1,341"
267k,"2,443"
280k,"2,662"
282k,"2,365"
274k,"2,256"
234k,"2,193"
292k,"2,459"
369k,"3,464"
362k,"2,429"
292k,"2,459"
369k,"3,464"
362k,"2,429"
231k,"1,768"
219k,"1,714"
208k,"1,773"
205k,"1,642"
211k,"1,562"
256k,"1,647"
193k,"1,549"
281k,"2,835"
229k,"1,994"
325k,"2,720"
341k,"2,265"
295k,"2,932"
122k,"1,178"
334k,"3,803"
259k,"2,336"
206k,"1,532"
237k,"3,036"
286k,"3,361"
206k,"1,532"
237k,"3,036"
286k,"3,361"
308k,"3,536"
185k,"1,628"
188k,"1,480"
300k,"2,899"
316k,"4,507"
242k,"2,372"
258k,"1,871"
382k,"4,618"
214k,"1,763"
188k,"1,384"
205k,"1,567"
249k,"2,705"
213k,"1,982"
231k,"1,879"
265k,"2,438"
307k,"2,717"
203k,"1,883"
322k,"4,077"
197k,"1,826"
247k,"1,987"
269k,"2,258"
197k,"1,826"
247k,"1,987"
269k,"2,258"
572k,"1,944"
305k,"2,288"
214k,"1,888"
266k,"2,010"
561k,"1,000"
360k,"4,289"
261k,"2,364"
228k,"1,856"
265k,"2,511"
345k,"3,140"
343k,"4,073"
349k,"3,379"
1m,"1,849"
423k,"5,031"
419k,"4,886"
382k,"3,461"
201k,"1,663"
215k,"1,887"
382k,"3,461"
201k,"1,663"
215k,"1,887"
283k,"2,400"
462k,"5,446"
412k,"5,226"
223k,"1,794"
774k,"1,115"
243k,"1,557"
241k,"1,593"
444k,858
328k,"2,623"
307k,"2,875"
440k,"4,075"
317k,"2,278"
226k,"1,275"
479k,"5,257"
464k,"4,690"
466k,"5,282"
408k,"3,872"
253k,"1,432"
466k,"5,282"
408k,"3,872"
253k,"1,432"
336k,"2,901"
389k,"4,247"
251k,"1,798"
153k,141
212k,"1,334"
1.4m,"1,564"
254k,"2,309"
771k,"1,094"
274k,"2,474"
367k,"4,578"
307k,"2,915"
271k,"1,985"
665k,850
341k,"3,879"
323k,0
319k,"3,076"
192k,"1,816"
188k,"1,477"
319k,"3,076"
192k,"1,816"
188k,"1,477"
234k,"2,042"
311k,"3,802"
443k,"7,511"
262k,"1,687"
269k,"2,488"
287k,"2,457"
1.2m,"2,400"
169k,"1,058"
179k,"1,201"
2.7m,"1,897"
192k,"1,322"
225k,"1,474"
293k,"3,271"
292k,"2,907"
3.5m,"4,464"
168k,"1,174"
283k,"2,251"
269k,"2,140"
168k,"1,174"
283k,"2,251"
269k,"2,140"
358k,"3,412"
177k,"1,133"
250k,"2,266"
295k,"2,839"
1m,"1,147"
229k,"1,851"
395k,"4,925"
1.7m,"2,563"
612k,641
253k,"1,880"
310k,"2,763"
2.4m,"3,560"
340k,"2,686"
281k,"2,174"
236k,"1,722"
1.1m,"1,553"
224k,"2,146"
517k,887
1.1m,"1,553"
224k,"2,146"
517k,887
308k,"2,419"
926k,"1,239"
209k,"1,571"
2.1m,"3,098"
186k,"1,332"
208k,"1,203"
229k,"1,943"
358k,"3,025"
1.2m,"1,473"
661k,"1,101"
222k,"1,642"
168k,"1,090"
334k,"3,446"
249k,"2,063"
210k,"1,296"
277k,"2,173"
278k,"2,263"
290k,"2,538"
277k,"2,173"
278k,"2,263"
290k,"2,538"
1.8m,"1,434"
1.7m,"1,996"
245k,"1,342"
1.6m,"1,559"
225k,"1,218"
1m,"1,048"
2.2m,"3,087"
173k,801
176k,878
310k,"3,308"
291k,"1,774"
309k,"1,951"
162k,840
424k,236
711k,"1,281"
177k,"1,090"
188k,787
219k,"1,455"
177k,"1,090"
188k,787
219k,"1,455"
702k,704
269k,"2,096"
317k,"2,030"
165k,"1,012"
770k,638
119k,554
192k,"1,125"
208k,"1,577"
407k,"4,117"
239k,"1,648"
208k,"1,262"
861k,450
225k,"1,211"
123k,546
340k,"2,079"
150k,780
249k,"1,728"
281k,226
174k,"1,259"
278k,202
223k,"1,265"
174k,"1,259"
278k,202
223k,"1,265"
165k,905
150k,905
128k,770
212k,154
247k,"1,841"
143k,639
184k,988
256k,"1,633"
251k,"1,706"
138k,697
117k,708
179k,"1,067"
1.1m,"2,234"
228k,"1,206"
162k,903
214k,"1,191"
188k,"1,183"
147k,594
214k,"1,191"
188k,"1,183"
147k,594
115k,595
224k,"1,401"
163k,862
242k,"1,365"
120k,562
166k,790
205k,"1,257"
201k,"1,071"
111k,413
246k,"1,404"
231k,"1,378"
207k,987
142k,580
147k,783
285k,"2,533"
254k,"1,482"
175k,831
141k,541
254k,"1,482"
175k,831
141k,541
447k,366
196k,"1,348"
147k,785
188k,"1,029"
825k,"1,037"
223k,"1,320"
139k,679
95.2k,390
360k,425
189k,"1,070"
168k,782
115k,609
147k,682
130k,573
256k,"1,052"
164k,672
139k,610
629k,764
164k,672
139k,610
629k,764
165k,757
152k,695
104k,597
119k,481
138k,523
133k,546
134k,496
159k,792
116k,473
218k,204
216k,"1,175"
95.3k,368
142k,659
43.6k,147
167k,"1,068"
209k,"1,694"
120k,507
141k,601
209k,"1,694"
120k,507
141k,601
139k,633
114k,482
271k,"1,650"
285k,"2,031"
379k,307
164k,672
261k,"1,372"
117k,508
245k,172
380k,"1,179"
141k,827
226k,"1,150"
128k,547
119k,556
105k,511
171k,945
353k,626
103k,464
171k,945
353k,626
103k,464
266k,"1,472"
241k,495
119k,637
382k,681
33.9k,105
157k,888
90.4k,463
149k,678
260k,"1,863"
196k,358
119k,605
126k,659
170k,861
76.4k,291
135k,779
126k,515
180k,850
101k,613
126k,515
180k,850
101k,613
196k,"1,141"
166k,805
76.2k,185
131k,702
162k,715
155k,901
156k,"1,004"
140k,881
131k,669
144k,"1,011"
159k,995
130k,842
843k,"1,485"
120k,677
122k,666
129k,864
138k,895
96.1k,476
468k,937
206k,"1,360"
147k,949
468k,937
206k,"1,360"
147k,949
117k,572
138k,955
156k,759
137k,794
138k,663
135k,748
94.6k,496
133k,574
163k,957
176k,"1,165"
126k,682
156k,"1,051"
160k,950
156k,825
117k,593
162k,843
124k,600
160k,843
162k,843
124k,600
160k,843
240k,"1,542"
313k,432
203k,"1,106"
152k,875
83.3k,412
142k,853
211k,"1,156"
123k,557
198k,"1,062"
319k,348
170k,894
167k,"1,042"
122k,666
133k,663
194k,"1,242"
117k,616
244k,"1,512"
561k,"1,432"
117k,616
244k,"1,512"
561k,"1,432"
126k,523
169k,907
212k,"1,438"
706k,"1,371"
124k,835
172k,"1,134"
167k,953
189k,890
308k,"2,694"
162k,"1,033"
174k,"1,212"
152k,854
213k,"1,283"
195k,"1,285"
219k,"1,627"
137k,894
239k,"1,228"
151k,"1,031"
137k,894
239k,"1,228"
151k,"1,031"
130k,437
230k,"1,598"
147k,"1,181"
99.1k,597
172k,"1,048"
187k,"1,005"
139k,"1,162"
114k,891
114k,"1,011"
512k,"1,226"
175k,"1,060"
179k,"1,553"
127k,726
133k,877
127k,884
181k,"1,199"
170k,"1,097"
165k,956
181k,"1,199"
170k,"1,097"
165k,956
146k,"1,059"
182k,"1,150"
538k,769
172k,"1,031"
288k,315
106k,844
427k,646
842k,"1,705"
187k,"1,298"
84.4k,507
166k,"1,066"
182k,"1,095"
197k,"1,808"
203k,"1,379"
176k,"1,255"
100k,563
255k,"1,466"
203k,"1,397"
100k,563
255k,"1,466"
203k,"1,397"
252k,268
171k,"1,040"
130k,740
105k,629
243k,313
168k,999
911k,"1,990"
211k,"1,116"
129k,913
163k,819
214k,"1,382"
102k,523
915k,"1,497"
128k,470
157k,951
138k,834
193k,296
148k,770
138k,834
193k,296
148k,770
162k,861
129k,623
109k,626
274k,"2,123"
155k,869
257k,"2,064"
382k,406
135k,765
148k,811
151k,819
144k,798
150k,935
146k,852
149k,930
183k,"1,134"
118k,868
106k,752
178k,"1,154"
118k,868
106k,752
178k,"1,154"
163k,"1,094"
137k,400
152k,883
206k,"1,633"
201k,"1,606"
164k,750
230k,"1,452"
196k,"1,110"
680k,212
220k,413
99k,553
548k,178
118k,203
742k,"1,116"
135k,886
105k,623
153k,999
115k,570
172k,"1,000"
1m,667
97k,705
172k,"1,000"
1m,667
97k,705
151k,924
128k,698
179k,986
168k,"1,262"
87.9k,487
103k,632
172k,950
107k,614
168k,"1,059"
141k,695
119k,738
114k,615
93.1k,524
126k,731
72.1k,388
337k,303
132k,780
78.4k,450
337k,303
132k,780
78.4k,450
106k,583
114k,640
128k,655
99.7k,551
158k,959
162k,"1,049"
129k,694
113k,584
136k,761
110k,195
103k,585
112k,672
230k,"1,315"
140k,720
126k,617
146k,884
133k,842
128k,897
146k,884
133k,842
128k,897
143k,908
712k,882
215k,"1,179"
113k,610
128k,679
157k,946
615k,806
146k,"1,159"
1.7m,"1,337"
178k,"1,149"
159k,920
165k,"1,011"
132k,784
136k,911
888k,"1,196"
206k,"1,730"
169k,"1,317"
179k,"1,256"
206k,"1,730"
169k,"1,317"
179k,"1,256"
133k,908
226k,"1,698"
113k,496
268k,"2,025"
187k,"1,646"
104k,613
201k,"1,357"
132k,835
861k,"1,689"
183k,846
230k,"1,538"
153k,"1,045"
140k,843
236k,"1,666"
145k,964
156k,964
150k,624
145k,768
156k,964
150k,624
145k,768
212k,"1,437"
197k,"1,259"
152k,265
142k,816
186k,"1,016"
183k,"1,252"
123k,774
143k,"1,001"
163k,"1,087"
222k,"1,596"
166k,"1,143"
119k,750
244k,"1,950"
181k,"1,019"
134k,838
196k,"1,396"
198k,"1,224"
131k,660
196k,"1,396"
198k,"1,224"
131k,660
258k,"1,807"
272k,"2,056"
131k,904
122k,825
164k,"1,009"
197k,"1,403"
282k,"1,933"
239k,"1,322"
121k,694
244k,"1,795"
1.3m,939
229k,"1,555"
266k,"1,939"
191k,"1,332"
200k,"1,187"
151k,"1,149"
140k,949
190k,"1,433"
151k,"1,149"
140k,949
190k,"1,433"
184k,"1,278"
119k,619
167k,"1,110"
286k,"2,433"
148k,"1,046"
339k,632
152k,906
141k,936
117k,770
307k,816
158k,"1,306"
144k,951
165k,"1,001"
154k,904
103k,640
156k,"1,194"
196k,"1,335"
234k,"1,782"
144k,"1,013"
135k,819
174k,"1,208"
144k,"1,013"
135k,819
174k,"1,208"
145k,"1,133"
204k,"1,795"
176k,"1,406"
119k,787
170k,"1,072"
150k,889
234k,"1,771"
122k,848
577k,973
126k,692
166k,949
172k,997
